# Óxido de aluminio (alúmina), precio de importación en la UE (EU)
# Unidad: EUR/kg
# Fuente: Eurostat, Comercio exterior de la UE (Comext) - https://ec.europa.eu/eurostat/web/international-trade-in-goods/database
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/about-us/policies/copyright
# Cita obligatoria: Fuente: Eurostat, Comext
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-26T08:50:00+00:00
date,value
2004-01-01,0.2237
2004-02-01,0.2013
2004-03-01,0.2173
2004-04-01,0.2114
2004-05-01,0.2311
2004-06-01,0.2226
2004-07-01,0.2209
2004-08-01,0.2122
2004-09-01,0.2151
2004-10-01,0.7597
2004-11-01,0.221
2004-12-01,0.2062
2005-01-01,0.2366
2005-02-01,0.1959
2005-03-01,0.2286
2005-04-01,0.2818
2005-05-01,0.2205
2005-06-01,0.2297
2005-07-01,0.2294
2005-08-01,0.2389
2005-09-01,0.2454
2005-10-01,0.2369
2005-11-01,0.2407
2005-12-01,0.2511
2006-01-01,0.2572
2006-02-01,0.3088
2006-03-01,0.3266
2006-04-01,0.4204
2006-05-01,0.2763
2006-06-01,0.3294
2006-07-01,0.3078
2006-08-01,0.3358
2006-09-01,0.2705
2006-10-01,0.3161
2006-11-01,0.2865
2006-12-01,0.291
2007-01-01,0.2769
2007-02-01,0.2824
2007-03-01,0.2975
2007-04-01,0.3042
2007-05-01,0.2997
2007-06-01,0.2956
2007-07-01,0.277
2007-08-01,0.349
2007-09-01,0.2812
2007-10-01,0.2835
2007-11-01,0.3043
2007-12-01,0.3462
2008-01-01,0.2934
2008-02-01,0.2835
2008-03-01,0.2869
2008-04-01,0.2779
2008-05-01,0.2831
2008-06-01,0.3194
2008-07-01,0.327
2008-08-01,0.3167
2008-09-01,0.3171
2008-10-01,0.3308
2008-11-01,0.3529
2008-12-01,0.3428
2009-01-01,0.2482
2009-02-01,0.2653
2009-03-01,0.2281
2009-04-01,0.2289
2009-05-01,0.1898
2009-06-01,0.1753
2009-07-01,0.2428
2009-08-01,0.2324
2009-09-01,0.2181
2009-10-01,0.2271
2009-11-01,0.2262
2009-12-01,0.2504
2010-01-01,0.3181
2010-02-01,0.2443
2010-03-01,0.3159
2010-04-01,0.2967
2010-05-01,0.3528
2010-06-01,0.3592
2010-07-01,0.3253
2010-08-01,0.2862
2010-09-01,0.3321
2010-10-01,0.3027
2010-11-01,0.3168
2010-12-01,0.324
2011-01-01,0.3178
2011-02-01,0.3222
2011-03-01,0.321
2011-04-01,0.3219
2011-05-01,0.3432
2011-06-01,0.3225
2011-07-01,0.3268
2011-08-01,0.3419
2011-09-01,0.3506
2011-10-01,0.3807
2011-11-01,0.3217
2011-12-01,0.3191
2012-01-01,0.3374
2012-02-01,0.3271
2012-03-01,0.4021
2012-04-01,0.4115
2012-05-01,0.3695
2012-06-01,0.3491
2012-07-01,0.3965
2012-08-01,0.3448
2012-09-01,0.3444
2012-10-01,0.3578
2012-11-01,0.3288
2012-12-01,0.3697
2013-01-01,0.3162
2013-02-01,0.3512
2013-03-01,0.3379
2013-04-01,0.7501
2013-05-01,0.6215
2013-06-01,0.3127
2013-07-01,0.2976
2013-08-01,0.2918
2013-09-01,0.2998
2013-10-01,0.3058
2013-11-01,0.3112
2013-12-01,0.2879
2014-01-01,0.2965
2014-02-01,0.3829
2014-03-01,0.2946
2014-04-01,0.3109
2014-05-01,0.4035
2014-06-01,0.3551
2014-07-01,0.3524
2014-08-01,0.3751
2014-09-01,0.34
2014-10-01,0.3501
2014-11-01,0.3418
2014-12-01,0.3048
2015-01-01,0.3559
2015-02-01,0.3808
2015-03-01,0.6999
2015-04-01,0.4206
2015-05-01,0.4473
2015-06-01,0.4443
2015-07-01,0.3975
2015-08-01,0.6182
2015-09-01,0.6628
2015-10-01,0.3419
2015-11-01,0.5695
2015-12-01,0.4104
2016-01-01,0.701
2016-02-01,0.2908
2016-03-01,0.4909
2016-04-01,0.3172
2016-05-01,0.3231
2016-06-01,0.2994
2016-07-01,0.2906
2016-08-01,0.4457
2016-09-01,0.4288
2016-10-01,0.6896
2016-11-01,0.5337
2016-12-01,0.5901
2017-01-01,0.4803
2017-02-01,0.4384
2017-03-01,0.4652
2017-04-01,0.4708
2017-05-01,0.3705
2017-06-01,0.3964
2017-07-01,0.3907
2017-08-01,0.3761
2017-09-01,0.4134
2017-10-01,0.3806
2017-11-01,0.4099
2017-12-01,0.373
2018-01-01,0.4428
2018-02-01,0.4813
2018-03-01,0.376
2018-04-01,0.3881
2018-05-01,0.4688
2018-06-01,0.4464
2018-07-01,0.5776
2018-08-01,0.738
2018-09-01,0.4304
2018-10-01,0.5312
2018-11-01,0.5084
2018-12-01,0.5381
2019-01-01,0.3948
2019-02-01,0.8002
2019-03-01,0.3866
2019-04-01,0.4185
2019-05-01,0.4632
2019-06-01,0.5376
2019-07-01,0.493
2019-08-01,0.4162
2019-09-01,0.3942
2019-10-01,0.3816
2019-11-01,0.3865
2019-12-01,0.4858
2020-01-01,0.8015
2020-02-01,0.4378
2020-03-01,0.4828
2020-04-01,0.674
2020-05-01,0.495
2020-06-01,0.3174
2020-07-01,0.5082
2020-08-01,0.4273
2020-09-01,0.3646
2020-10-01,0.4376
2020-11-01,0.3072
2020-12-01,0.4755
2021-01-01,0.5811
2021-02-01,0.4034
2021-03-01,0.3341
2021-04-01,0.3853
2021-05-01,0.3675
2021-06-01,0.3573
2021-07-01,0.393
2021-08-01,0.4159
2021-09-01,0.6313
2021-10-01,0.3947
2021-11-01,0.5445
2021-12-01,0.5055
2022-01-01,0.5342
2022-02-01,0.5687
2022-03-01,0.768
2022-04-01,0.5725
2022-05-01,0.6558
2022-06-01,0.6526
2022-07-01,0.621
2022-08-01,0.5385
2022-09-01,0.771
2022-10-01,0.5868
2022-11-01,0.5841
2022-12-01,0.5023
2023-01-01,0.5149
2023-02-01,0.4403
2023-03-01,0.6539
2023-04-01,0.5977
2023-05-01,0.5014
2023-06-01,0.6494
2023-07-01,0.5265
2023-08-01,0.5091
2023-09-01,1.1562
2023-10-01,0.7874
2023-11-01,0.6317
2023-12-01,1.117
2024-01-01,0.4552
2024-02-01,0.4332
2024-03-01,0.5764
2024-04-01,1.2384
2024-05-01,0.5648
2024-06-01,0.5546
2024-07-01,1.0489
2024-08-01,0.932
2024-09-01,0.573
2024-10-01,0.5928
2024-11-01,0.6316
2024-12-01,0.6258
2025-01-01,0.8559
2025-02-01,0.9403
2025-03-01,0.704
2025-04-01,0.6883
2025-05-01,0.6671
2025-06-01,0.6714
2025-07-01,0.4174
2025-08-01,0.5037
2025-09-01,0.5173
2025-10-01,0.4725
2025-11-01,0.8242
2025-12-01,0.4352
2026-01-01,0.4319
2026-02-01,0.5457
2026-03-01,0.3844
2026-04-01,0.5478
2026-05-01,0.5227
2026-06-01,0.4704
2026-07-01,0.5752
