# Bombona de butano (8-20 kg), precio regulado con impuestos (ES)
# Unidad: EUR/kg
# Fuente: CNMC Data (Comisión Nacional de los Mercados y la Competencia) - https://data.cnmc.es/energia/mercado-minorista-de-glp
# Licencia: CC BY-SA 4.0 - https://data.cnmc.es/condiciones-de-uso
# Cita obligatoria: Fuente: CNMC Data, licencia CC BY-SA 4.0
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T10:54:02+00:00
date,value
1994-01-01,0.4753
1994-02-01,0.4572
1994-03-01,0.4572
1994-04-01,0.4572
1994-05-01,0.4572
1994-06-01,0.4572
1994-07-01,0.4572
1994-08-01,0.4572
1994-09-01,0.4572
1994-10-01,0.4572
1994-11-01,0.4572
1994-12-01,0.4847
1995-01-01,0.5084
1995-02-01,0.5084
1995-03-01,0.5467
1995-04-01,0.5129
1995-05-01,0.4886
1995-06-01,0.4886
1995-07-01,0.4886
1995-08-01,0.4666
1995-09-01,0.4666
1995-10-01,0.4666
1995-11-01,0.4869
1995-12-01,0.4869
1996-01-01,0.4869
1996-02-01,0.4869
1996-03-01,0.4869
1996-04-01,0.5064
1996-05-01,0.5064
1996-06-01,0.5064
1996-07-01,0.5064
1996-08-01,0.5064
1996-09-01,0.5066
1996-10-01,0.5066
1996-11-01,0.5066
1996-12-01,0.5066
1997-01-01,0.5145
1997-02-01,0.5145
1997-03-01,0.5145
1997-04-01,0.5145
1997-05-01,0.5145
1997-06-01,0.5145
1997-07-01,0.5145
1997-08-01,0.5448
1997-09-01,0.5448
1997-10-01,0.5448
1997-11-01,0.5784
1997-12-01,0.5784
1998-01-01,0.5347
1998-02-01,0.5053
1998-03-01,0.5053
1998-04-01,0.4832
1998-05-01,0.4832
1998-06-01,0.4832
1998-07-01,0.4681
1998-08-01,0.4681
1998-09-01,0.4681
1998-10-01,0.5047
1998-11-01,0.5339
1998-12-01,0.5339
1999-01-01,0.4947
1999-02-01,0.4656
1999-03-01,0.4656
1999-04-01,0.4824
1999-05-01,0.4759
1999-06-01,0.5016
1999-07-01,0.5437
1999-08-01,0.6312
1999-09-01,0.6312
1999-10-01,0.5814
1999-11-01,0.5814
1999-12-01,0.5814
2000-01-01,0.5814
2000-02-01,0.5814
2000-03-01,0.5814
2000-04-01,0.5814
