# Óxido de circonio, precio de importación en la UE (EU)
# Unidad: EUR/kg
# Fuente: Eurostat, Comercio exterior de la UE (Comext) - https://ec.europa.eu/eurostat/web/international-trade-in-goods/database
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/about-us/policies/copyright
# Cita obligatoria: Fuente: Eurostat, Comext
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-26T08:50:00+00:00
date,value
2004-01-01,3.519
2004-02-01,4.5506
2004-03-01,4.0389
2004-04-01,4.7723
2004-05-01,6.3952
2004-06-01,5.0997
2004-07-01,5.6414
2004-08-01,5.5797
2004-09-01,4.6213
2004-10-01,4.0947
2004-11-01,5.5707
2004-12-01,3.8229
2005-01-01,5.0076
2005-02-01,4.6518
2005-03-01,4.493
2005-04-01,4.3327
2005-05-01,3.9475
2005-06-01,5.5747
2005-07-01,5.5303
2005-08-01,7.0637
2005-09-01,5.1404
2005-10-01,4.1256
2005-11-01,5.4063
2005-12-01,5.4827
2006-01-01,5.7515
2006-02-01,5.4377
2006-03-01,5.7875
2006-04-01,4.5117
2006-05-01,6.3488
2006-06-01,5.2502
2006-07-01,6.6358
2006-08-01,5.001
2006-09-01,6.5827
2006-10-01,6.3149
2006-11-01,4.694
2006-12-01,5.1577
2007-01-01,4.7762
2007-02-01,6.6985
2007-03-01,7.2437
2007-04-01,5.8268
2007-05-01,4.896
2007-06-01,8.7028
2007-07-01,6.1728
2007-08-01,5.6114
2007-09-01,6.5212
2007-10-01,5.2392
2007-11-01,6.2034
2007-12-01,6.6211
2008-01-01,5.685
2008-02-01,7.3184
2008-03-01,4.7752
2008-04-01,4.9137
2008-05-01,5.6554
2008-06-01,4.687
2008-07-01,4.5749
2008-08-01,5.2534
2008-09-01,4.4026
2008-10-01,4.6689
2008-11-01,5.1578
2008-12-01,5.2622
2009-01-01,4.997
2009-02-01,7.0738
2009-03-01,7.0996
2009-04-01,9.5837
2009-05-01,7.2961
2009-06-01,7.3489
2009-07-01,7.3579
2009-08-01,6.0317
2009-09-01,5.7471
2009-10-01,5.1855
2009-11-01,5.3502
2009-12-01,5.3874
2010-01-01,5.6155
2010-02-01,4.5351
2010-03-01,4.9327
2010-04-01,4.7688
2010-05-01,4.3692
2010-06-01,4.6154
2010-07-01,4.8128
2010-08-01,4.8972
2010-09-01,4.7256
2010-10-01,4.3627
2010-11-01,4.2497
2010-12-01,3.7319
2011-01-01,4.9726
2011-02-01,4.5318
2011-03-01,5.5831
2011-04-01,6.8369
2011-05-01,6.0932
2011-06-01,6.6465
2011-07-01,7.5067
2011-08-01,8.9445
2011-09-01,9.3059
2011-10-01,8.1884
2011-11-01,8.472
2011-12-01,18.5983
2012-01-01,11.801
2012-02-01,11.5678
2012-03-01,8.952
2012-04-01,6.6788
2012-05-01,12.0103
2012-06-01,7.8523
2012-07-01,8.7598
2012-08-01,9.4497
2012-09-01,7.4281
2012-10-01,7.5922
2012-11-01,7.7676
2012-12-01,9.957
2013-01-01,8.0456
2013-02-01,6.8541
2013-03-01,6.238
2013-04-01,7.0988
2013-05-01,6.3753
2013-06-01,7.4517
2013-07-01,6.4764
2013-08-01,5.7259
2013-09-01,6.4566
2013-10-01,5.6343
2013-11-01,5.9666
2013-12-01,5.9333
2014-01-01,5.6573
2014-02-01,5.1886
2014-03-01,4.6831
2014-04-01,4.8519
2014-05-01,4.2963
2014-06-01,5.5427
2014-07-01,5.4835
2014-08-01,5.8935
2014-09-01,4.2811
2014-10-01,5.4208
2014-11-01,5.1408
2014-12-01,5.0119
2015-01-01,5.403
2015-02-01,6.1887
2015-03-01,5.3566
2015-04-01,5.7129
2015-05-01,5.8269
2015-06-01,5.4757
2015-07-01,6.3021
2015-08-01,5.0979
2015-09-01,5.7203
2015-10-01,5.4938
2015-11-01,5.7103
2015-12-01,5.5418
2016-01-01,7.8001
2016-02-01,5.5379
2016-03-01,5.3498
2016-04-01,5.6572
2016-05-01,5.0241
2016-06-01,6.2276
2016-07-01,5.8066
2016-08-01,6.85
2016-09-01,5.5268
2016-10-01,5.4523
2016-11-01,6.4499
2016-12-01,5.3987
2017-01-01,7.6468
2017-02-01,6.427
2017-03-01,6.2865
2017-04-01,5.9551
2017-05-01,4.854
2017-06-01,7.0764
2017-07-01,6.9221
2017-08-01,6.7714
2017-09-01,6.0598
2017-10-01,6.079
2017-11-01,5.7635
2017-12-01,7.4151
2018-01-01,6.623
2018-02-01,6.238
2018-03-01,5.8522
2018-04-01,5.892
2018-05-01,4.4193
2018-06-01,8.6722
2018-07-01,8.3025
2018-08-01,7.3828
2018-09-01,7.9767
2018-10-01,8.299
2018-11-01,12.9174
2018-12-01,7.8401
2019-01-01,8.0223
2019-02-01,9.1007
2019-03-01,9.2394
2019-04-01,7.3372
2019-05-01,7.2154
2019-06-01,7.9543
2019-07-01,8.7993
2019-08-01,7.7779
2019-09-01,7.9777
2019-10-01,7.9672
2019-11-01,7.6089
2019-12-01,11.2335
2020-01-01,7.9808
2020-02-01,6.2447
2020-03-01,6.7262
2020-04-01,6.7212
2020-05-01,7.135
2020-06-01,4.9251
2020-07-01,7.3447
2020-08-01,6.4669
2020-09-01,7.9176
2020-10-01,6.2593
2020-11-01,6.8035
2020-12-01,6.0215
2021-01-01,5.825
2021-02-01,5.7741
2021-03-01,6.2909
2021-04-01,5.7018
2021-05-01,5.3118
2021-06-01,6.5972
2021-07-01,6.4329
2021-08-01,7.5252
2021-09-01,7.6967
2021-10-01,7.1391
2021-11-01,6.6452
2021-12-01,7.9574
2022-01-01,8.8804
2022-02-01,7.5801
2022-03-01,8.5878
2022-04-01,7.3035
2022-05-01,9.1004
2022-06-01,8.6135
2022-07-01,8.2989
2022-08-01,7.1214
2022-09-01,10.0565
2022-10-01,9.8624
2022-11-01,9.8228
2022-12-01,9.0955
2023-01-01,9.9947
2023-02-01,10.2713
2023-03-01,10.6384
2023-04-01,10.2667
2023-05-01,8.5964
2023-06-01,9.1038
2023-07-01,10.746
2023-08-01,10.1461
2023-09-01,8.7752
2023-10-01,9.0156
2023-11-01,8.3265
2023-12-01,8.3959
2024-01-01,9.7001
2024-02-01,10.5856
2024-03-01,7.7302
2024-04-01,7.5812
2024-05-01,8.3492
2024-06-01,7.5751
2024-07-01,8.7488
