# Cobre (LME) (EU)
# Unidad: USD/t
# Fuente: World Bank Commodity Price Data (The Pink Sheet) - https://www.worldbank.org/en/research/commodity-markets
# Licencia: CC BY 4.0 - https://datacatalog.worldbank.org/search/dataset/0038238
# Cita obligatoria: Fuente: World Bank Commodity Price Data (The Pink Sheet)
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:25:40+00:00
date,value
1960-01-01,715
1960-02-01,728
1960-03-01,685
1960-04-01,723
1960-05-01,685
1960-06-01,692
1960-07-01,702
1960-08-01,676
1960-09-01,647
1960-10-01,613
1960-11-01,642
1960-12-01,637
1961-01-01,607
1961-02-01,617
1961-03-01,621
1961-04-01,632
1961-05-01,668
1961-06-01,652
1961-07-01,633
1961-08-01,636
1961-09-01,633
1961-10-01,630
1961-11-01,632
1961-12-01,635
1962-01-01,635
1962-02-01,648
1962-03-01,648
1962-04-01,646
1962-05-01,646
1962-06-01,646
1962-07-01,646
1962-08-01,646
1962-09-01,646
1962-10-01,646
1962-11-01,646
1962-12-01,646
1963-01-01,646
1963-02-01,646
1963-03-01,646
1963-04-01,646
1963-05-01,646
1963-06-01,646
1963-07-01,646
1963-08-01,646
1963-09-01,646
1963-10-01,646
1963-11-01,646
1963-12-01,650
1964-01-01,656
1964-02-01,694
1964-03-01,745
1964-04-01,862
1964-05-01,828
1964-06-01,808
1964-07-01,855
1964-08-01,999
1964-09-01,1162
1964-10-01,1358
1964-11-01,1400
1964-12-01,1269
1965-01-01,1001
1965-02-01,1180
1965-03-01,1237
1965-04-01,1348
1965-05-01,1379
1965-06-01,1309
1965-07-01,1134
1965-08-01,1210
1965-09-01,1328
1965-10-01,1402
1965-11-01,1469
1965-12-01,1518
1966-01-01,1679
1966-02-01,1874
1966-03-01,1875
1966-04-01,1907
1966-05-01,1664
1966-06-01,1696
1966-07-01,1568
1966-08-01,1195
1966-09-01,1128
1966-10-01,1275
1966-11-01,1302
1966-12-01,1215
1967-01-01,1244
1967-02-01,1220
1967-03-01,1098
1967-04-01,995
1967-05-01,1036
1967-06-01,1015
1967-07-01,997
1967-08-01,1045
1967-09-01,1060
1967-10-01,1138
1967-11-01,1444
1967-12-01,1324
1968-01-01,1409
1968-02-01,1720
1968-03-01,1701
1968-04-01,1255
1968-05-01,1097
1968-06-01,1137
1968-07-01,1054
1968-08-01,1056
1968-09-01,1110
1968-10-01,1080
1968-11-01,1100
1968-12-01,1185
1969-01-01,1256
1969-02-01,1285
1969-03-01,1278
1969-04-01,1388
1969-05-01,1392
1969-06-01,1483
1969-07-01,1454
1969-08-01,1607
1969-09-01,1579
1969-10-01,1554
1969-11-01,1631
1969-12-01,1700
1970-01-01,1626
1970-02-01,1657
1970-03-01,1754
1970-04-01,1742
1970-05-01,1598
1970-06-01,1458
1970-07-01,1367
1970-08-01,1267
1970-09-01,1247
1970-10-01,1142
1970-11-01,1085
1970-12-01,1046
1971-01-01,1010
1971-02-01,1020
1971-03-01,1144
1971-04-01,1252
1971-05-01,1114
1971-06-01,1074
1971-07-01,1115
1971-08-01,1098
1971-09-01,1056
1971-10-01,1041
1971-11-01,1014
1971-12-01,1038
1972-01-01,1078
1972-02-01,1112
1972-03-01,1108
1972-04-01,1133
1972-05-01,1106
