# Electricidad para hogares, todo incluido (2.500-5.000 kWh/año) (AT)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-23T10:31:19+00:00
date,value
2007-07-01,0.174
2008-01-01,0.1779
2008-07-01,0.1772
2009-01-01,0.1909
2009-07-01,0.1909
2010-01-01,0.1967
2010-07-01,0.193
2011-01-01,0.1986
2011-07-01,0.1965
2012-01-01,0.1975
2012-07-01,0.2024
2013-01-01,0.2082
2013-07-01,0.2018
2014-01-01,0.2021
2014-07-01,0.1987
2015-01-01,0.2009
2015-07-01,0.1983
2016-01-01,0.2034
2016-07-01,0.201
2017-01-01,0.195
2017-07-01,0.1978
2018-01-01,0.1966
2018-07-01,0.2012
2019-01-01,0.2034
2019-07-01,0.2074
2020-01-01,0.2111
2020-07-01,0.2167
2021-01-01,0.2216
2021-07-01,0.2285
2022-01-01,0.2249
2022-07-01,0.237
2023-01-01,0.2653
2023-07-01,0.2748
2024-01-01,0.2731
2024-07-01,0.2437
2025-01-01,0.2905
2025-07-01,0.3272
