# Electricidad para hogares, todo incluido (2.500-5.000 kWh/año) (DE)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-17T09:08:52+00:00
date,value
2007-01-01,0.2025
2007-07-01,0.2105
2008-01-01,0.2148
2008-07-01,0.2195
2009-01-01,0.2282
2009-07-01,0.2294
2010-01-01,0.2375
2010-07-01,0.2438
2011-01-01,0.2528
2011-07-01,0.2531
2012-01-01,0.2595
2012-07-01,0.2676
2013-01-01,0.2919
2013-07-01,0.2921
2014-01-01,0.2981
2014-07-01,0.2974
2015-01-01,0.2951
2015-07-01,0.2946
2016-01-01,0.2969
2016-07-01,0.2977
2017-01-01,0.3048
2017-07-01,0.3048
2018-01-01,0.2987
2018-07-01,0.3
2019-01-01,0.3088
2019-07-01,0.2878
2020-01-01,0.3043
2020-07-01,0.3006
2021-01-01,0.3193
2021-07-01,0.3234
2022-01-01,0.3279
2022-07-01,0.3357
2023-01-01,0.4125
2023-07-01,0.402
2024-01-01,0.3951
2024-07-01,0.3943
2025-01-01,0.3835
2025-07-01,0.3869
