# Electricidad para hogares, todo incluido (2.500-5.000 kWh/año) (ES)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-16T08:51:00+00:00
date,value
2007-07-01,0.14
2008-01-01,0.1366
2008-07-01,0.1557
2009-01-01,0.1577
2009-07-01,0.1684
2010-01-01,0.1728
2010-07-01,0.1851
2011-01-01,0.1981
2011-07-01,0.2088
2012-01-01,0.219
2012-07-01,0.2275
2013-01-01,0.2228
2013-07-01,0.2273
2014-01-01,0.2165
2014-07-01,0.2367
2015-01-01,0.2309
2015-07-01,0.237
2016-01-01,0.2185
2016-07-01,0.2284
2017-01-01,0.2296
2017-07-01,0.2177
2018-01-01,0.2383
2018-07-01,0.2477
2019-01-01,0.2403
2019-07-01,0.2394
2020-01-01,0.2239
2020-07-01,0.2298
2021-01-01,0.2323
2021-07-01,0.2816
2022-01-01,0.3071
2022-07-01,0.335
2023-01-01,0.2454
2023-07-01,0.2347
2024-01-01,0.2436
2024-07-01,0.2408
2025-01-01,0.2612
2025-07-01,0.2669
