# Electricidad para hogares, todo incluido (2.500-5.000 kWh/año) (FR)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-26T08:50:00+00:00
date,value
2007-07-01,0.1222
2008-01-01,0.1213
2008-07-01,0.1203
2009-01-01,0.1206
2009-07-01,0.1207
2010-01-01,0.1283
2010-07-01,0.135
2011-01-01,0.1383
2011-07-01,0.1422
2012-01-01,0.1392
2012-07-01,0.1501
2013-01-01,0.1524
2013-07-01,0.1596
2014-01-01,0.1585
2014-07-01,0.1702
2015-01-01,0.1676
2015-07-01,0.1682
2016-01-01,0.1685
2016-07-01,0.1711
2017-01-01,0.1704
2017-07-01,0.1756
2018-01-01,0.1748
2018-07-01,0.1799
2019-01-01,0.1778
2019-07-01,0.1913
2020-01-01,0.1893
2020-07-01,0.1958
2021-01-01,0.1946
2021-07-01,0.2022
2022-01-01,0.2092
2022-07-01,0.2204
2023-01-01,0.23
2023-07-01,0.2591
2024-01-01,0.2847
2024-07-01,0.2926
2025-01-01,0.2671
2025-07-01,0.2561
