# Electricidad para la industria (500-2.000 MWh/año), sin impuestos recuperables (ES)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:17:41+00:00
date,value
2007-07-01,0.0912
2008-01-01,0.0915
2008-07-01,0.1016
2009-01-01,0.1098
2009-07-01,0.1066
2010-01-01,0.111
2010-07-01,0.104
2011-01-01,0.1082
2011-07-01,0.11
2012-01-01,0.1155
2012-07-01,0.1138
2013-01-01,0.1165
2013-07-01,0.1143
2014-01-01,0.1185
2014-07-01,0.111
2015-01-01,0.1116
2015-07-01,0.1078
2016-01-01,0.1051
2016-07-01,0.0979
2017-01-01,0.101
2017-07-01,0.0982
2018-01-01,0.1008
2018-07-01,0.1045
2019-01-01,0.0925
2019-07-01,0.0867
2020-01-01,0.0786
2020-07-01,0.0882
2021-01-01,0.0931
2021-07-01,0.1115
2022-01-01,0.1769
2022-07-01,0.2064
2023-01-01,0.1522
2023-07-01,0.147
2024-01-01,0.1217
2024-07-01,0.128
2025-01-01,0.1234
2025-07-01,0.1156
