# Electricidad para la industria (500-2.000 MWh/año), sin impuestos recuperables (FR)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:17:41+00:00
date,value
2007-07-01,0.052
2008-01-01,0.0599
2008-07-01,0.0562
2009-01-01,0.0667
2009-07-01,0.0591
2010-01-01,0.0687
2010-07-01,0.0627
2011-01-01,0.0722
2011-07-01,0.0668
2012-01-01,0.0809
2012-07-01,0.064
2013-01-01,0.0781
2013-07-01,0.0664
2014-01-01,0.0765
2014-07-01,0.0717
2015-01-01,0.0776
2015-07-01,0.0702
2016-01-01,0.0714
2016-07-01,0.0655
2017-01-01,0.0733
2017-07-01,0.0666
2018-01-01,0.0736
2018-07-01,0.0669
2019-01-01,0.0812
2019-07-01,0.0737
2020-01-01,0.0847
2020-07-01,0.0754
2021-01-01,0.085
2021-07-01,0.081
2022-01-01,0.1203
2022-07-01,0.1237
2023-01-01,0.2506
2023-07-01,0.2107
2024-01-01,0.1639
2024-07-01,0.1591
2025-01-01,0.1449
2025-07-01,0.1297
