# Electricidad para la industria (500-2.000 MWh/año), sin impuestos recuperables (PT)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-26T08:50:00+00:00
date,value
2007-07-01,0.0728
2008-01-01,0.0782
2008-07-01,0.0781
2009-01-01,0.0919
2009-07-01,0.0932
2010-01-01,0.0896
2010-07-01,0.0867
2011-01-01,0.0903
2011-07-01,0.0895
2012-01-01,0.105
2012-07-01,0.0992
2013-01-01,0.1015
2013-07-01,0.101
2014-01-01,0.1029
2014-07-01,0.1052
2015-01-01,0.0989
2015-07-01,0.1001
2016-01-01,0.0943
2016-07-01,0.0948
2017-01-01,0.0835
2017-07-01,0.0837
2018-01-01,0.0781
2018-07-01,0.0814
2019-01-01,0.0869
2019-07-01,0.086
2020-01-01,0.0794
2020-07-01,0.0781
2021-01-01,0.0755
2021-07-01,0.0892
2022-01-01,0.1351
2022-07-01,0.1721
2023-01-01,0.1505
2023-07-01,0.1381
2024-01-01,0.1068
2024-07-01,0.1118
2025-01-01,0.1136
2025-07-01,0.1133
