# Electricidad para hogares, todo incluido (2.500-5.000 kWh/año) (PT)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:47:48+00:00
date,value
2007-07-01,0.1562
2008-01-01,0.1482
2008-07-01,0.1525
2009-01-01,0.1508
2009-07-01,0.1594
2010-01-01,0.1584
2010-07-01,0.1666
2011-01-01,0.1654
2011-07-01,0.1881
2012-01-01,0.1993
2012-07-01,0.2063
2013-01-01,0.2081
2013-07-01,0.2131
2014-01-01,0.2175
2014-07-01,0.2231
2015-01-01,0.2279
2015-07-01,0.2285
2016-01-01,0.235
2016-07-01,0.2298
2017-01-01,0.2284
2017-07-01,0.223
2018-01-01,0.2246
2018-07-01,0.2293
2019-01-01,0.215
2019-07-01,0.2181
2020-01-01,0.212
2020-07-01,0.2133
2021-01-01,0.2089
2021-07-01,0.217
2022-01-01,0.2199
2022-07-01,0.2222
2023-01-01,0.2071
2023-07-01,0.2299
2024-01-01,0.2426
2024-07-01,0.2626
2025-01-01,0.239
2025-07-01,0.2435
