# Gas natural para hogares, todo incluido (20-200 GJ/año) (AT)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:25:40+00:00
date,value
2007-07-01,0.061
2008-01-01,0.0586
2008-07-01,0.0616
2009-01-01,0.0649
2009-07-01,0.062
2010-01-01,0.0622
2010-07-01,0.0602
2011-01-01,0.0694
2011-07-01,0.0721
2012-01-01,0.0758
2012-07-01,0.0763
2013-01-01,0.0767
2013-07-01,0.0754
2014-01-01,0.0748
2014-07-01,0.073
2015-01-01,0.073
2015-07-01,0.0711
2016-01-01,0.069
2016-07-01,0.0674
2017-01-01,0.0674
2017-07-01,0.0698
2018-01-01,0.0669
2018-07-01,0.0701
2019-01-01,0.066
2019-07-01,0.0674
2020-01-01,0.0648
2020-07-01,0.0656
2021-01-01,0.0636
2021-07-01,0.0695
2022-01-01,0.0767
2022-07-01,0.1235
2023-01-01,0.156
2023-07-01,0.1477
2024-01-01,0.1379
2024-07-01,0.1237
2025-01-01,0.122
2025-07-01,0.1221
