# Gas natural para hogares, todo incluido (20-200 GJ/año) (DE)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-13T09:59:03+00:00
date,value
2007-07-01,0.0613
2008-01-01,0.0641
2008-07-01,0.0762
2009-01-01,0.0648
2009-07-01,0.0589
2010-01-01,0.0565
2010-07-01,0.0571
2011-01-01,0.0588
2011-07-01,0.064
2012-01-01,0.0637
2012-07-01,0.0648
2013-01-01,0.0661
2013-07-01,0.0689
2014-01-01,0.0678
2014-07-01,0.0681
2015-01-01,0.0676
2015-07-01,0.0681
2016-01-01,0.0661
2016-07-01,0.0642
2017-01-01,0.0611
2017-07-01,0.0609
2018-01-01,0.0608
2018-07-01,0.0608
2019-01-01,0.0632
2019-07-01,0.0588
2020-01-01,0.0597
2020-07-01,0.062
2021-01-01,0.0647
2021-07-01,0.0692
2022-01-01,0.0806
2022-07-01,0.0941
2023-01-01,0.123
2023-07-01,0.1145
2024-01-01,0.1198
2024-07-01,0.1238
2025-01-01,0.1216
2025-07-01,0.1223
