# Gas natural para hogares, todo incluido (20-200 GJ/año) (ES)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-15T04:04:17+00:00
date,value
2007-07-01,0.0581
2008-01-01,0.0575
2008-07-01,0.0653
2009-01-01,0.0611
2009-07-01,0.0535
2010-01-01,0.0534
2010-07-01,0.054
2011-01-01,0.0536
2011-07-01,0.054
2012-01-01,0.0661
2012-07-01,0.0863
2013-01-01,0.0732
2013-07-01,0.0892
2014-01-01,0.0752
2014-07-01,0.0959
2015-01-01,0.0731
2015-07-01,0.0956
2016-01-01,0.0677
2016-07-01,0.0857
2017-01-01,0.0667
2017-07-01,0.0865
2018-01-01,0.0665
2018-07-01,0.0875
2019-01-01,0.0736
2019-07-01,0.1021
2020-01-01,0.0718
2020-07-01,0.089
2021-01-01,0.0691
2021-07-01,0.1082
2022-01-01,0.0897
2022-07-01,0.1574
2023-01-01,0.1077
2023-07-01,0.101
2024-01-01,0.0858
2024-07-01,0.0901
2025-01-01,0.0874
2025-07-01,0.0955
