# Gas natural para hogares, todo incluido (20-200 GJ/año) (FR)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:25:40+00:00
date,value
2007-07-01,0.0515
2008-01-01,0.0521
2008-07-01,0.0578
2009-01-01,0.055
2009-07-01,0.0583
2010-01-01,0.0521
2010-07-01,0.0575
2011-01-01,0.058
2011-07-01,0.0646
2012-01-01,0.0635
2012-07-01,0.0682
2013-01-01,0.0678
2013-07-01,0.0729
2014-01-01,0.0701
2014-07-01,0.0762
2015-01-01,0.0701
2015-07-01,0.0733
2016-01-01,0.065
2016-07-01,0.0676
2017-01-01,0.0639
2017-07-01,0.0695
2018-01-01,0.0665
2018-07-01,0.0763
2019-01-01,0.0738
2019-07-01,0.0839
2020-01-01,0.072
2020-07-01,0.0751
2021-01-01,0.0691
2021-07-01,0.0788
2022-01-01,0.0859
2022-07-01,0.1008
2023-01-01,0.1044
2023-07-01,0.1181
2024-01-01,0.1197
2024-07-01,0.1331
2025-01-01,0.1299
2025-07-01,0.1436
