# Gas natural para la industria (1.000-10.000 GJ/año), sin impuestos recuperables (DE)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:56:10+00:00
date,value
2007-07-01,0.0379
2008-01-01,0.0442
2008-07-01,0.0493
2009-01-01,0.0422
2009-07-01,0.0351
2010-01-01,0.0384
2010-07-01,0.0389
2011-01-01,0.041
2011-07-01,0.0403
2012-01-01,0.042
2012-07-01,0.0356
2013-01-01,0.0489
2013-07-01,0.047
2014-01-01,0.0454
2014-07-01,0.042
2015-01-01,0.0397
2015-07-01,0.0377
2016-01-01,0.0315
2016-07-01,0.0308
2017-01-01,0.0314
2017-07-01,0.0304
2018-01-01,0.0324
2018-07-01,0.0337
2019-01-01,0.0322
2019-07-01,0.0315
2020-01-01,0.0314
2020-07-01,0.0315
2021-01-01,0.031
2021-07-01,0.0348
2022-01-01,0.0448
2022-07-01,0.055
2023-01-01,0.0811
2023-07-01,0.0752
2024-01-01,0.0671
2024-07-01,0.0706
2025-01-01,0.068
2025-07-01,0.068
