# Gas natural para la industria (1.000-10.000 GJ/año), sin impuestos recuperables (ES)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:56:10+00:00
date,value
2007-07-01,0.0263
2008-01-01,0.0289
2008-07-01,0.0349
2009-01-01,0.0358
2009-07-01,0.0318
2010-01-01,0.0325
2010-07-01,0.0358
2011-01-01,0.0378
2011-07-01,0.0425
2012-01-01,0.0473
2012-07-01,0.0476
2013-01-01,0.0474
2013-07-01,0.0454
2014-01-01,0.0451
2014-07-01,0.045
2015-01-01,0.0428
2015-07-01,0.0391
2016-01-01,0.0357
2016-07-01,0.0342
2017-01-01,0.0365
2017-07-01,0.0338
2018-01-01,0.0349
2018-07-01,0.0379
2019-01-01,0.0368
2019-07-01,0.0371
2020-01-01,0.033
2020-07-01,0.0302
2021-01-01,0.0308
2021-07-01,0.0385
2022-01-01,0.0634
2022-07-01,0.0987
2023-01-01,0.0738
2023-07-01,0.0655
2024-01-01,0.0517
2024-07-01,0.0584
2025-01-01,0.06
2025-07-01,0.0516
