# Gas natural para la industria (1.000-10.000 GJ/año), sin impuestos recuperables (FR)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-20T08:49:27+00:00
date,value
2007-07-01,0.0346
2008-01-01,0.0359
2008-07-01,0.0406
2009-01-01,0.0396
2009-07-01,0.0344
2010-01-01,0.0357
2010-07-01,0.0396
2011-01-01,0.0414
2011-07-01,0.0445
2012-01-01,0.0464
2012-07-01,0.0503
2013-01-01,0.049
2013-07-01,0.048
2014-01-01,0.0477
2014-07-01,0.0454
2015-01-01,0.0411
2015-07-01,0.0405
2016-01-01,0.0347
2016-07-01,0.0364
2017-01-01,0.0335
2017-07-01,0.0346
2018-01-01,0.0327
2018-07-01,0.0401
2019-01-01,0.0369
2019-07-01,0.0398
2020-01-01,0.0353
2020-07-01,0.0382
2021-01-01,0.0339
2021-07-01,0.0483
2022-01-01,0.0549
2022-07-01,0.0764
2023-01-01,0.086
2023-07-01,0.0942
2024-01-01,0.075
2024-07-01,0.0801
2025-01-01,0.0709
2025-07-01,0.0762
