# Gas natural para la industria (1.000-10.000 GJ/año), sin impuestos recuperables (IT)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-26T08:50:00+00:00
date,value
2007-01-01,0.0353
2007-07-01,0.0338
2008-01-01,0.0367
2008-07-01,0.0428
2009-01-01,0.0441
2009-07-01,0.0341
2010-01-01,0.0331
2010-07-01,0.0345
2011-01-01,0.0364
2011-07-01,0.0401
2012-01-01,0.0452
2012-07-01,0.0456
2013-01-01,0.0478
2013-07-01,0.0443
2014-01-01,0.0429
2014-07-01,0.0411
2015-01-01,0.0407
2015-07-01,0.0394
2016-01-01,0.0368
2016-07-01,0.0344
2017-01-01,0.0335
2017-07-01,0.0336
2018-01-01,0.035
2018-07-01,0.0385
2019-01-01,0.0368
2019-07-01,0.0351
2020-01-01,0.033
2020-07-01,0.0308
2021-01-01,0.0298
2021-07-01,0.0492
2022-01-01,0.079
2022-07-01,0.1213
2023-01-01,0.0999
2023-07-01,0.0718
2024-01-01,0.0626
2024-07-01,0.0686
2025-01-01,0.072
2025-07-01,0.0598
