# Gas natural para la industria (1.000-10.000 GJ/año), sin impuestos recuperables (PT)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-16T08:51:00+00:00
date,value
2007-07-01,0.0388
2008-01-01,0.0399
2008-07-01,0.0399
2009-01-01,0.0432
2009-07-01,0.032
2010-01-01,0.0323
2010-07-01,0.0417
2011-01-01,0.0432
2011-07-01,0.0466
2012-01-01,0.0494
2012-07-01,0.0537
2013-01-01,0.0538
2013-07-01,0.056
2014-01-01,0.0558
2014-07-01,0.059
2015-01-01,0.0572
2015-07-01,0.0533
2016-01-01,0.0423
2016-07-01,0.0347
2017-01-01,0.0366
2017-07-01,0.0354
2018-01-01,0.0395
2018-07-01,0.0388
2019-01-01,0.0429
2019-07-01,0.039
2020-01-01,0.0365
2020-07-01,0.0323
2021-01-01,0.0317
2021-07-01,0.0396
2022-01-01,0.0694
2022-07-01,0.1057
2023-01-01,0.0934
2023-07-01,0.0712
2024-01-01,0.062
2024-07-01,0.063
2025-01-01,0.0714
2025-07-01,0.0582
