# Gas natural para hogares, todo incluido (20-200 GJ/año) (IT)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-13T09:59:03+00:00
date,value
2007-01-01,0.0654
2007-07-01,0.0617
2008-01-01,0.0629
2008-07-01,0.072
2009-01-01,0.0757
2009-07-01,0.0534
2010-01-01,0.0617
2010-07-01,0.0787
2011-01-01,0.0694
2011-07-01,0.0875
2012-01-01,0.0769
2012-07-01,0.0968
2013-01-01,0.0834
2013-07-01,0.0946
2014-01-01,0.0797
2014-07-01,0.0951
2015-01-01,0.0766
2015-07-01,0.0905
2016-01-01,0.0731
2016-07-01,0.0838
2017-01-01,0.0704
2017-07-01,0.0874
2018-01-01,0.0714
2018-07-01,0.0951
2019-01-01,0.0769
2019-07-01,0.0934
2020-01-01,0.0728
2020-07-01,0.0897
2021-01-01,0.0703
2021-07-01,0.1005
2022-01-01,0.0986
2022-07-01,0.131
2023-01-01,0.0981
2023-07-01,0.1347
2024-01-01,0.114
2024-07-01,0.1586
2025-01-01,0.124
2025-07-01,0.1481
