# Gas natural para hogares, todo incluido (20-200 GJ/año) (PT)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:47:48+00:00
date,value
2007-07-01,0.0653
2008-01-01,0.0625
2008-07-01,0.0629
2009-01-01,0.0604
2009-07-01,0.0595
2010-01-01,0.0594
2010-07-01,0.063
2011-01-01,0.061
2011-07-01,0.0738
2012-01-01,0.0739
2012-07-01,0.0853
2013-01-01,0.0836
2013-07-01,0.0933
2014-01-01,0.0934
2014-07-01,0.1039
2015-01-01,0.0976
2015-07-01,0.0982
2016-01-01,0.0913
2016-07-01,0.0815
2017-01-01,0.0773
2017-07-01,0.0799
2018-01-01,0.0759
2018-07-01,0.0784
2019-01-01,0.076
2019-07-01,0.0776
2020-01-01,0.0785
2020-07-01,0.0783
2021-01-01,0.0762
2021-07-01,0.0773
2022-01-01,0.0837
2022-07-01,0.1277
2023-01-01,0.1406
2023-07-01,0.1374
2024-01-01,0.1192
2024-07-01,0.1366
2025-01-01,0.1265
2025-07-01,0.1405
