# Gasóleo de calefacción, con impuestos (AT)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:56:10+00:00
date,value
2005-01-03,0.4952
2005-01-10,0.4832
2005-01-17,0.4927
2005-01-24,0.5
2005-01-31,0.513
2005-02-07,0.5067
2005-02-14,0.5101
2005-02-21,0.5123
2005-02-28,0.5288
2005-03-07,0.5602
2005-03-14,0.5636
2005-03-21,0.5675
2005-04-04,0.5814
2005-04-11,0.5967
2005-04-18,0.5728
2005-04-25,0.5639
2005-05-02,0.5665
2005-05-09,0.5555
2005-05-16,0.5455
2005-05-23,0.5384
2005-05-30,0.5475
2005-06-06,0.5763
2005-06-13,0.604
2005-06-20,0.6225
2005-06-27,0.6271
2005-07-04,0.6272
2005-07-11,0.6585
2005-07-18,0.6472
2005-07-25,0.6298
2005-08-01,0.6282
2005-08-08,0.6322
2005-08-15,0.6322
2005-08-22,0.6776
2005-08-29,0.6919
2005-09-05,0.7477
2005-09-12,0.7275
2005-09-19,0.6904
2005-09-26,0.7233
2005-10-03,0.7405
2005-10-10,0.7128
2005-10-17,0.7138
2005-10-24,0.6916
2005-11-07,0.6612
2005-11-14,0.647
2005-11-21,0.64
2005-11-28,0.6337
2005-12-05,0.6371
2005-12-12,0.6457
2005-12-19,0.655
2006-01-09,0.656
2006-01-16,0.6448
2006-01-23,0.6569
2006-01-30,0.6605
2006-02-06,0.6621
2006-02-13,0.6537
2006-02-20,0.6515
2006-02-27,0.6543
2006-03-06,0.6764
2006-03-13,0.6603
2006-03-20,0.6762
2006-03-27,0.6736
2006-04-03,0.6903
2006-04-10,0.6896
2006-04-24,0.7214
2006-05-01,0.7139
2006-05-08,0.6984
2006-05-15,0.708
2006-05-22,0.6854
2006-05-29,0.6971
2006-06-05,0.702
2006-06-12,0.7024
2006-06-19,0.7026
2006-06-26,0.7049
2006-07-03,0.7172
2006-07-10,0.7093
2006-07-17,0.7279
2006-07-24,0.7131
2006-07-31,0.7107
2006-08-07,0.7326
2006-08-14,0.7377
2006-08-21,0.7203
2006-08-28,0.7308
2006-09-04,0.7262
2006-09-11,0.7056
2006-09-18,0.6592
2006-09-25,0.6484
2006-10-02,0.6772
2006-10-09,0.6749
2006-10-16,0.6824
2006-10-23,0.6808
2006-10-30,0.6779
2006-11-06,0.666
2006-11-13,0.6765
2006-11-20,0.6671
2006-11-27,0.6471
2006-12-04,0.6574
2006-12-11,0.6482
2006-12-18,0.6367
2007-01-08,0.5981
2007-01-15,0.582
2007-01-22,0.5701
2007-01-29,0.5888
2007-02-05,0.6038
2007-02-12,0.6086
2007-02-19,0.5954
2007-02-26,0.6051
2007-03-05,0.615
2007-03-12,0.6135
2007-03-19,0.6045
2007-03-26,0.604
2007-04-02,0.6335
2007-04-16,0.6407
2007-04-23,0.6254
2007-04-30,0.6352
2007-05-07,0.6309
2007-05-14,0.6292
2007-05-21,0.6379
2007-05-28,0.6491
2007-06-04,0.6359
2007-06-11,0.6483
2007-06-18,0.658
2007-06-25,0.6627
2007-07-02,0.6625
2007-07-09,0.6654
2007-07-16,0.6716
2007-07-23,0.6684
2007-07-30,0.6674
2007-08-06,0.6705
2007-08-13,0.6509
2007-08-20,0.658
2007-08-27,0.6522
2007-09-03,0.6676
2007-09-10,0.6913
2007-09-17,0.7068
2007-09-24,0.7096
2007-10-01,0.7055
2007-10-08,0.6936
2007-10-15,0.6999
2007-10-22,0.7158
