# Gasóleo de calefacción, con impuestos (DE)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-19T08:17:46+00:00
date,value
2005-01-03,0.4334
2005-01-10,0.4285
2005-01-17,0.4309
2005-01-24,0.4334
2005-01-31,0.4525
2005-02-07,0.435
2005-02-14,0.4345
2005-02-21,0.4453
2005-02-28,0.4775
2005-03-07,0.5071
2005-03-14,0.5003
2005-03-21,0.5102
2005-04-04,0.5179
2005-04-11,0.5278
2005-04-18,0.497
2005-04-25,0.4972
2005-05-02,0.4918
2005-05-09,0.4822
2005-05-16,0.4752
2005-05-23,0.4691
2005-05-30,0.4783
2005-06-06,0.5234
2005-06-13,0.5354
2005-06-20,0.5513
2005-06-27,0.5487
2005-07-04,0.5515
2005-07-11,0.6017
2005-07-18,0.5899
2005-07-25,0.5673
2005-08-01,0.5731
2005-08-08,0.5728
2005-08-15,0.5929
2005-08-22,0.6186
2005-08-29,0.6486
2005-09-05,0.691
2005-09-12,0.6507
2005-09-19,0.6458
2005-09-26,0.6634
2005-10-03,0.6819
2005-10-10,0.6562
2005-10-17,0.6585
2005-10-24,0.6345
2005-11-07,0.6055
2005-11-14,0.6057
2005-11-21,0.5983
2005-11-28,0.5891
2005-12-05,0.588
2005-12-12,0.5905
2005-12-19,0.6015
2006-01-09,0.5951
2006-01-16,0.5877
2006-01-23,0.5997
2006-01-30,0.608
2006-02-06,0.6185
2006-02-13,0.6038
2006-02-20,0.5972
2006-02-27,0.6011
2006-03-06,0.6204
2006-03-13,0.6057
2006-03-20,0.6181
2006-03-27,0.6152
2006-04-03,0.6358
2006-04-10,0.6283
2006-04-24,0.6642
2006-05-01,0.6514
2006-05-08,0.645
2006-05-15,0.6522
2006-05-22,0.6221
2006-05-29,0.6376
2006-06-05,0.6362
2006-06-12,0.6352
2006-06-19,0.631
2006-06-26,0.6336
2006-07-03,0.644
2006-07-10,0.6467
2006-07-17,0.652
2006-07-24,0.6431
2006-07-31,0.6389
2006-08-07,0.66
2006-08-14,0.6632
2006-08-21,0.6454
2006-08-28,0.6512
2006-09-04,0.6594
2006-09-11,0.6399
2006-09-18,0.619
2006-09-25,0.6134
2006-10-02,0.6227
2006-10-09,0.6041
2006-10-16,0.6045
2006-10-23,0.6026
2006-10-30,0.5999
2006-11-06,0.5745
2006-11-13,0.5852
2006-11-20,0.5728
2006-11-27,0.5654
2006-12-04,0.5818
2006-12-11,0.5707
2006-12-18,0.5616
2007-01-08,0.5482
2007-01-15,0.537
2007-01-22,0.528
2007-01-29,0.5434
2007-02-05,0.5554
2007-02-12,0.5579
2007-02-19,0.5521
2007-02-26,0.5557
2007-03-05,0.5718
2007-03-12,0.5723
2007-03-19,0.5597
2007-03-26,0.5545
2007-04-02,0.5853
2007-04-16,0.5955
2007-04-23,0.5789
2007-04-30,0.5877
2007-05-07,0.5924
2007-05-14,0.5799
2007-05-21,0.5907
2007-05-28,0.6021
2007-06-04,0.5889
2007-06-11,0.5993
2007-06-18,0.6019
2007-06-25,0.6096
2007-07-02,0.6084
2007-07-09,0.6154
2007-07-16,0.6265
2007-07-23,0.6245
2007-07-30,0.6234
2007-08-06,0.6256
2007-08-13,0.6059
2007-08-20,0.6208
2007-08-27,0.6111
2007-09-03,0.6246
2007-09-10,0.6402
2007-09-17,0.6618
2007-09-24,0.6655
2007-10-01,0.6492
2007-10-08,0.6366
2007-10-15,0.6464
2007-10-22,0.6635
2007-10-29,0.6748
2007-11-05,0.6956
2007-11-12,0.73
2007-11-19,0.7258
2007-11-26,0.747
2007-12-03,0.7314
2007-12-10,0.7051
2007-12-17,0.7233
2008-01-07,0.7566
2008-01-14,0.7332
2008-01-21,0.7076
2008-01-28,0.6979
2008-02-04,0.7111
2008-02-11,0.6975
2008-02-18,0.7521
2008-02-25,0.7815
2008-03-03,0.7609
2008-03-10,0.7922
2008-03-17,0.79
2008-03-31,0.7716
2008-04-07,0.769
2008-04-14,0.8204
2008-04-21,0.8297
2008-04-28,0.8439
2008-05-05,0.86
2008-05-12,0.9033
2008-05-19,0.9356
2008-05-26,0.9482
2008-06-02,0.9555
2008-06-09,0.9118
2008-06-16,0.9896
2008-06-23,0.968
2008-06-30,0.9482
2008-07-07,0.9901
2008-07-14,0.9585
2008-07-21,0.9566
2008-07-28,0.918
2008-08-04,0.921
2008-08-11,0.868
2008-08-18,0.875
2008-08-25,0.8821
2008-09-01,0.895
2008-09-08,0.8682
2008-09-15,0.8619
2008-09-22,0.8331
2008-09-29,0.879
2008-10-06,0.8763
2008-10-13,0.7989
2008-10-20,0.7402
2008-10-27,0.7631
2008-11-03,0.7597
2008-11-10,0.7494
2008-11-17,0.6809
2008-11-24,0.636
2008-12-01,0.6098
2008-12-08,0.5643
2008-12-15,0.5287
2009-01-05,0.5273
2009-01-12,0.5943
2009-01-19,0.582
2009-01-26,0.56
2009-02-02,0.5544
2009-02-09,0.5375
2009-02-16,0.5394
2009-02-23,0.4944
2009-03-02,0.5043
2009-03-09,0.495
2009-03-16,0.484
2009-03-23,0.5136
2009-03-30,0.5513
2009-04-06,0.5339
2009-04-20,0.5318
2009-04-27,0.5077
2009-05-04,0.5019
2009-05-11,0.5403
2009-05-18,0.527
2009-05-25,0.5263
2009-06-01,0.5243
2009-06-08,0.551
2009-06-15,0.5787
2009-06-22,0.5975
2009-06-29,0.5788
2009-07-06,0.5725
2009-07-13,0.539
2009-07-20,0.5425
2009-07-27,0.563
