# Gasóleo de calefacción, con impuestos (ES)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin (datos comunicados por los Estados miembros; España: MITECO) - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:29:10+00:00
date,value
2005-01-03,0.486
2005-01-10,0.4477
2005-01-17,0.4462
2005-01-24,0.4532
2005-01-31,0.463
2005-02-07,0.4729
2005-02-14,0.4644
2005-02-21,0.4596
2005-02-28,0.4654
2005-03-07,0.4754
2005-03-14,0.5024
2005-03-21,0.5151
2005-04-04,0.5376
2005-04-11,0.5326
2005-04-18,0.5485
2005-04-25,0.5381
2005-05-02,0.5235
2005-05-09,0.4874
2005-05-16,0.5103
2005-05-23,0.5059
2005-05-30,0.4982
2005-06-06,0.5121
2005-06-13,0.5108
2005-06-20,0.5649
2005-06-27,0.5792
2005-07-04,0.5813
2005-07-11,0.5675
2005-07-18,0.5999
2005-07-25,0.5958
2005-08-01,0.5845
2005-08-08,0.5483
2005-08-15,0.5483
2005-08-22,0.6055
2005-08-29,0.623
2005-09-05,0.6286
2005-09-12,0.6133
2005-09-19,0.6403
2005-09-26,0.6294
2005-10-03,0.6489
2005-10-10,0.649
2005-10-17,0.6573
2005-10-24,0.6452
2005-11-07,0.6277
2005-11-14,0.6016
2005-11-21,0.594
2005-11-28,0.5756
2005-12-05,0.574
2005-12-12,0.5645
2005-12-19,0.5752
2006-01-09,0.5818
2006-01-16,0.5847
2006-01-23,0.6017
2006-01-30,0.6067
2006-02-06,0.6104
2006-02-13,0.6115
2006-02-20,0.6037
2006-02-27,0.593
2006-03-06,0.6038
2006-03-13,0.6105
2006-03-20,0.6107
2006-03-27,0.6055
2006-04-03,0.6115
2006-04-10,0.6168
2006-04-24,0.6341
2006-05-01,0.6452
2006-05-08,0.6588
2006-05-15,0.6546
2006-05-22,0.6533
2006-05-29,0.644
2006-06-05,0.6358
2006-06-12,0.6447
2006-06-19,0.6479
2006-06-26,0.6465
2006-07-03,0.6418
2006-07-10,0.6527
2006-07-17,0.6565
2006-07-24,0.65
2006-07-31,0.6496
2006-08-07,0.6427
2006-08-14,0.6525
2006-08-21,0.6612
2006-08-28,0.6594
2006-09-04,0.6425
2006-09-11,0.6428
2006-09-18,0.6213
