# Gasóleo de calefacción, con impuestos (FR)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:56:10+00:00
date,value
2005-01-03,0.4734
2005-01-10,0.4679
2005-01-17,0.4776
2005-01-24,0.4836
2005-01-31,0.5014
2005-02-07,0.4945
2005-02-14,0.4934
2005-02-21,0.494
2005-02-28,0.5212
2005-03-07,0.5562
2005-03-14,0.556
2005-03-21,0.5571
2005-04-04,0.5636
2005-04-11,0.5756
2005-04-18,0.5538
2005-04-25,0.5454
2005-05-02,0.5426
2005-05-09,0.5351
2005-05-16,0.526
2005-05-23,0.521
2005-05-30,0.5237
2005-06-06,0.5493
2005-06-13,0.5715
2005-06-20,0.589
2005-06-27,0.5941
2005-07-04,0.5919
2005-07-11,0.6272
2005-07-18,0.613
2005-07-25,0.5941
2005-08-01,0.5956
2005-08-08,0.5985
2005-08-15,0.5985
2005-08-22,0.638
2005-08-29,0.652
2005-09-05,0.6954
2005-09-12,0.6746
2005-09-19,0.6587
2005-09-26,0.6788
2005-10-03,0.6912
2005-10-10,0.6793
2005-10-17,0.6797
2005-10-24,0.6639
2005-11-07,0.6391
2005-11-14,0.6262
2005-11-21,0.615
2005-11-28,0.6143
2005-12-05,0.6141
2005-12-12,0.6186
2005-12-19,0.6201
2006-01-09,0.6309
2006-01-16,0.6324
2006-01-23,0.6404
2006-01-30,0.651
2006-02-06,0.6524
2006-02-13,0.6461
2006-02-20,0.6384
2006-02-27,0.6417
2006-03-06,0.6596
2006-03-13,0.6535
2006-03-20,0.6538
2006-03-27,0.6557
2006-04-03,0.6628
2006-04-10,0.6616
2006-04-24,0.689
2006-05-01,0.6899
2006-05-08,0.6826
2006-05-15,0.6831
2006-05-22,0.6743
2006-05-29,0.669
2006-06-05,0.6664
2006-06-12,0.6679
2006-06-19,0.6688
2006-06-26,0.6656
2006-07-03,0.6707
2006-07-10,0.6721
2006-07-17,0.6733
2006-07-24,0.6746
2006-07-31,0.6738
2006-08-07,0.6827
2006-08-14,0.6901
2006-08-21,0.6804
2006-08-28,0.6832
2006-09-04,0.6794
2006-09-11,0.6621
2006-09-18,0.6318
2006-09-25,0.6181
2006-10-02,0.6121
2006-10-09,0.6117
2006-10-16,0.6173
2006-10-23,0.6215
2006-10-30,0.6194
2006-11-06,0.6085
2006-11-13,0.6124
2006-11-20,0.6039
2006-11-27,0.6008
2006-12-04,0.6099
2006-12-11,0.6072
2006-12-18,0.6043
2007-01-08,0.5866
2007-01-15,0.5724
2007-01-22,0.558
2007-01-29,0.5713
2007-02-05,0.5791
2007-02-12,0.5904
2007-02-19,0.5856
2007-02-26,0.5884
2007-03-05,0.5959
2007-03-12,0.5973
2007-03-19,0.5875
2007-03-26,0.5939
2007-04-02,0.6144
2007-04-16,0.626
2007-04-23,0.6146
2007-04-30,0.6192
2007-05-07,0.6194
2007-05-14,0.617
2007-05-21,0.6234
2007-05-28,0.6278
2007-06-04,0.6245
2007-06-11,0.6291
2007-06-18,0.6353
2007-06-25,0.6374
2007-07-02,0.6364
2007-07-09,0.6381
2007-07-16,0.6461
2007-07-23,0.6356
2007-07-30,0.6439
2007-08-06,0.647
2007-08-13,0.6328
2007-08-20,0.6363
2007-08-27,0.6348
2007-09-03,0.6396
2007-09-10,0.6527
2007-09-17,0.6724
2007-09-24,0.6791
2007-10-01,0.6794
2007-10-08,0.6738
2007-10-15,0.6725
2007-10-22,0.6908
2007-10-29,0.713
2007-11-05,0.731
2007-11-12,0.7625
2007-11-19,0.7658
2007-11-26,0.7816
2007-12-03,0.7866
2007-12-10,0.7616
2007-12-17,0.7642
2008-01-07,0.7854
2008-01-14,0.7785
2008-01-21,0.7618
2008-01-28,0.7525
2008-02-04,0.7531
2008-02-11,0.7508
2008-02-18,0.7779
2008-02-25,0.8039
2008-03-03,0.8084
2008-03-10,0.8117
2008-03-17,0.8342
2008-03-31,0.8171
2008-04-07,0.8123
2008-04-14,0.8447
2008-04-21,0.8569
2008-04-28,0.8702
2008-05-05,0.8833
2008-05-12,0.908
2008-05-19,0.9627
2008-05-26,1.0041
2008-06-02,0.9985
2008-06-09,0.9724
2008-06-16,1.0131
2008-06-23,0.9956
2008-06-30,0.994
2008-07-07,1.0143
2008-07-14,1.0104
2008-07-21,0.9933
2008-07-28,0.9752
2008-08-04,0.9413
2008-08-11,0.9089
2008-08-18,0.89
2008-08-25,0.9016
2008-09-01,0.9053
2008-09-08,0.8953
2008-09-15,0.8795
2008-09-22,0.8591
2008-09-29,0.8699
