# Gasóleo de calefacción, con impuestos (IT)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin (datos comunicados por los Estados miembros; España: MITECO) - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:51:58+00:00
date,value
2005-01-03,0.9485
2005-01-10,0.9479
2005-01-17,0.9524
2005-01-24,0.964
2005-01-31,0.973
2005-02-07,0.9557
2005-02-14,0.9635
2005-02-21,0.9683
2005-02-28,0.9894
2005-03-07,1.012
2005-03-14,1.007
2005-03-21,1.0149
2005-04-04,1.0252
2005-04-11,1.0308
2005-04-18,1.0185
2005-04-25,1.0161
2005-05-02,1.0084
2005-05-09,1.0008
2005-05-16,0.9863
2005-05-23,0.9904
2005-05-30,1.001
2005-06-06,1.0244
2005-06-13,1.039
2005-06-20,1.05
2005-06-27,1.0595
2005-07-04,1.0644
2005-07-11,1.0817
2005-07-18,1.0727
2005-07-25,1.0567
2005-08-01,1.0627
2005-08-08,1.0653
2005-08-15,1.0653
2005-08-22,1.0877
2005-08-29,1.1115
2005-09-05,1.1482
2005-09-12,1.1217
2005-09-19,1.1245
2005-09-26,1.1344
2005-10-03,1.1495
2005-10-10,1.1368
2005-10-17,1.1455
2005-10-24,1.1256
2005-11-07,1.1043
2005-11-14,1.0919
2005-11-21,1.0909
2005-11-28,1.0746
2005-12-05,1.0848
2005-12-12,1.0879
2005-12-19,1.0954
2006-01-09,1.1075
2006-01-16,1.1021
2006-01-23,1.1163
2006-01-30,1.111
2006-02-06,1.1124
2006-02-13,1.1024
2006-02-20,1.1001
2006-02-27,1.1032
2006-03-06,1.1234
2006-03-13,1.1113
2006-03-20,1.1143
2006-03-27,1.1164
2006-04-03,1.1227
2006-04-10,1.122
2006-04-24,1.1489
2006-05-01,1.1501
2006-05-08,1.1437
2006-05-15,1.1556
2006-05-22,1.1362
2006-05-29,1.1347
2006-06-05,1.134
2006-06-12,1.1359
2006-06-19,1.1396
2006-06-26,1.1404
2006-07-03,1.1444
2006-07-10,1.1395
2006-07-17,1.1532
2006-07-24,1.1405
2006-07-31,1.1439
2006-08-07,1.1499
2006-08-14,1.1515
2006-08-21,1.147
2006-08-28,1.1535
2006-09-04,1.1465
2006-09-11,1.1329
2006-09-18,1.1043
2006-09-25,1.0865
2006-10-02,1.0903
2006-10-09,1.086
2006-10-16,1.0857
2006-10-23,1.0837
2006-10-30,1.089
2006-11-06,1.0724
2006-11-13,1.0816
2006-11-20,1.0815
2006-11-27,1.0758
2006-12-04,1.0898
2006-12-11,1.0803
2006-12-18,1.082
2007-01-08,1.0552
2007-01-15,1.0457
2007-01-22,1.0333
2007-01-29,1.0468
2007-02-05,1.0545
2007-02-12,1.0569
2007-02-19,1.0499
2007-02-26,1.0608
2007-03-05,1.0649
2007-03-12,1.0682
2007-03-19,1.0656
2007-03-26,1.067
2007-04-02,1.0836
2007-04-16,1.0963
2007-04-23,1.0877
2007-04-30,1.0886
2007-05-07,1.0915
2007-05-14,1.0908
2007-05-21,1.0977
2007-05-28,1.1015
2007-06-04,1.0927
2007-06-11,1.1038
2007-06-18,1.1075
2007-06-25,1.1125
2007-07-02,1.1078
2007-07-09,1.1158
2007-07-16,1.1192
2007-07-23,1.121
2007-07-30,1.1238
2007-08-06,1.1255
2007-08-13,1.1155
2007-08-20,1.1107
2007-08-27,1.1083
2007-09-03,1.1164
2007-09-10,1.1262
2007-09-17,1.1382
2007-09-24,1.148
2007-10-01,1.1432
2007-10-08,1.1328
2007-10-15,1.1433
2007-10-22,1.1593
2007-10-29,1.1698
2007-11-05,1.1962
2007-11-12,1.2197
2007-11-19,1.2175
2007-11-26,1.2335
2007-12-03,1.2237
2007-12-10,1.2061
2007-12-17,1.217
2008-01-07,1.2239
2008-01-14,1.2233
2008-01-21,1.2031
2008-01-28,1.2012
2008-02-04,1.2015
2008-02-11,1.2051
2008-02-18,1.2384
2008-02-25,1.2509
2008-03-03,1.2607
2008-03-10,1.2869
2008-03-17,1.2966
2008-03-31,1.2794
2008-04-07,1.2724
2008-04-14,1.3012
2008-04-21,1.3175
2008-04-28,1.3338
2008-05-05,1.3439
2008-05-12,1.4058
2008-05-19,1.4315
2008-05-26,1.4598
2008-06-02,1.4458
2008-06-09,1.4409
2008-06-16,1.4707
2008-06-23,1.458
2008-06-30,1.467
2008-07-07,1.4869
2008-07-14,1.4819
2008-07-21,1.4619
2008-07-28,1.4257
2008-08-04,1.4044
2008-08-11,1.3712
2008-08-18,1.36
2008-08-25,1.3809
2008-09-01,1.373
2008-09-08,1.3509
2008-09-15,1.3452
2008-09-22,1.3199
2008-09-29,1.339
2008-10-06,1.3253
2008-10-13,1.2712
2008-10-20,1.2114
2008-10-27,1.2093
2008-11-03,1.1884
2008-11-10,1.1827
2008-11-17,1.1533
2008-11-24,1.1229
2008-12-01,1.1177
2008-12-08,1.0829
2008-12-15,1.0471
2009-01-05,1.0063
2009-01-12,1.0316
2009-01-19,1.033
2009-01-26,1.0194
2009-02-02,1.0261
2009-02-09,1.018
2009-02-16,1.0116
2009-02-23,0.9911
2009-03-02,0.9937
2009-03-09,0.9798
2009-03-16,0.9718
2009-03-23,0.9883
2009-03-30,1.0138
2009-04-06,1.011
2009-04-20,1.0154
2009-04-27,1.0001
2009-05-04,0.9975
2009-05-11,1.0103
2009-05-18,1.0095
2009-05-25,1.0034
2009-06-01,1.0101
2009-06-08,1.0415
2009-06-15,1.0594
2009-06-22,1.0772
2009-06-29,1.0622
2009-07-06,1.0497
2009-07-13,1.0269
2009-07-20,1.0343
2009-07-27,1.0549
2009-08-03,1.0644
2009-08-10,1.0762
2009-08-17,1.0736
2009-08-24,1.0746
2009-08-31,1.0683
2009-09-07,1.0493
2009-09-14,1.0498
2009-09-21,1.0512
2009-09-28,1.0365
2009-10-05,1.038
2009-10-12,1.0441
2009-10-19,1.0705
2009-10-26,1.0887
2009-11-02,1.0987
2009-11-09,1.0937
2009-11-16,1.083
2009-11-23,1.0838
2009-11-30,1.0781
2009-12-07,1.0793
2009-12-14,1.0731
2009-12-21,1.0882
2010-01-04,1.1083
2010-01-11,1.1376
2010-01-18,1.1245
2010-01-25,1.12
2010-02-01,1.1082
2010-02-08,1.114
2010-02-15,1.1094
2010-02-22,1.1261
2010-03-01,1.1329
2010-03-08,1.1449
2010-03-15,1.1534
2010-03-22,1.159
2010-03-29,1.1637
2010-04-12,1.1879
2010-04-19,1.1936
2010-04-26,1.2009
2010-05-03,1.2126
2010-05-10,1.204
2010-05-17,1.2007
2010-05-24,1.1711
2010-05-31,1.1873
2010-06-07,1.1917
2010-06-14,1.2101
2010-06-21,1.2155
2010-06-28,1.2043
2010-07-05,1.1789
2010-07-12,1.178
2010-07-19,1.17
2010-07-26,1.1766
2010-08-02,1.1727
2010-08-09,1.181
2010-08-16,1.1875
2010-08-23,1.1701
2010-08-30,1.1742
2010-09-06,1.1679
2010-09-13,1.1842
2010-09-20,1.1847
2010-09-27,1.165
2010-10-04,1.1821
2010-10-11,1.1837
2010-10-18,1.1875
2010-10-25,1.1774
2010-11-08,1.1838
2010-11-15,1.2077
2010-11-22,1.1968
2010-11-29,1.2048
2010-12-06,1.2385
2010-12-13,1.2514
2010-12-20,1.2515
2011-01-03,1.256
2011-01-10,1.2641
2011-01-17,1.2856
2011-01-24,1.2835
2011-01-31,1.2779
2011-02-07,1.2916
2011-02-14,1.301
2011-02-21,1.3189
2011-02-28,1.3478
2011-03-07,1.3696
2011-03-14,1.3692
2011-03-21,1.3729
2011-03-28,1.3708
2011-04-04,1.3723
2011-04-11,1.3864
2011-04-18,1.378
2011-05-02,1.3744
2011-05-09,1.3349
2011-05-16,1.3285
2011-05-23,1.3264
2011-05-30,1.3401
2011-06-06,1.336
2011-06-13,1.3436
2011-06-20,1.34
2011-06-27,1.3151
2011-07-04,1.3275
2011-07-11,1.3538
2011-07-18,1.3642
2011-07-25,1.3758
2011-08-01,1.3747
2011-08-08,1.3587
2011-08-22,1.3389
2011-08-29,1.3495
2011-09-05,1.3612
2011-09-12,1.372
2011-09-19,1.381
2011-09-26,1.3769
2011-10-03,1.3693
2011-10-10,1.3703
2011-10-17,1.3787
2011-10-24,1.3868
2011-10-31,1.3905
2011-11-07,1.3952
2011-11-14,1.4188
2011-11-21,1.4213
2011-11-28,1.4251
2011-12-05,1.3975
2011-12-12,1.409
2011-12-19,1.4054
2012-01-09,1.4438
2012-01-16,1.4568
2012-01-23,1.4395
2012-01-30,1.4331
2012-02-06,1.437
2012-02-13,1.4583
2012-02-20,1.477
2012-02-27,1.4825
2012-03-05,1.4717
2012-03-12,1.4917
2012-03-19,1.5014
2012-03-26,1.4961
2012-04-02,1.4867
2012-04-16,1.4847
2012-04-23,1.4854
2012-04-30,1.4847
2012-05-07,1.4664
2012-05-14,1.4567
2012-05-21,1.4498
2012-05-28,1.4473
2012-06-04,1.4313
2012-06-11,1.4103
2012-06-18,1.4013
2012-06-25,1.3872
2012-07-02,1.3901
2012-07-09,1.4196
2012-07-16,1.4297
2012-07-23,1.4614
2012-07-30,1.4547
2012-08-06,1.4525
2012-08-13,1.4703
2012-08-20,1.4873
2012-08-27,1.4996
2012-09-03,1.4975
2012-09-10,1.498
2012-09-17,1.4929
2012-09-24,1.468
2012-10-01,1.4701
2012-10-08,1.4698
2012-10-15,1.4896
2012-10-22,1.4771
2012-10-29,1.4603
2012-11-05,1.4501
2012-11-12,1.436
2012-11-19,1.4451
2012-11-26,1.4479
2012-12-03,1.4491
2012-12-10,1.4295
2012-12-17,1.4295
2013-01-07,1.4395
2013-01-14,1.45
2013-01-21,1.4339
2013-01-28,1.4459
2013-02-04,1.4432
2013-02-11,1.4604
2013-02-18,1.4694
2013-02-25,1.4605
2013-03-04,1.4392
2013-03-11,1.4356
2013-03-18,1.4288
2013-03-25,1.4204
2013-04-08,1.4176
2013-04-15,1.4001
2013-04-22,1.3826
2013-04-29,1.3919
2013-05-06,1.347
2013-05-13,1.3816
2013-05-20,1.389
2013-05-27,1.3745
2013-06-03,1.372
2013-06-10,1.363
2013-06-17,1.3659
2013-06-24,1.3566
2013-07-01,1.3898
2013-07-08,1.4001
2013-07-15,1.4022
2013-07-22,1.4133
2013-07-29,1.3997
2013-08-05,1.4097
2013-08-12,1.3937
2013-08-19,1.411
2013-08-26,1.4059
2013-09-02,1.4327
2013-09-09,1.4336
2013-09-16,1.4321
2013-09-23,1.4093
2013-09-30,1.3942
2013-10-07,1.4058
2013-10-14,1.4256
2013-10-21,1.4086
2013-10-28,1.3967
2013-11-04,1.4068
2013-11-11,1.3813
2013-11-18,1.4092
2013-11-25,1.4169
2013-12-02,1.4263
2013-12-09,1.4304
2013-12-16,1.4156
2014-01-06,1.4072
2014-01-13,1.3942
2014-01-20,1.3977
2014-01-27,1.4092
2014-02-03,1.4144
2014-02-10,1.4103
2014-02-17,1.4142
2014-02-24,1.4194
2014-03-03,1.4123
2014-03-10,1.4026
2014-03-17,1.3953
2014-03-24,1.3995
2014-03-31,1.3932
2014-04-07,1.3847
2014-04-14,1.3872
2014-04-28,1.398
2014-05-05,1.389
2014-05-12,1.3863
2014-05-19,1.3996
2014-05-26,1.4084
2014-06-02,1.3894
2014-06-09,1.3859
2014-06-16,1.4005
2014-06-23,1.4155
2014-06-30,1.4133
2014-07-07,1.4027
2014-07-14,1.3931
2014-07-21,1.3923
2014-07-28,1.3971
2014-08-04,1.4015
2014-08-11,1.3989
2014-08-18,1.3924
2014-08-25,1.3925
2014-09-01,1.3952
2014-09-08,1.4005
2014-09-15,1.3904
2014-09-22,1.3854
2014-09-29,1.3842
2014-10-06,1.3672
2014-10-13,1.3609
2014-10-20,1.3361
2014-10-27,1.3388
2014-11-03,1.3425
2014-11-10,1.3386
2014-11-17,1.3295
2014-11-24,1.323
2014-12-01,1.3002
2014-12-08,1.2879
2014-12-15,1.2429
2015-01-05,1.2124
2015-01-12,1.1685
2015-01-19,1.146
2015-01-26,1.1629
2015-02-02,1.1587
2015-02-09,1.201
2015-02-16,1.2015
2015-02-23,1.2226
2015-03-02,1.2321
2015-03-09,1.2374
2015-03-16,1.233
2015-03-23,1.2189
2015-03-30,1.2215
2015-04-13,1.2121
2015-04-20,1.2413
2015-04-27,1.2636
2015-05-04,1.2663
2015-05-11,1.2715
2015-05-18,1.2807
2015-05-25,1.284
2015-06-01,1.2712
2015-06-08,1.2539
2015-06-15,1.2571
2015-06-22,1.2612
2015-06-29,1.2553
2015-07-06,1.2525
2015-07-13,1.2363
2015-07-20,1.2234
2015-07-27,1.2111
2015-08-03,1.191
2015-08-10,1.1793
2015-08-17,1.1834
2015-08-24,1.152
2015-08-31,1.1294
2015-09-07,1.1684
2015-09-14,1.165
2015-09-21,1.1522
2015-09-28,1.149
2015-10-05,1.1518
2015-10-12,1.159
2015-10-19,1.1276
2015-10-26,1.1225
2015-11-02,1.1402
2015-11-09,1.1374
2015-11-16,1.1309
2015-11-23,1.1238
2015-11-30,1.1281
2015-12-07,1.1093
2015-12-14,1.0803
2016-01-04,1.0465
2016-01-11,1.0449
2016-01-18,1.0152
2016-01-25,1.0004
2016-02-01,1.0212
2016-02-08,1.0257
2016-02-15,1.0066
2016-02-22,1.0248
2016-02-29,1.0191
2016-03-07,1.037
2016-03-14,1.0586
2016-03-21,1.0621
2016-04-04,1.0455
2016-04-11,1.0312
2016-04-18,1.062
2016-04-25,1.0878
2016-05-02,1.0909
