# Gasóleo de calefacción, con impuestos (PT)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-25T09:09:11+00:00
date,value
2005-01-03,0.523
2005-01-10,0.523
2005-01-17,0.5
2005-01-24,0.51
2005-01-31,0.515
2005-02-07,0.522
2005-02-14,0.522
2005-02-21,0.522
2005-02-28,0.517
2005-03-07,0.527
2005-03-14,0.554
2005-03-21,0.569
2005-04-04,0.58
2005-04-11,0.589
2005-04-18,0.599
2005-04-25,0.589
2005-05-02,0.575
2005-05-09,0.575
2005-05-16,0.575
2005-05-23,0.559
2005-05-30,0.554
2005-06-06,0.559
2005-06-13,0.611
2005-06-20,0.611
2005-06-27,0.629
2005-07-04,0.629
2005-07-11,0.639
2005-07-18,0.652
2005-07-25,0.652
2005-08-01,0.639
2005-08-08,0.635
2005-08-15,0.639
2005-08-22,0.656
2005-08-29,0.674
2005-09-05,0.685
2005-09-12,0.702
2005-09-19,0.702
2005-09-26,0.687
2005-10-03,0.687
2005-10-10,0.705
2005-10-17,0.718
2005-10-24,0.716
2005-11-07,0.693
2005-11-14,0.678
2005-11-21,0.663
2005-11-28,0.653
2005-12-05,0.6532
2005-12-12,0.639
2005-12-19,0.639
2006-01-09,0.644
2006-01-16,0.649
2006-01-23,0.649
2006-01-30,0.655
2006-02-06,0.662
2006-02-13,0.662
2006-02-20,0.662
2006-02-27,0.652
2006-03-06,0.657
2006-03-13,0.669
2006-03-20,0.669
2006-03-27,0.669
2006-04-03,0.676
2006-04-10,0.683
2006-04-24,0.69
2006-05-01,0.714
2006-05-08,0.719
2006-05-15,0.719
2006-05-22,0.709
2006-05-29,0.699
2006-06-05,0.699
2006-06-12,0.699
2006-06-19,0.699
2006-06-26,0.699
2006-07-03,0.699
2006-07-10,0.709
2006-07-17,0.709
2006-07-24,0.719
2006-07-31,0.719
2006-08-07,0.709
2006-08-14,0.709
2006-08-21,0.724
2006-08-28,0.719
2006-09-04,0.719
2006-09-11,0.714
2006-09-18,0.694
2006-09-25,0.664
2006-10-02,0.639
2006-10-09,0.639
2006-10-16,0.639
2006-10-23,0.634
2006-10-30,0.639
2006-11-06,0.639
2006-11-13,0.626
2006-11-20,0.626
2006-11-27,0.626
2006-12-04,0.626
2006-12-11,0.626
2006-12-18,0.626
2007-01-08,0.636
2007-01-15,0.622
2007-01-22,0.6114
2007-01-29,0.61
2007-02-05,0.599
2007-02-12,0.603
2007-02-19,0.6131
2007-02-26,0.6466
2007-03-05,0.667
2007-03-12,0.677
2007-03-19,0.6773
2007-03-26,0.6821
2007-04-02,0.6821
2007-04-16,0.711
2007-04-23,0.711
2007-04-30,0.711
2007-05-07,0.714
2007-05-14,0.711
2007-05-21,0.711
2007-05-28,0.711
2007-06-04,0.723
2007-06-11,0.723
2007-06-18,0.723
2007-06-25,0.731
2007-07-02,0.736
2007-07-09,0.736
2007-07-16,0.736
2007-07-23,0.745
2007-07-30,0.745
2007-08-06,0.745
2007-08-13,0.745
2007-08-20,0.738
2007-08-27,0.733
2007-09-03,0.733
2007-09-10,0.733
2007-09-17,0.733
2007-09-24,0.764
2007-10-01,0.774
2007-10-08,0.763
2007-10-15,0.761
2007-10-22,0.761
2007-10-29,0.771
2007-11-05,0.789
2007-11-12,0.809
2007-11-19,0.839
2007-11-26,0.844
2007-12-03,0.851
2007-12-10,0.856
2007-12-17,0.831
2008-01-07,0.856
2008-01-14,0.881
2008-01-21,0.876
2008-01-28,0.861
2008-02-04,0.856
2008-02-11,0.856
2008-02-18,0.871
2008-02-25,0.896
2008-03-03,0.916
2008-03-10,0.916
2008-03-17,0.936
2008-03-31,0.91
2008-04-07,0.902
2008-04-14,0.905
2008-04-21,0.946
2008-04-28,0.957
2008-05-05,0.979
2008-05-12,1.012
2008-05-19,1.044
2008-05-26,1.079
2008-06-02,1.0831
2008-06-09,1.071
2008-06-16,1.071
2008-06-23,1.086
2008-06-30,1.086
2008-07-07,1.096
2008-07-14,1.105
2008-07-21,1.105
2008-07-28,1.091
2008-08-04,1.056
2008-08-11,1.036
2008-08-18,0.996
2008-08-25,0.986
2008-09-01,0.998
2008-09-08,1.009
2008-09-15,0.989
2008-09-22,0.977
2008-09-29,0.938
2008-10-06,0.9618
2008-10-13,0.9546
2008-10-20,0.9039
2008-10-27,0.8463
2008-11-03,0.828
2008-11-10,0.8146
2008-11-17,0.817
2008-11-24,0.7863
2008-12-01,0.7574
2008-12-08,0.74
2008-12-15,0.702
2009-01-05,0.6312
2009-01-12,0.6245
2009-01-19,0.6676
2009-01-26,0.6793
2009-02-02,0.6567
2009-02-09,0.6613
2009-02-16,0.6559
2009-02-23,0.6559
2009-03-02,0.637
2009-03-09,0.6188
2009-03-16,0.6145
2009-03-23,0.6164
2009-03-30,0.6248
2009-04-06,0.6328
2009-04-20,0.6579
2009-04-27,0.6633
2009-05-04,0.6503
2009-05-11,0.6479
2009-05-18,0.6479
2009-05-25,0.672
2009-06-01,0.6678
2009-06-08,0.661
2009-06-15,0.68
2009-06-22,0.696
2009-06-29,0.707
2009-07-06,0.705
2009-07-13,0.702
2009-07-20,0.679
2009-07-27,0.678
2009-08-03,0.694
2009-08-10,0.705
2009-08-17,0.723
2009-08-24,0.726
2009-08-31,0.722
2009-09-07,0.72
2009-09-14,0.703
2009-09-21,0.701
2009-09-28,0.699
2009-10-05,0.692
2009-10-12,0.692
2009-10-19,0.692
2009-10-26,0.711
2009-11-02,0.723
2009-11-09,0.729
2009-11-16,0.73
2009-11-23,0.726
2009-11-30,0.725
2009-12-07,0.72
2009-12-14,0.721
2009-12-21,0.716
2010-01-04,0.723
2010-01-11,0.741
2010-01-18,0.76
2010-01-25,0.752
2010-02-01,0.744
2010-02-08,0.738
2010-02-15,0.738
2010-02-22,0.745
2010-03-01,0.76
2010-03-08,0.769
2010-03-15,0.778
2010-03-22,0.786
2010-03-29,0.792
2010-04-12,0.817
2010-04-19,0.823
2010-04-26,0.823
2010-05-03,0.832
2010-05-10,0.839
2010-05-17,0.84
2010-05-24,0.834
2010-05-31,0.816
2010-06-07,0.82
2010-06-14,0.826
2010-06-21,0.831
2010-06-28,0.84
2010-07-05,0.847
2010-07-12,0.833
2010-07-19,0.827
2010-07-26,0.826
2010-08-02,0.825
2010-08-09,0.829
2010-08-16,0.836
2010-08-23,0.831
2010-08-30,0.829
2010-09-06,0.845
2010-09-13,0.859
2010-09-20,0.865
2010-09-27,0.866
2010-10-04,0.868
2010-10-11,0.869
2010-10-18,0.873
2010-10-25,0.873
2010-11-08,0.872
2010-11-15,0.879
2010-11-22,0.888
2010-11-29,0.886
2010-12-06,0.898
2010-12-13,0.914
2010-12-20,0.917
2011-01-03,0.94
2011-01-10,0.943
2011-01-17,0.957
2011-01-24,0.957
2011-01-31,0.959
2011-02-07,0.967
2011-02-14,0.975
2011-02-21,0.983
2011-02-28,0.994
2011-03-07,1.013
2011-03-14,1.037
2011-03-21,1.061
2011-03-28,1.071
2011-04-04,1.074
2011-04-11,1.085
2011-04-18,1.088
2011-05-02,1.087
2011-05-09,1.081
2011-05-16,1.067
2011-05-23,1.06
2011-05-30,1.049
2011-06-06,1.063
2011-06-13,1.063
2011-06-20,1.065
2011-06-27,1.064
2011-07-04,1.052
2011-07-11,1.057
2011-07-18,1.071
2011-07-25,1.08
2011-08-01,1.08
2011-08-08,1.081
2011-08-22,1.054
2011-08-29,1.055
2011-09-05,1.064
2011-09-12,1.072
2011-09-19,1.074
2011-09-26,1.075
2011-10-03,1.074
2011-10-10,1.07
2011-10-17,1.072
2011-10-24,1.081
2011-10-31,1.089
2011-11-07,1.089
2011-11-14,1.099
2011-11-21,1.114
2011-11-28,1.112
2011-12-05,1.111
2011-12-12,1.11
2011-12-19,1.107
2012-01-09,1.238
2012-01-16,1.277
2012-01-23,1.279
2012-01-30,1.27
2012-02-06,1.27
2012-02-13,1.284
2012-02-20,1.301
2012-02-27,1.309
2012-03-05,1.313
2012-03-12,1.32
2012-03-19,1.33
