# Gasóleo de calefacción, sin impuestos (AT)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-15T04:04:17+00:00
date,value
2005-01-03,0.3065
2005-01-10,0.2966
2005-01-17,0.3045
2005-01-24,0.3106
2005-01-31,0.3214
2005-02-07,0.3161
2005-02-14,0.319
2005-02-21,0.3208
2005-02-28,0.3346
2005-03-07,0.3607
2005-03-14,0.3635
2005-03-21,0.3668
2005-04-04,0.3775
2005-04-11,0.3902
2005-04-18,0.3703
2005-04-25,0.3629
2005-05-02,0.365
2005-05-09,0.3559
2005-05-16,0.3476
2005-05-23,0.3417
2005-05-30,0.3493
2005-06-06,0.3733
2005-06-13,0.3963
2005-06-20,0.4118
2005-06-27,0.4156
2005-07-04,0.4157
2005-07-11,0.4418
2005-07-18,0.4323
2005-07-25,0.4178
2005-08-01,0.4166
2005-08-08,0.4198
2005-08-15,0.4198
2005-08-22,0.4577
2005-08-29,0.4696
2005-09-05,0.5161
2005-09-12,0.4993
2005-09-19,0.4684
2005-09-26,0.4957
2005-10-03,0.5101
2005-10-10,0.4871
2005-10-17,0.4878
2005-10-24,0.4693
2005-11-07,0.444
2005-11-14,0.4322
2005-11-21,0.4263
2005-11-28,0.4211
2005-12-05,0.4239
2005-12-12,0.4311
2005-12-19,0.4389
2006-01-09,0.4396
2006-01-16,0.4304
2006-01-23,0.4404
2006-01-30,0.4434
2006-02-06,0.4447
2006-02-13,0.4377
2006-02-20,0.4359
2006-02-27,0.4382
2006-03-06,0.4567
2006-03-13,0.4432
2006-03-20,0.4565
2006-03-27,0.4544
2006-04-03,0.4669
2006-04-10,0.4664
2006-04-24,0.4929
2006-05-01,0.4866
2006-05-08,0.4737
2006-05-15,0.4817
2006-05-22,0.4628
2006-05-29,0.4726
2006-06-05,0.4767
2006-06-12,0.477
2006-06-19,0.4772
2006-06-26,0.4791
2006-07-03,0.4893
2006-07-10,0.4827
2006-07-17,0.4982
2006-07-24,0.4859
2006-07-31,0.484
2006-08-07,0.5022
2006-08-14,0.5064
2006-08-21,0.4919
2006-08-28,0.5006
2006-09-04,0.4968
2006-09-11,0.4797
2006-09-18,0.441
2006-09-25,0.432
2006-10-02,0.456
2006-10-09,0.4541
2006-10-16,0.4603
2006-10-23,0.459
2006-10-30,0.4566
2006-11-06,0.4467
2006-11-13,0.4555
2006-11-20,0.4476
2006-11-27,0.4309
2006-12-04,0.4395
2006-12-11,0.4319
2006-12-18,0.4223
2007-01-08,0.3901
2007-01-15,0.3767
2007-01-22,0.3668
2007-01-29,0.3823
2007-02-05,0.3949
2007-02-12,0.3989
2007-02-19,0.3879
2007-02-26,0.396
2007-03-05,0.4042
2007-03-12,0.403
2007-03-19,0.3954
2007-03-26,0.395
2007-04-02,0.4196
2007-04-16,0.4256
2007-04-23,0.4129
2007-04-30,0.421
2007-05-07,0.4174
2007-05-14,0.416
2007-05-21,0.4233
2007-05-28,0.4326
2007-06-04,0.4216
2007-06-11,0.4319
2007-06-18,0.44
2007-06-25,0.4439
2007-07-02,0.4437
2007-07-09,0.4462
2007-07-16,0.4514
2007-07-23,0.4487
2007-07-30,0.4478
2007-08-06,0.4504
2007-08-13,0.4341
2007-08-20,0.44
2007-08-27,0.4351
2007-09-03,0.448
2007-09-10,0.4677
2007-09-17,0.4807
2007-09-24,0.483
2007-10-01,0.4796
2007-10-08,0.4697
2007-10-15,0.4749
2007-10-22,0.4882
2007-10-29,0.4953
2007-11-05,0.5171
2007-11-12,0.5365
2007-11-19,0.5318
2007-11-26,0.5468
2007-12-03,0.5351
2007-12-10,0.5199
2007-12-17,0.5335
2008-01-07,0.5531
2008-01-14,0.5267
2008-01-21,0.5152
2008-01-28,0.5096
2008-02-04,0.5138
2008-02-11,0.518
2008-02-18,0.5495
2008-02-25,0.5671
2008-03-03,0.5656
2008-03-10,0.5794
2008-03-17,0.5885
2008-03-31,0.5718
2008-04-07,0.5679
2008-04-14,0.6069
2008-04-21,0.6078
2008-04-28,0.6251
2008-05-05,0.6304
2008-05-12,0.6849
2008-05-19,0.7035
2008-05-26,0.7395
2008-06-02,0.7269
2008-06-09,0.7317
2008-06-16,0.7661
2008-06-23,0.7623
2008-06-30,0.765
2008-07-07,0.7922
2008-07-14,0.7766
2008-07-21,0.7498
2008-07-28,0.718
2008-08-04,0.6986
2008-08-11,0.6613
2008-08-18,0.658
2008-08-25,0.6792
2008-09-01,0.6789
2008-09-08,0.6509
2008-09-15,0.6462
2008-09-22,0.6235
2008-09-29,0.6766
2008-10-06,0.6603
2008-10-13,0.6073
2008-10-20,0.585
2008-10-27,0.6335
2008-11-03,0.5956
2008-11-10,0.579
2008-11-17,0.5307
2008-11-24,0.4612
2008-12-01,0.4434
2008-12-08,0.3973
2008-12-15,0.3881
2009-01-05,0.369
2009-01-12,0.4095
2009-01-19,0.4091
2009-01-26,0.3821
2009-02-02,0.3902
2009-02-09,0.3842
2009-02-16,0.3693
2009-02-23,0.3421
2009-03-02,0.3564
2009-03-09,0.3471
2009-03-16,0.3503
2009-03-23,0.3791
2009-03-30,0.4014
2009-04-06,0.3936
2009-04-20,0.3864
2009-04-27,0.3694
2009-05-04,0.3664
2009-05-11,0.3965
2009-05-18,0.3862
2009-05-25,0.3801
2009-06-01,0.3993
2009-06-08,0.4183
2009-06-15,0.4341
2009-06-22,0.4349
2009-06-29,0.4293
2009-07-06,0.4125
2009-07-13,0.3857
2009-07-20,0.3922
2009-07-27,0.4232
2009-08-03,0.4228
2009-08-10,0.4442
2009-08-17,0.4373
2009-08-24,0.4335
2009-08-31,0.427
2009-09-07,0.4106
2009-09-14,0.4103
2009-09-21,0.4193
2009-09-28,0.3998
2009-10-05,0.4126
2009-10-12,0.4155
2009-10-19,0.4379
2009-10-26,0.4555
2009-11-02,0.4549
2009-11-09,0.4477
2009-11-16,0.4355
2009-11-23,0.4365
2009-11-30,0.427
2009-12-07,0.4331
2009-12-14,0.4209
2009-12-21,0.4344
2010-01-04,0.4586
2010-01-11,0.4772
2010-01-18,0.4595
2010-01-25,0.4465
2010-02-01,0.4456
2010-02-08,0.4504
2010-02-15,0.4511
2010-02-22,0.4715
2010-03-01,0.4759
2010-03-08,0.4881
2010-03-15,0.5008
2010-03-22,0.504
2010-03-29,0.5093
2010-04-12,0.5412
2010-04-19,0.5303
2010-04-26,0.5329
2010-05-03,0.5504
2010-05-10,0.5397
2010-05-17,0.5444
2010-05-24,0.5135
2010-05-31,0.5233
2010-06-07,0.5339
2010-06-14,0.5397
2010-06-21,0.5529
2010-06-28,0.5436
2010-07-05,0.5136
2010-07-12,0.5129
2010-07-19,0.5071
2010-07-26,0.5111
2010-08-02,0.5077
2010-08-09,0.5239
2010-08-16,0.5091
2010-08-23,0.5057
2010-08-30,0.5076
2010-09-06,0.5138
2010-09-13,0.5267
2010-09-20,0.5203
2010-09-27,0.5172
2010-10-04,0.5314
2010-10-11,0.533
2010-10-18,0.5272
2010-10-25,0.5207
2010-11-08,0.535
2010-11-15,0.5535
2010-11-22,0.5357
2010-11-29,0.5539
2010-12-06,0.5775
2010-12-13,0.5846
2010-12-20,0.5769
2011-01-03,0.5924
2011-01-10,0.5951
2011-01-17,0.6095
2011-01-24,0.5949
2011-01-31,0.5966
2011-02-07,0.6191
2011-02-14,0.6218
2011-02-21,0.6335
2011-02-28,0.6564
2011-03-07,0.6807
2011-03-14,0.6772
2011-03-21,0.669
2011-03-28,0.6777
2011-04-04,0.6846
2011-04-11,0.6987
2011-04-18,0.6846
2011-05-02,0.6791
2011-05-09,0.6417
2011-05-16,0.636
2011-05-23,0.632
2011-05-30,0.6464
2011-06-06,0.6487
2011-06-13,0.6558
2011-06-20,0.6531
2011-06-27,0.6185
2011-07-04,0.629
2011-07-11,0.6581
2011-07-18,0.6685
2011-07-25,0.6698
