# Gasóleo de calefacción, sin impuestos (DE)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-17T09:34:42+00:00
date,value
2005-01-03,0.3123
2005-01-10,0.308
2005-01-17,0.3101
2005-01-24,0.3123
2005-01-31,0.3287
2005-02-07,0.3136
2005-02-14,0.3132
2005-02-21,0.3225
2005-02-28,0.3503
2005-03-07,0.3758
2005-03-14,0.3699
2005-03-21,0.3784
2005-04-04,0.3851
2005-04-11,0.3937
2005-04-18,0.3671
2005-04-25,0.3673
2005-05-02,0.3626
2005-05-09,0.3543
2005-05-16,0.3483
2005-05-23,0.343
2005-05-30,0.351
2005-06-06,0.3896
2005-06-13,0.4002
2005-06-20,0.4139
2005-06-27,0.4116
2005-07-04,0.4141
2005-07-11,0.4574
2005-07-18,0.4472
2005-07-25,0.4277
2005-08-01,0.4327
2005-08-08,0.4325
2005-08-15,0.4496
2005-08-22,0.4719
2005-08-29,0.4978
2005-09-05,0.5343
2005-09-12,0.4996
2005-09-19,0.4953
2005-09-26,0.5105
2005-10-03,0.5265
2005-10-10,0.5043
2005-10-17,0.5063
2005-10-24,0.4856
2005-11-07,0.4606
2005-11-14,0.4608
2005-11-21,0.4544
2005-11-28,0.4465
2005-12-05,0.4455
2005-12-12,0.4477
2005-12-19,0.4572
2006-01-09,0.4517
2006-01-16,0.4453
2006-01-23,0.4556
2006-01-30,0.4628
2006-02-06,0.4718
2006-02-13,0.4592
2006-02-20,0.4535
2006-02-27,0.4569
2006-03-06,0.4735
2006-03-13,0.4608
2006-03-20,0.4715
2006-03-27,0.469
2006-04-03,0.4867
2006-04-10,0.4803
2006-04-24,0.5112
2006-05-01,0.5002
2006-05-08,0.4947
2006-05-15,0.5009
2006-05-22,0.475
2006-05-29,0.4883
2006-06-05,0.4871
2006-06-12,0.4863
2006-06-19,0.4826
2006-06-26,0.4849
2006-07-03,0.4938
2006-07-10,0.4961
2006-07-17,0.5007
2006-07-24,0.4931
2006-07-31,0.4894
2006-08-07,0.5076
2006-08-14,0.5104
2006-08-21,0.495
2006-08-28,0.5
2006-09-04,0.5071
2006-09-11,0.4903
2006-09-18,0.4723
2006-09-25,0.4674
2006-10-02,0.4754
2006-10-09,0.4594
2006-10-16,0.4597
2006-10-23,0.4581
2006-10-30,0.4558
2006-11-06,0.4339
2006-11-13,0.4431
2006-11-20,0.4324
2006-11-27,0.426
2006-12-04,0.4402
2006-12-11,0.4306
2006-12-18,0.4228
2007-01-08,0.3993
2007-01-15,0.3899
2007-01-22,0.3823
2007-01-29,0.3953
2007-02-05,0.4054
2007-02-12,0.4074
2007-02-19,0.4026
2007-02-26,0.4056
2007-03-05,0.4191
2007-03-12,0.4195
2007-03-19,0.409
2007-03-26,0.4046
2007-04-02,0.4305
2007-04-16,0.4391
2007-04-23,0.4251
2007-04-30,0.4325
2007-05-07,0.4365
2007-05-14,0.426
2007-05-21,0.4351
2007-05-28,0.4446
2007-06-04,0.4335
2007-06-11,0.4423
2007-06-18,0.4444
2007-06-25,0.4509
2007-07-02,0.4499
2007-07-09,0.4558
2007-07-16,0.4652
2007-07-23,0.4634
2007-07-30,0.4626
2007-08-06,0.4644
2007-08-13,0.4478
2007-08-20,0.4603
2007-08-27,0.4522
2007-09-03,0.4635
2007-09-10,0.4767
2007-09-17,0.4948
2007-09-24,0.4979
2007-10-01,0.4842
2007-10-08,0.4736
2007-10-15,0.4819
2007-10-22,0.4963
2007-10-29,0.5057
2007-11-05,0.5232
2007-11-12,0.5521
2007-11-19,0.5485
2007-11-26,0.5664
2007-12-03,0.5533
2007-12-10,0.5311
2007-12-17,0.5465
2008-01-07,0.5744
2008-01-14,0.5548
2008-01-21,0.5333
2008-01-28,0.5251
2008-02-04,0.5362
2008-02-11,0.5248
2008-02-18,0.5706
2008-02-25,0.5954
2008-03-03,0.5781
2008-03-10,0.6043
2008-03-17,0.6026
2008-03-31,0.5871
2008-04-07,0.5848
2008-04-14,0.628
2008-04-21,0.6359
2008-04-28,0.6478
2008-05-05,0.6614
2008-05-12,0.6977
2008-05-19,0.7249
2008-05-26,0.7355
2008-06-02,0.7416
2008-06-09,0.7049
2008-06-16,0.7702
2008-06-23,0.7521
2008-06-30,0.7354
2008-07-07,0.7707
2008-07-14,0.7441
2008-07-21,0.7425
2008-07-28,0.7101
2008-08-04,0.7126
2008-08-11,0.6681
2008-08-18,0.674
2008-08-25,0.6799
2008-09-01,0.6907
2008-09-08,0.6683
2008-09-15,0.663
2008-09-22,0.6388
2008-09-29,0.6773
2008-10-06,0.675
2008-10-13,0.61
2008-10-20,0.5607
2008-10-27,0.5799
2008-11-03,0.5771
2008-11-10,0.5684
2008-11-17,0.5108
2008-11-24,0.4731
2008-12-01,0.4511
2008-12-08,0.4128
2008-12-15,0.3829
2009-01-05,0.3818
2009-01-12,0.4381
2009-01-19,0.4277
2009-01-26,0.4093
2009-02-02,0.4046
2009-02-09,0.3903
2009-02-16,0.3919
2009-02-23,0.3541
2009-03-02,0.3624
2009-03-09,0.3546
2009-03-16,0.3454
2009-03-23,0.3703
2009-03-30,0.4019
2009-04-06,0.3873
2009-04-20,0.3855
2009-04-27,0.3653
2009-05-04,0.3604
2009-05-11,0.3926
2009-05-18,0.3815
2009-05-25,0.381
2009-06-01,0.3793
2009-06-08,0.4016
2009-06-15,0.4249
2009-06-22,0.4407
2009-06-29,0.425
2009-07-06,0.4197
2009-07-13,0.3916
2009-07-20,0.3946
2009-07-27,0.4118
2009-08-03,0.4124
2009-08-10,0.442
2009-08-17,0.443
2009-08-24,0.4451
2009-08-31,0.4248
2009-09-07,0.419
2009-09-14,0.4192
2009-09-21,0.4179
2009-09-28,0.409
2009-10-05,0.4243
2009-10-12,0.4224
2009-10-19,0.4438
2009-10-26,0.4677
2009-11-02,0.456
2009-11-09,0.4521
2009-11-16,0.4466
2009-11-23,0.4457
2009-11-30,0.4329
2009-12-07,0.434
2009-12-14,0.4245
2009-12-21,0.4409
2010-01-04,0.4651
2010-01-11,0.4849
2010-01-18,0.4654
2010-01-25,0.4575
2010-02-01,0.4476
2010-02-08,0.4637
2010-02-15,0.4599
2010-02-22,0.4719
2010-03-01,0.4882
2010-03-08,0.4885
2010-03-15,0.4987
2010-03-22,0.5072
2010-03-29,0.5084
2010-04-12,0.5358
2010-04-19,0.5289
2010-04-26,0.5324
2010-05-03,0.5454
2010-05-10,0.546
2010-05-17,0.5399
2010-05-24,0.5148
2010-05-31,0.5148
2010-06-07,0.5216
2010-06-14,0.5357
2010-06-21,0.5486
2010-06-28,0.5423
2010-07-05,0.5248
2010-07-12,0.5121
2010-07-19,0.5205
2010-07-26,0.5103
2010-08-02,0.5066
2010-08-09,0.5309
2010-08-16,0.5147
2010-08-23,0.5147
2010-08-30,0.5089
2010-09-06,0.5155
2010-09-13,0.5329
2010-09-20,0.5331
2010-09-27,0.5196
2010-10-04,0.5279
2010-10-11,0.5335
2010-10-18,0.5313
2010-10-25,0.5218
2010-11-08,0.5294
2010-11-15,0.5601
2010-11-22,0.5329
2010-11-29,0.544
2010-12-06,0.565
2010-12-13,0.5723
2010-12-20,0.575
2011-01-03,0.5924
2011-01-10,0.5892
2011-01-17,0.608
2011-01-24,0.6022
2011-01-31,0.5867
2011-02-07,0.6086
2011-02-14,0.6184
2011-02-21,0.63
2011-02-28,0.6405
2011-03-07,0.6803
2011-03-14,0.6742
2011-03-21,0.6662
2011-03-28,0.6776
2011-04-04,0.6732
2011-04-11,0.6887
2011-04-18,0.6784
2011-05-02,0.6708
2011-05-09,0.66
2011-05-16,0.6434
2011-05-23,0.6295
2011-05-30,0.6353
2011-06-06,0.6488
2011-06-13,0.6371
2011-06-20,0.6611
2011-06-27,0.6206
2011-07-04,0.6182
2011-07-11,0.6398
2011-07-18,0.6763
2011-07-25,0.6736
2011-08-01,0.6556
2011-08-08,0.6614
2011-08-22,0.6434
2011-08-29,0.6486
2011-09-05,0.6598
2011-09-12,0.658
2011-09-19,0.658
2011-09-26,0.6667
2011-10-03,0.6589
2011-10-10,0.6564
2011-10-17,0.672
2011-10-24,0.6909
2011-10-31,0.6948
2011-11-07,0.6981
2011-11-14,0.7049
2011-11-21,0.7223
2011-11-28,0.7036
2011-12-05,0.7095
2011-12-12,0.6984
2011-12-19,0.6881
2012-01-09,0.7039
2012-01-16,0.7248
2012-01-23,0.7079
2012-01-30,0.6893
2012-02-06,0.6993
2012-02-13,0.7371
2012-02-20,0.7493
2012-02-27,0.7465
2012-03-05,0.7298
2012-03-12,0.7287
2012-03-19,0.7524
2012-03-26,0.7346
