# Gasóleo de calefacción, sin impuestos (ES)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:56:10+00:00
date,value
2005-01-03,0.3342
2005-01-10,0.3026
2005-01-17,0.2999
2005-01-24,0.3053
2005-01-31,0.3141
2005-02-07,0.322
2005-02-14,0.3169
2005-02-21,0.3177
2005-02-28,0.3181
2005-03-07,0.331
2005-03-14,0.3564
2005-03-21,0.3665
2005-04-04,0.3783
2005-04-11,0.3813
2005-04-18,0.3874
2005-04-25,0.3784
2005-05-02,0.3661
2005-05-09,0.335
2005-05-16,0.355
2005-05-23,0.3507
2005-05-30,0.3443
2005-06-06,0.3561
2005-06-13,0.3665
2005-06-20,0.4013
2005-06-27,0.4139
2005-07-04,0.4161
2005-07-11,0.4183
2005-07-18,0.432
2005-07-25,0.4285
2005-08-01,0.4189
2005-08-08,0.4168
2005-08-15,0.4168
2005-08-22,0.4374
2005-08-29,0.4515
2005-09-05,0.4569
2005-09-12,0.4625
2005-09-19,0.467
2005-09-26,0.4576
2005-10-03,0.4741
2005-10-10,0.4743
2005-10-17,0.4817
2005-10-24,0.4709
2005-11-07,0.4557
2005-11-14,0.4424
2005-11-21,0.4278
2005-11-28,0.4111
2005-12-05,0.4081
2005-12-12,0.4011
2005-12-19,0.409
2006-01-09,0.4171
2006-01-16,0.4198
2006-01-23,0.4341
2006-01-30,0.4382
2006-02-06,0.4417
2006-02-13,0.4414
2006-02-20,0.4349
2006-02-27,0.4259
2006-03-06,0.4358
2006-03-13,0.4416
2006-03-20,0.441
2006-03-27,0.4366
2006-04-03,0.4416
2006-04-10,0.4461
2006-04-24,0.461
2006-05-01,0.4709
2006-05-08,0.4831
2006-05-15,0.4799
2006-05-22,0.4786
2006-05-29,0.4705
2006-06-05,0.4636
2006-06-12,0.4702
2006-06-19,0.473
2006-06-26,0.4718
2006-07-03,0.4683
2006-07-10,0.4778
2006-07-17,0.4813
2006-07-24,0.4755
2006-07-31,0.4754
2006-08-07,0.4693
2006-08-14,0.4778
2006-08-21,0.484
2006-08-28,0.4829
2006-09-04,0.4682
2006-09-11,0.4685
2006-09-18,0.4499
2006-09-25,0.4269
2006-10-02,0.4234
2006-10-09,0.4157
2006-10-16,0.4178
2006-10-23,0.425
2006-10-30,0.4294
2006-11-06,0.4244
2006-11-13,0.4136
2006-11-20,0.4132
2006-11-27,0.4129
2006-12-04,0.4134
2006-12-11,0.4154
2006-12-18,0.4141
2007-01-08,0.4013
2007-01-15,0.3903
2007-01-22,0.381
2007-01-29,0.3731
2007-02-05,0.376
2007-02-12,0.3844
2007-02-19,0.3914
2007-02-26,0.3945
2007-03-05,0.3932
2007-03-12,0.4027
2007-03-19,0.4076
2007-03-26,0.4038
2007-04-02,0.4017
2007-04-16,0.4288
2007-04-23,0.427
2007-04-30,0.4272
2007-05-07,0.4278
2007-05-14,0.4297
2007-05-21,0.4262
2007-05-28,0.4312
2007-06-04,0.4336
2007-06-11,0.4376
2007-06-18,0.4381
2007-06-25,0.4425
2007-07-02,0.4471
2007-07-09,0.4471
2007-07-16,0.4499
2007-07-23,0.4562
2007-07-30,0.4526
2007-08-06,0.4548
2007-08-13,0.471
2007-08-20,0.4478
2007-08-27,0.4462
2007-09-03,0.4467
2007-09-10,0.4484
2007-09-17,0.457
2007-09-24,0.4703
2007-10-01,0.4814
2007-10-08,0.4782
2007-10-15,0.4795
2007-10-22,0.491
2007-10-29,0.505
2007-11-05,0.523
2007-11-12,0.541
2007-11-19,0.5493
2007-11-26,0.5612
2007-12-03,0.5584
2007-12-10,0.55
2007-12-17,0.5452
2008-01-07,0.5606
2008-01-14,0.5559
2008-01-21,0.5461
2008-01-28,0.5383
2008-02-04,0.5397
2008-02-11,0.5414
2008-02-18,0.5624
2008-02-25,0.5795
2008-03-03,0.5893
2008-03-10,0.6011
2008-03-17,0.6123
2008-03-31,0.6025
2008-04-07,0.5988
2008-04-14,0.6128
2008-04-21,0.6291
2008-04-28,0.6442
2008-05-05,0.652
2008-05-12,0.6917
2008-05-19,0.7165
2008-05-26,0.7402
2008-06-02,0.746
2008-06-09,0.7459
2008-06-16,0.7606
2008-06-23,0.7579
2008-06-30,0.756
2008-07-07,0.7664
2008-07-14,0.7722
2008-07-21,0.7768
2008-07-28,0.7382
2008-08-04,0.7118
2008-08-11,0.6878
2008-08-18,0.6727
2008-08-25,0.6555
2008-09-01,0.6732
2008-09-08,0.6669
2008-09-15,0.6593
2008-09-22,0.6415
2008-09-29,0.6364
2008-10-06,0.6405
2008-10-13,0.6123
2008-10-20,0.5648
2008-10-27,0.5344
2008-11-03,0.5201
2008-11-10,0.5189
2008-11-17,0.5015
2008-11-24,0.4718
2008-12-01,0.4516
2008-12-08,0.4412
2008-12-15,0.4003
2009-01-05,0.3603
2009-01-12,0.3855
2009-01-19,0.3917
2009-01-26,0.3801
2009-02-02,0.3756
2009-02-09,0.3746
2009-02-16,0.3697
2009-02-23,0.3513
2009-03-02,0.3402
2009-03-09,0.3324
2009-03-16,0.3294
2009-03-23,0.3326
2009-03-30,0.3476
2009-04-06,0.3576
2009-04-20,0.3684
2009-04-27,0.3621
2009-05-04,0.3586
2009-05-11,0.3564
2009-05-18,0.3706
2009-05-25,0.3668
2009-06-01,0.3696
2009-06-08,0.3831
2009-06-15,0.4061
2009-06-22,0.4195
2009-06-29,0.4179
2009-07-06,0.4137
2009-07-13,0.3962
2009-07-20,0.3884
2009-07-27,0.3918
2009-08-03,0.4077
2009-08-10,0.4146
2009-08-17,0.4278
2009-08-24,0.4266
2009-08-31,0.4258
2009-09-07,0.419
2009-09-14,0.4106
2009-09-21,0.4047
2009-09-28,0.4009
2009-10-05,0.3973
2009-10-12,0.3938
2009-10-19,0.4127
2009-10-26,0.4247
2009-11-02,0.4306
2009-11-09,0.4352
2009-11-16,0.431
2009-11-23,0.4318
2009-11-30,0.4269
2009-12-07,0.4261
2009-12-14,0.4276
2009-12-21,0.4268
2010-01-04,0.4382
2010-01-11,0.4635
2010-01-18,0.4598
2010-01-25,0.4555
2010-02-01,0.4485
2010-02-08,0.4478
2010-02-15,0.4436
2010-02-22,0.4494
2010-03-01,0.4664
2010-03-08,0.4744
2010-03-15,0.4834
2010-03-22,0.4865
2010-03-29,0.4901
2010-04-12,0.5156
2010-04-19,0.5169
2010-04-26,0.5194
2010-05-03,0.527
2010-05-10,0.5312
2010-05-17,0.5297
2010-05-24,0.5139
2010-05-31,0.5075
2010-06-07,0.5068
2010-06-14,0.5156
2010-06-21,0.5287
2010-06-28,0.537
2010-07-05,0.5278
2010-07-12,0.5121
2010-07-19,0.5084
2010-07-26,0.5041
2010-08-02,0.5066
2010-08-09,0.5127
2010-08-16,0.5142
2010-08-23,0.5032
2010-08-30,0.4975
2010-09-06,0.5002
2010-09-13,0.5039
2010-09-20,0.5133
2010-09-27,0.5095
2010-10-04,0.5089
2010-10-11,0.5135
2010-10-18,0.5148
2010-10-25,0.5124
2010-11-08,0.5113
2010-11-15,0.5213
2010-11-22,0.5242
2010-11-29,0.5297
2010-12-06,0.5417
2010-12-13,0.5516
2010-12-20,0.5695
2011-01-03,0.5738
2011-01-10,0.5749
2011-01-17,0.5883
2011-01-24,0.5913
2011-01-31,0.5891
2011-02-07,0.6011
2011-02-14,0.6037
2011-02-21,0.6137
2011-02-28,0.6285
2011-03-07,0.647
2011-03-14,0.6604
2011-03-21,0.6595
2011-03-28,0.6623
2011-04-04,0.6615
2011-04-11,0.6643
2011-04-18,0.6747
2011-05-02,0.6645
2011-05-09,0.6498
2011-05-16,0.6373
2011-05-23,0.6228
2011-05-30,0.6294
2011-06-06,0.6308
2011-06-13,0.6304
2011-06-20,0.6396
2011-06-27,0.6339
2011-07-04,0.6211
2011-07-11,0.6211
2011-07-18,0.6496
2011-07-25,0.6559
2011-08-01,0.6586
2011-08-08,0.6506
2011-08-22,0.6305
2011-08-29,0.6363
2011-09-05,0.6385
2011-09-12,0.6445
2011-09-19,0.6469
2011-09-26,0.6499
2011-10-03,0.6422
2011-10-10,0.6382
2011-10-17,0.6438
2011-10-24,0.6515
2011-10-31,0.658
2011-11-07,0.6612
2011-11-14,0.6764
2011-11-21,0.688
2011-11-28,0.685
2011-12-05,0.6852
