# Gasóleo de calefacción, sin impuestos (IT)
# Unidad: EUR/l
# Fuente: Comisión Europea, Weekly Oil Bulletin (datos comunicados por los Estados miembros; España: MITECO) - https://energy.ec.europa.eu/data-and-analysis/weekly-oil-bulletin_en
# Licencia: CC BY 4.0 (Decisión 2011/833/UE) - https://commission.europa.eu/legal-notice_en
# Cita obligatoria: Fuente: Comisión Europea, Weekly Oil Bulletin
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:45:56+00:00
date,value
2005-01-03,0.3872
2005-01-10,0.3867
2005-01-17,0.3905
2005-01-24,0.4001
2005-01-31,0.4076
2005-02-07,0.3932
2005-02-14,0.3997
2005-02-21,0.4037
2005-02-28,0.4213
2005-03-07,0.4402
2005-03-14,0.436
2005-03-21,0.4425
2005-04-04,0.4511
2005-04-11,0.4558
2005-04-18,0.4455
2005-04-25,0.4435
2005-05-02,0.4371
2005-05-09,0.4308
2005-05-16,0.4187
2005-05-23,0.4221
2005-05-30,0.431
2005-06-06,0.4504
2005-06-13,0.4626
2005-06-20,0.4718
2005-06-27,0.4797
2005-07-04,0.4838
2005-07-11,0.4982
2005-07-18,0.4907
2005-07-25,0.4774
2005-08-01,0.4824
2005-08-08,0.4846
2005-08-15,0.4846
2005-08-22,0.5032
2005-08-29,0.5231
2005-09-05,0.5536
2005-09-12,0.5315
2005-09-19,0.5339
2005-09-26,0.5422
2005-10-03,0.5547
2005-10-10,0.5442
2005-10-17,0.5514
2005-10-24,0.5348
2005-11-07,0.5171
2005-11-14,0.5067
2005-11-21,0.5058
2005-11-28,0.4923
2005-12-05,0.5008
2005-12-12,0.5033
2005-12-19,0.5096
2006-01-09,0.5197
2006-01-16,0.5152
2006-01-23,0.5271
2006-01-30,0.5226
2006-02-06,0.5238
2006-02-13,0.5154
2006-02-20,0.5135
2006-02-27,0.5161
2006-03-06,0.533
2006-03-13,0.5229
2006-03-20,0.5254
2006-03-27,0.5272
2006-04-03,0.5324
2006-04-10,0.5318
2006-04-24,0.5542
2006-05-01,0.5552
2006-05-08,0.5499
2006-05-15,0.5598
2006-05-22,0.5436
2006-05-29,0.5424
2006-06-05,0.5417
2006-06-12,0.5433
2006-06-19,0.5464
2006-06-26,0.5472
2006-07-03,0.5504
2006-07-10,0.5464
2006-07-17,0.5578
2006-07-24,0.5472
2006-07-31,0.55
2006-08-07,0.5551
2006-08-14,0.5564
2006-08-21,0.5526
2006-08-28,0.5581
2006-09-04,0.5522
2006-09-11,0.5409
2006-09-18,0.517
2006-09-25,0.5022
2006-10-02,0.5054
2006-10-09,0.5018
2006-10-16,0.5016
2006-10-23,0.4999
2006-10-30,0.5043
2006-11-06,0.4904
2006-11-13,0.4981
2006-11-20,0.4981
2006-11-27,0.4933
2006-12-04,0.505
2006-12-11,0.497
2006-12-18,0.4985
2007-01-08,0.4761
2007-01-15,0.4682
2007-01-22,0.4579
2007-01-29,0.4691
2007-02-05,0.4755
2007-02-12,0.4775
2007-02-19,0.4717
2007-02-26,0.4808
2007-03-05,0.4842
2007-03-12,0.487
2007-03-19,0.4848
2007-03-26,0.486
2007-04-02,0.4998
2007-04-16,0.5103
2007-04-23,0.5032
2007-04-30,0.5039
2007-05-07,0.5064
2007-05-14,0.5058
2007-05-21,0.5115
2007-05-28,0.5147
2007-06-04,0.5074
2007-06-11,0.5167
2007-06-18,0.5197
2007-06-25,0.5239
2007-07-02,0.52
2007-07-09,0.5266
2007-07-16,0.5295
2007-07-23,0.5309
2007-07-30,0.5333
2007-08-06,0.5347
2007-08-13,0.5264
2007-08-20,0.5224
2007-08-27,0.5203
2007-09-03,0.5271
2007-09-10,0.5353
2007-09-17,0.5453
2007-09-24,0.5535
2007-10-01,0.5495
2007-10-08,0.5408
2007-10-15,0.5495
2007-10-22,0.5629
2007-10-29,0.5717
2007-11-05,0.5936
2007-11-12,0.6132
2007-11-19,0.6113
