# Índice de precios: combustibles líquidos (gasóleo) (AT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-19T08:17:46+00:00
date,value
1996-01-01,41.75
1996-02-01,41.82
1996-03-01,42.83
1996-04-01,43.53
1996-05-01,42.92
1996-06-01,40.63
1996-07-01,40.67
1996-08-01,41.11
1996-09-01,42.91
1996-10-01,47.27
1996-11-01,49.71
1996-12-01,49.8
1997-01-01,49.18
1997-02-01,48.07
1997-03-01,45.6
1997-04-01,45.25
1997-05-01,44.62
1997-06-01,44.29
1997-07-01,43.4
1997-08-01,44.86
1997-09-01,44.72
1997-10-01,45.69
1997-11-01,46.47
1997-12-01,46.35
1998-01-01,44.8
1998-02-01,42.81
1998-03-01,41.25
1998-04-01,40.65
1998-05-01,40.95
1998-06-01,39.85
1998-07-01,39.04
1998-08-01,38.32
1998-09-01,37.25
1998-10-01,38.59
1998-11-01,37.47
1998-12-01,36.52
1999-01-01,35.91
1999-02-01,35.85
1999-03-01,36.21
1999-04-01,39.1
1999-05-01,40.24
1999-06-01,39.52
1999-07-01,41.1
1999-08-01,43.22
1999-09-01,44.81
1999-10-01,47.26
1999-11-01,47.64
1999-12-01,52.48
2000-01-01,53.69
2000-02-01,54.87
2000-03-01,56.72
2000-04-01,54.8
2000-05-01,55.32
2000-06-01,56.34
2000-07-01,57.16
2000-08-01,58.95
2000-09-01,70.19
2000-10-01,73.38
2000-11-01,72.59
2000-12-01,73.69
2001-01-01,63.95
2001-02-01,61.44
2001-03-01,61.06
2001-04-01,60.6
2001-05-01,61.26
2001-06-01,62.21
2001-07-01,61.36
2001-08-01,60.81
2001-09-01,62.6
2001-10-01,62.22
2001-11-01,60.73
2001-12-01,58.34
2002-01-01,57.74
2002-02-01,56.41
2002-03-01,56.58
2002-04-01,61.22
2002-05-01,59.47
2002-06-01,57.1
2002-07-01,56.63
2002-08-01,56.5
2002-09-01,59.16
2002-10-01,60.68
2002-11-01,59.18
2002-12-01,58.71
2003-01-01,62.22
2003-02-01,65.23
2003-03-01,69.56
2003-04-01,59.32
2003-05-01,56.9
2003-06-01,57.41
2003-07-01,57.33
2003-08-01,58.34
2003-09-01,58.24
2003-10-01,58.67
2003-11-01,58.92
2003-12-01,58.44
2004-01-01,62.11
2004-02-01,60.6
2004-03-01,62.65
2004-04-01,63.68
2004-05-01,66.69
2004-06-01,66.55
2004-07-01,67.8
2004-08-01,72.93
2004-09-01,72.58
2004-10-01,78.32
2004-11-01,77.44
2004-12-01,77.99
2005-01-01,74.39
2005-02-01,75.39
2005-03-01,81.41
2005-04-01,85.61
2005-05-01,80.98
2005-06-01,84.43
2005-07-01,89.86
2005-08-01,90.55
2005-09-01,101.88
2005-10-01,99.4
