# Índice de precios: combustibles líquidos (gasóleo) (DE)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-13T09:59:03+00:00
date,value
1996-01-01,43.9
1996-02-01,45.21
1996-03-01,44.99
1996-04-01,46.22
1996-05-01,44.22
1996-06-01,43.67
1996-07-01,44.39
1996-08-01,44.45
1996-09-01,48.58
1996-10-01,51.38
1996-11-01,49.02
1996-12-01,49.68
1997-01-01,52.49
1997-02-01,49.76
1997-03-01,46.79
1997-04-01,46.46
1997-05-01,46.99
1997-06-01,46.72
1997-07-01,46.84
1997-08-01,48.38
1997-09-01,47.35
1997-10-01,49.13
1997-11-01,48.74
1997-12-01,47.95
1998-01-01,45.57
1998-02-01,45.02
1998-03-01,43.63
1998-04-01,44.51
1998-05-01,43.85
1998-06-01,42.46
1998-07-01,42.18
1998-08-01,41.3
1998-09-01,41.34
1998-10-01,41.2
1998-11-01,40.49
1998-12-01,39.49
1999-01-01,39.61
1999-02-01,38.84
1999-03-01,42.31
1999-04-01,44.83
1999-05-01,44.48
1999-06-01,43.94
1999-07-01,47.06
1999-08-01,47.99
1999-09-01,50.38
1999-10-01,50.68
1999-11-01,52
1999-12-01,55.17
2000-01-01,55.51
2000-02-01,57.48
2000-03-01,59.9
2000-04-01,57.39
2000-05-01,60.01
2000-06-01,60.74
2000-07-01,62.55
2000-08-01,64.74
2000-09-01,79.34
2000-10-01,75.16
2000-11-01,74.14
2000-12-01,71.31
2001-01-01,65.12
2001-02-01,65.78
2001-03-01,64.96
2001-04-01,66.18
2001-05-01,67.06
2001-06-01,69.02
2001-07-01,67.75
2001-08-01,68.16
2001-09-01,70.95
2001-10-01,66.74
2001-11-01,63.34
2001-12-01,60.3
2002-01-01,60.55
2002-02-01,60.1
2002-03-01,62.25
2002-04-01,63.9
2002-05-01,63.21
2002-06-01,61.09
2002-07-01,61.61
2002-08-01,61.85
2002-09-01,64.09
2002-10-01,64.87
2002-11-01,60.95
2002-12-01,63.13
2003-01-01,65.29
2003-02-01,68.65
2003-03-01,71.54
2003-04-01,62.73
2003-05-01,60.16
2003-06-01,60.57
2003-07-01,61.4
2003-08-01,62.16
2003-09-01,61.76
2003-10-01,64.01
2003-11-01,63.42
2003-12-01,62.63
2004-01-01,63.3
2004-02-01,60.82
2004-03-01,63.44
2004-04-01,64.4
2004-05-01,67.12
2004-06-01,65.98
2004-07-01,68.01
2004-08-01,71.68
2004-09-01,72.42
2004-10-01,80.36
2004-11-01,74.39
2004-12-01,72.19
2005-01-01,72.16
2005-02-01,73.13
2005-03-01,79.61
2005-04-01,81.51
2005-05-01,79.27
2005-06-01,86.28
2005-07-01,89.79
2005-08-01,92.51
2005-09-01,96.67
2005-10-01,98.73
2005-11-01,93.34
2005-12-01,93.74
2006-01-01,93.07
2006-02-01,94.74
2006-03-01,95.74
2006-04-01,98.72
2006-05-01,99.26
2006-06-01,99.36
2006-07-01,100.68
2006-08-01,101.38
2006-09-01,98.03
2006-10-01,96.52
2006-11-01,93.51
2006-12-01,92.33
2007-01-01,89.43
2007-02-01,91.28
2007-03-01,91.71
2007-04-01,94.48
2007-05-01,93.8
2007-06-01,94.98
2007-07-01,97.12
2007-08-01,96.79
2007-09-01,100.61
2007-10-01,100.58
2007-11-01,107.92
2007-12-01,107.22
2008-01-01,108.18
2008-02-01,110.63
2008-03-01,115.37
2008-04-01,118.98
2008-05-01,129.52
2008-06-01,134.61
2008-07-01,137.22
2008-08-01,127.51
2008-09-01,126.45
2008-10-01,120.47
2008-11-01,111.65
2008-12-01,97.29
2009-01-01,100.02
2009-02-01,95.42
2009-03-01,91.34
2009-04-01,93.8
2009-05-01,93.59
2009-06-01,97.83
2009-07-01,93.92
2009-08-01,98.29
2009-09-01,95.08
2009-10-01,97.67
2009-11-01,97.31
2009-12-01,95.39
2010-01-01,99.37
2010-02-01,97.71
2010-03-01,102.12
2010-04-01,105.98
2010-05-01,107.24
2010-06-01,107.33
2010-07-01,104.91
2010-08-01,105
2010-09-01,106.6
2010-10-01,106.87
2010-11-01,108.39
2010-12-01,112.54
2011-01-01,116.46
2011-02-01,119.23
2011-03-01,126.3
2011-04-01,127.53
2011-05-01,122.58
2011-06-01,123.93
2011-07-01,125.88
2011-08-01,123.69
2011-09-01,127.01
2011-10-01,128.66
2011-11-01,132.99
2011-12-01,130.65
2012-01-01,134.1
2012-02-01,137.27
2012-03-01,137.53
2012-04-01,136.25
2012-05-01,134.23
2012-06-01,131.11
2012-07-01,134.78
2012-08-01,138.41
2012-09-01,139.34
2012-10-01,141.59
2012-11-01,139.79
2012-12-01,135.71
2013-01-01,135.24
2013-02-01,137.45
2013-03-01,134.63
2013-04-01,131.78
2013-05-01,130.68
2013-06-01,130.02
2013-07-01,132.94
2013-08-01,132.39
2013-09-01,135.17
2013-10-01,132.65
2013-11-01,130.2
2013-12-01,130.3
2014-01-01,128.4
2014-02-01,128.95
2014-03-01,127.29
2014-04-01,127.91
2014-05-01,127.45
2014-06-01,127.84
2014-07-01,127.04
2014-08-01,127.32
2014-09-01,127.35
2014-10-01,122.35
2014-11-01,120.99
2014-12-01,109.79
2015-01-01,100.84
2015-02-01,107.86
2015-03-01,108.16
2015-04-01,106.98
2015-05-01,108.56
2015-06-01,105.96
2015-07-01,101.81
2015-08-01,96.81
2015-09-01,95.52
2015-10-01,93.57
2015-11-01,92.84
2015-12-01,83.22
2016-01-01,75.77
2016-02-01,74.83
2016-03-01,78.34
2016-04-01,77.24
2016-05-01,80.7
2016-06-01,82.69
2016-07-01,80.3
2016-08-01,78.55
2016-09-01,79.51
2016-10-01,84.93
2016-11-01,82.04
2016-12-01,88.14
2017-01-01,89.3
2017-02-01,90.1
2017-03-01,87.9
2017-04-01,90.02
2017-05-01,86.25
2017-06-01,83.36
2017-07-01,83.72
2017-08-01,84.95
2017-09-01,87.99
2017-10-01,89.57
2017-11-01,92.95
2017-12-01,93.86
2018-01-01,95.72
2018-02-01,92.47
2018-03-01,93.19
2018-04-01,96.89
2018-05-01,102.23
2018-06-01,102.45
2018-07-01,102.37
2018-08-01,104.9
2018-09-01,112.74
2018-10-01,117.81
2018-11-01,123.59
2018-12-01,109.06
2019-01-01,106.04
2019-02-01,106.95
2019-03-01,107.65
2019-04-01,109.03
2019-05-01,110.65
2019-06-01,105.89
2019-07-01,107.22
2019-08-01,105.9
2019-09-01,107.99
2019-10-01,107.19
2019-11-01,105.55
2019-12-01,104.88
2020-01-01,104.79
2020-02-01,99.73
2020-03-01,93.86
2020-04-01,91.6
2020-05-01,87.49
2020-06-01,85.76
2020-07-01,83.05
2020-08-01,80.52
2020-09-01,76.8
2020-10-01,76.79
2020-11-01,76.37
2020-12-01,82.33
2021-01-01,89.18
2021-02-01,92.28
2021-03-01,95.75
2021-04-01,94.11
2021-05-01,96.63
2021-06-01,98.94
2021-07-01,101.25
2021-08-01,100.31
2021-09-01,103.79
2021-10-01,117.54
2021-11-01,120.04
2021-12-01,115.49
2022-01-01,121.53
2022-02-01,128.05
2022-03-01,187.04
2022-04-01,162.13
2022-05-01,166.77
2022-06-01,181.24
2022-07-01,184.25
2022-08-01,190.32
2022-09-01,197.11
2022-10-01,204.25
2022-11-01,188.37
2022-12-01,176.87
2023-01-01,177.36
2023-02-01,173.71
2023-03-01,173.5
2023-04-01,167.83
2023-05-01,161.06
2023-06-01,158.83
2023-07-01,156.14
2023-08-01,159.8
2023-09-01,160.57
2023-10-01,157.74
2023-11-01,153.38
2023-12-01,150.05
2024-01-01,148.39
2024-02-01,149.45
2024-03-01,147.69
2024-04-01,149.45
2024-05-01,145.64
2024-06-01,145.4
2024-07-01,146.41
2024-08-01,144.32
2024-09-01,141.07
2024-10-01,142.42
2024-11-01,140.04
2024-12-01,138.68
2025-01-01,142.91
2025-02-01,140.61
2025-03-01,136.19
2025-04-01,133.68
2025-05-01,131.25
2025-06-01,132.35
2025-07-01,133.02
2025-08-01,129.81
2025-09-01,129.69
2025-10-01,129.14
2025-11-01,132.54
2025-12-01,128.47
2026-01-01,128.27
2026-02-01,129.12
2026-03-01,154.74
2026-04-01,160.72
2026-05-01,156.56
2026-06-01,150.91
2026-07-01,157.28
