# Índice de precios: combustibles líquidos (gasóleo) (ES)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-24T08:45:29+00:00
date,value
1996-01-01,37.57
1996-02-01,37.57
1996-03-01,38.5
1996-04-01,39.24
1996-05-01,37.81
1996-06-01,37.5
1996-07-01,38.43
1996-08-01,38.74
1996-09-01,41.22
1996-10-01,45.72
1996-11-01,45.41
1996-12-01,45.64
1997-01-01,45.93
1997-02-01,43.31
1997-03-01,40.83
1997-04-01,40.52
1997-05-01,40.83
1997-06-01,40.52
1997-07-01,41.05
1997-08-01,42.5
1997-09-01,41.88
1997-10-01,43.03
1997-11-01,42.72
1997-12-01,42.1
1998-01-01,40.52
1998-02-01,38.92
1998-03-01,38.61
1998-04-01,39.29
1998-05-01,39.29
1998-06-01,38.05
1998-07-01,37.81
1998-08-01,37.19
1998-09-01,38.12
1998-10-01,38.66
1998-11-01,38.08
1998-12-01,36.84
1999-01-01,37.32
1999-02-01,36.72
1999-03-01,38.57
1999-04-01,41.02
1999-05-01,40.28
1999-06-01,40.77
1999-07-01,43.73
1999-08-01,45.26
1999-09-01,47.11
1999-10-01,48.11
1999-11-01,50.71
1999-12-01,52.56
2000-01-01,51.93
2000-02-01,54.76
2000-03-01,56.93
2000-04-01,56.62
2000-05-01,56.19
2000-06-01,57.43
2000-07-01,57.12
2000-08-01,58.54
2000-09-01,65.98
2000-10-01,71.52
2000-11-01,69.7
2000-12-01,68.15
2001-01-01,59.01
2001-02-01,58.69
2001-03-01,58.69
2001-04-01,56.73
2001-05-01,58.58
2001-06-01,60.75
2001-07-01,58.58
2001-08-01,55.68
2001-09-01,56.77
2001-10-01,55.69
2001-11-01,52.43
2001-12-01,49.72
2002-01-01,50.1
2002-02-01,51.23
2002-03-01,51.23
2002-04-01,55.11
2002-05-01,55.65
2002-06-01,54.56
2002-07-01,54.37
2002-08-01,54.91
2002-09-01,57.09
2002-10-01,58.98
2002-11-01,56.26
2002-12-01,57.89
2003-01-01,60.55
2003-02-01,63.4
2003-03-01,68.54
2003-04-01,59.82
2003-05-01,54.68
2003-06-01,54.11
2003-07-01,55.35
2003-08-01,57.06
2003-09-01,56.49
2003-10-01,56.85
2003-11-01,57.99
2003-12-01,57.42
2004-01-01,57.35
2004-02-01,56.23
2004-03-01,57.9
2004-04-01,59.55
2004-05-01,62.91
2004-06-01,64.02
2004-07-01,64.2
2004-08-01,68.11
2004-09-01,70.35
2004-10-01,77.15
2004-11-01,75.47
2004-12-01,72.12
2005-01-01,67.73
2005-02-01,70.14
2005-03-01,74.67
2005-04-01,80.31
2005-05-01,77.08
2005-06-01,80.31
2005-07-01,88.31
2005-08-01,88.36
2005-09-01,94.83
2005-10-01,96.4
2005-11-01,91.11
2005-12-01,87.23
2006-01-01,88.83
2006-02-01,91.2
2006-03-01,91.89
2006-04-01,95.77
2006-05-01,98.25
2006-06-01,96.18
2006-07-01,98.26
2006-08-01,99.01
2006-09-01,95.04
2006-10-01,88.37
2006-11-01,86.71
2006-12-01,86.56
2007-01-01,82.26
2007-02-01,82
2007-03-01,84.27
2007-04-01,88.11
2007-05-01,89.84
2007-06-01,91.16
2007-07-01,93.96
2007-08-01,93.99
2007-09-01,95.1
2007-10-01,96.76
2007-11-01,104.41
2007-12-01,105.69
2008-01-01,105.24
2008-02-01,104.46
2008-03-01,112.25
2008-04-01,114.45
2008-05-01,125.71
2008-06-01,136.86
2008-07-01,136.78
2008-08-01,125.3
2008-09-01,121.18
2008-10-01,109.36
2008-11-01,95.02
2008-12-01,81
2009-01-01,74.96
2009-02-01,76.46
2009-03-01,71.85
2009-04-01,69.99
2009-05-01,72.4
2009-06-01,77.44
2009-07-01,75.14
2009-08-01,78.7
2009-09-01,75.71
2009-10-01,78.55
2009-11-01,84.14
2009-12-01,84.63
2010-01-01,87.89
