# Índice de precios: combustibles líquidos (gasóleo) (FR)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-19T08:17:46+00:00
date,value
1996-01-01,42.57
1996-02-01,43.05
1996-03-01,43.96
1996-04-01,44.9
1996-05-01,43.47
1996-06-01,42.21
1996-07-01,42.03
1996-08-01,42.26
1996-09-01,46.26
1996-10-01,49.52
1996-11-01,48.83
1996-12-01,49.45
1997-01-01,50.89
1997-02-01,49.19
1997-03-01,46.8
1997-04-01,46.06
1997-05-01,45.85
1997-06-01,44.74
1997-07-01,44.07
1997-08-01,45.68
1997-09-01,45.04
1997-10-01,46.05
1997-11-01,47.18
1997-12-01,46.9
1998-01-01,44.83
1998-02-01,44.04
1998-03-01,42.56
1998-04-01,42.47
1998-05-01,41.5
1998-06-01,39.47
1998-07-01,38.66
1998-08-01,37.9
1998-09-01,38.19
1998-10-01,38.86
1998-11-01,38.55
1998-12-01,38.1
1999-01-01,37.99
1999-02-01,37.88
1999-03-01,38.99
1999-04-01,40.91
1999-05-01,40.9
1999-06-01,40.46
1999-07-01,42.89
1999-08-01,44.85
1999-09-01,47.12
1999-10-01,48.12
1999-11-01,48.98
1999-12-01,53.96
2000-01-01,56.07
2000-02-01,58.08
2000-03-01,59.58
2000-04-01,56.61
2000-05-01,58.7
2000-06-01,59.1
2000-07-01,60.69
2000-08-01,63.94
2000-09-01,74.42
2000-10-01,68.63
2000-11-01,67.97
2000-12-01,64.11
2001-01-01,53.75
2001-02-01,54.95
2001-03-01,53.85
2001-04-01,54.77
2001-05-01,56.41
2001-06-01,57.67
2001-07-01,56.36
2001-08-01,54.34
2001-09-01,56.27
2001-10-01,53.33
2001-11-01,51.33
2001-12-01,47.4
2002-01-01,47.58
2002-02-01,47.36
2002-03-01,48.8
2002-04-01,51.31
2002-05-01,50.83
2002-06-01,48.74
2002-07-01,48.15
2002-08-01,50.93
2002-09-01,54.36
2002-10-01,55.5
2002-11-01,52.87
2002-12-01,54.69
2003-01-01,58.78
2003-02-01,63.29
2003-03-01,65.79
2003-04-01,55.18
