# Índice de precios: combustibles líquidos (gasóleo) (IT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T11:54:45+00:00
date,value
1996-01-01,54.5
1996-02-01,54.6
1996-03-01,54.8
1996-04-01,55.8
1996-05-01,55.3
1996-06-01,54.9
1996-07-01,54.6
1996-08-01,54.7
1996-09-01,56.2
1996-10-01,57.9
1996-11-01,58
1996-12-01,58
1997-01-01,58.2
1997-02-01,58
1997-03-01,57
1997-04-01,56.7
1997-05-01,56.6
1997-06-01,56.3
1997-07-01,56.2
1997-08-01,56.2
1997-09-01,56.2
1997-10-01,56.9
1997-11-01,57.3
1997-12-01,57.4
1998-01-01,57
1998-02-01,56.5
1998-03-01,55.9
1998-04-01,55.9
1998-05-01,55.6
1998-06-01,55.3
1998-07-01,54.9
1998-08-01,54.7
1998-09-01,54.4
1998-10-01,54.4
1998-11-01,54.3
1998-12-01,54
1999-01-01,54.2
1999-02-01,54.8
1999-03-01,55
1999-04-01,56
1999-05-01,56.4
1999-06-01,56.3
1999-07-01,57.3
1999-08-01,57.9
1999-09-01,59.2
1999-10-01,59.8
1999-11-01,59.8
1999-12-01,62.1
2000-01-01,62.6
2000-02-01,63.4
2000-03-01,64.7
2000-04-01,63.6
2000-05-01,63.4
2000-06-01,64.3
2000-07-01,64.8
2000-08-01,65.7
2000-09-01,71.9
2000-10-01,72.4
2000-11-01,72.2
2000-12-01,71.2
2001-01-01,67.2
2001-02-01,66
2001-03-01,65.2
2001-04-01,64.3
2001-05-01,64.6
2001-06-01,65.5
2001-07-01,65.2
2001-08-01,64.6
2001-09-01,64.8
2001-10-01,64.3
2001-11-01,65
2001-12-01,64
2002-01-01,64.2
2002-02-01,64
2002-03-01,64.1
2002-04-01,65
2002-05-01,65
2002-06-01,64.4
2002-07-01,64.4
2002-08-01,64.4
2002-09-01,65.4
2002-10-01,66.2
2002-11-01,65.6
2002-12-01,66.1
2003-01-01,67.8
2003-02-01,69.5
2003-03-01,71.6
2003-04-01,68.7
2003-05-01,65.7
2003-06-01,64.7
2003-07-01,65
2003-08-01,64.9
2003-09-01,65.3
2003-10-01,65.8
2003-11-01,66.4
2003-12-01,66.3
2004-01-01,66.7
2004-02-01,66.4
2004-03-01,67.2
2004-04-01,67.7
2004-05-01,69.5
2004-06-01,69.6
2004-07-01,69.9
2004-08-01,71.4
2004-09-01,72.7
2004-10-01,76.5
2004-11-01,76.4
2004-12-01,76.2
2005-01-01,75.5
2005-02-01,76.1
2005-03-01,79.1
2005-04-01,81.1
2005-05-01,79.2
2005-06-01,81.1
2005-07-01,83.9
2005-08-01,85.4
2005-09-01,88.2
2005-10-01,89.6
2005-11-01,86.9
2005-12-01,85.6
2006-01-01,86.5
2006-02-01,87.2
2006-03-01,87.8
2006-04-01,89.2
2006-05-01,90.5
2006-06-01,89.8
2006-07-01,90.2
2006-08-01,90.6
2006-09-01,88.9
2006-10-01,86
2006-11-01,85.5
2006-12-01,85.3
2007-01-01,83.7
2007-02-01,83.1
2007-03-01,84.1
2007-04-01,85.5
2007-05-01,86.2
2007-06-01,87
2007-07-01,88
2007-08-01,88.3
2007-09-01,89.8
2007-10-01,90.7
2007-11-01,95.5
2007-12-01,96.5
2008-01-01,97
2008-02-01,96.9
2008-03-01,101.1
2008-04-01,101.8
2008-05-01,108.4
2008-06-01,114.9
2008-07-01,116.7
2008-08-01,111.9
2008-09-01,107.8
2008-10-01,102.9
2008-11-01,94.5
2008-12-01,86.9
2009-01-01,82.1
2009-02-01,81.6
2009-03-01,78.9
2009-04-01,79.7
2009-05-01,80.2
2009-06-01,82.6
2009-07-01,83.2
2009-08-01,84.2
2009-09-01,84.4
2009-10-01,83.5
2009-11-01,86.3
2009-12-01,85.9
2010-01-01,88.2
2010-02-01,88
2010-03-01,90.4
2010-04-01,93
2010-05-01,95.4
2010-06-01,94.9
2010-07-01,94.7
2010-08-01,94.1
2010-09-01,93.9
2010-10-01,94.3
2010-11-01,95.2
2010-12-01,98.2
2011-01-01,101.3
2011-02-01,103.1
2011-03-01,107.6
2011-04-01,109.6
2011-05-01,108.6
2011-06-01,107
2011-07-01,107.7
2011-08-01,108.5
2011-09-01,109.1
2011-10-01,109.8
2011-11-01,112.4
2011-12-01,114.6
2012-01-01,116.7
2012-02-01,118
2012-03-01,120.2
2012-04-01,120.6
2012-05-01,119.5
2012-06-01,115.9
2012-07-01,113.7
2012-08-01,117.3
2012-09-01,120.3
2012-10-01,119.9
2012-11-01,118.4
2012-12-01,117.6
2013-01-01,117.4
2013-02-01,118.5
2013-03-01,118.1
2013-04-01,116.5
2013-05-01,114
2013-06-01,114.1
2013-07-01,115.2
2013-08-01,115.6
2013-09-01,116.5
2013-10-01,116.1
2013-11-01,115.7
2013-12-01,116.2
2014-01-01,115.7
2014-02-01,115.6
2014-03-01,115
2014-04-01,114.3
2014-05-01,114.2
2014-06-01,114
2014-07-01,114.2
2014-08-01,114.1
2014-09-01,113.8
2014-10-01,113.1
2014-11-01,110.7
2014-12-01,106.5
2015-01-01,99.6
2015-02-01,99.4
2015-03-01,102.8
2015-04-01,102.5
2015-05-01,105
2015-06-01,104.6
2015-07-01,102.9
2015-08-01,99.9
2015-09-01,97.3
2015-10-01,96.6
2015-11-01,95.9
2015-12-01,93.7
2016-01-01,88.9
2016-02-01,87.1
2016-03-01,87.9
2016-04-01,88.8
2016-05-01,91.5
2016-06-01,93.8
2016-07-01,93.1
2016-08-01,90.9
2016-09-01,92.2
2016-10-01,93.7
2016-11-01,93.9
2016-12-01,95.6
2017-01-01,98.8
2017-02-01,99.2
2017-03-01,98.8
2017-04-01,98.1
2017-05-01,97.1
2017-06-01,95.6
2017-07-01,94.3
2017-08-01,94.6
2017-09-01,95.7
2017-10-01,96.9
2017-11-01,98.1
2017-12-01,99.3
2018-01-01,101
2018-02-01,100.2
2018-03-01,99.9
2018-04-01,100.6
2018-05-01,102.9
2018-06-01,105.3
2018-07-01,105.3
2018-08-01,105.1
2018-09-01,106.2
2018-10-01,107.9
2018-11-01,107.7
2018-12-01,104.2
2019-01-01,102.3
2019-02-01,103.8
2019-03-01,105.1
2019-04-01,105.3
2019-05-01,106.3
2019-06-01,104.5
2019-07-01,104.4
2019-08-01,104.3
2019-09-01,104.3
2019-10-01,105.3
2019-11-01,105.1
2019-12-01,105.7
2020-01-01,106.2
2020-02-01,103.7
2020-03-01,98.3
2020-04-01,90.7
2020-05-01,86.6
2020-06-01,89.3
2020-07-01,91.8
2020-08-01,91.8
2020-09-01,90.9
2020-10-01,90.2
2020-11-01,89.7
2020-12-01,92.6
2021-01-01,94.6
2021-02-01,96.5
2021-03-01,99.9
2021-04-01,100
2021-05-01,100.8
2021-06-01,102
2021-07-01,104.4
2021-08-01,104.2
2021-09-01,104.7
2021-10-01,110.3
2021-11-01,113.7
2021-12-01,112.3
2022-01-01,114.5
2022-02-01,120.2
2022-03-01,137.1
2022-04-01,145.7
2022-05-01,148.5
2022-06-01,156.1
2022-07-01,159.3
2022-08-01,149.6
2022-09-01,150.5
2022-10-01,150.5
2022-11-01,150.1
2022-12-01,139.4
2023-01-01,135.8
2023-02-01,136.1
2023-03-01,133.4
2023-04-01,129.4
2023-05-01,124
2023-06-01,122.4
2023-07-01,124.1
2023-08-01,132.2
2023-09-01,137.4
2023-10-01,139.9
2023-11-01,134.8
2023-12-01,130.8
2024-01-01,129.1
2024-02-01,132.8
2024-03-01,131.6
2024-04-01,131.7
2024-05-01,129.4
2024-06-01,127
2024-07-01,128.1
2024-08-01,124.7
2024-09-01,120.8
2024-10-01,120.3
2024-11-01,121.2
2024-12-01,122.1
2025-01-01,124.8
2025-02-01,125.4
2025-03-01,123.1
2025-04-01,119.8
2025-05-01,115.8
2025-06-01,116.4
2025-07-01,120.3
2025-08-01,119.3
2025-09-01,119
2025-10-01,118.6
2025-11-01,120.8
2025-12-01,119
2026-01-01,117.3
2026-02-01,119.6
2026-03-01,138.2
2026-04-01,165.4
2026-05-01,158.5
2026-06-01,147.5
2026-07-01,142.1
