# Índice de precios: combustibles líquidos (gasóleo) (PT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T09:39:14+00:00
date,value
2008-12-01,63.39
2009-01-01,61.62
2009-02-01,61.12
2009-03-01,57.64
2009-04-01,60.19
2009-05-01,61.13
2009-06-01,65.42
2009-07-01,64.94
2009-08-01,67.22
2009-09-01,65.68
2009-10-01,65.08
2009-11-01,69.01
2009-12-01,67.76
2010-01-01,70.22
2010-02-01,69.85
2010-03-01,73.38
2010-04-01,76.84
2010-05-01,78.85
2010-06-01,77.99
2010-07-01,78.46
2010-08-01,78.24
2010-09-01,80.8
2010-10-01,82.12
2010-11-01,82.95
2010-12-01,85.93
2011-01-01,89.6
2011-02-01,91.81
2011-03-01,98.1
2011-04-01,102.14
2011-05-01,100.79
2011-06-01,100.15
2011-07-01,100.43
2011-08-01,100.56
2011-09-01,100.84
2011-10-01,101.37
2011-11-01,103.82
2011-12-01,104.39
2012-01-01,117.47
2012-02-01,121.41
2012-03-01,124.85
2012-04-01,124.89
2012-05-01,122.94
2012-06-01,118.51
2012-07-01,118.18
2012-08-01,123.37
2012-09-01,125.16
2012-10-01,124.18
2012-11-01,122.39
2012-12-01,120.21
2013-01-01,119.89
2013-02-01,121.99
2013-03-01,123.76
2013-04-01,121.12
2013-05-01,118.77
2013-06-01,119.53
2013-07-01,121.25
2013-08-01,121.93
2013-09-01,123.58
2013-10-01,121.31
2013-11-01,120.69
2013-12-01,121.52
2014-01-01,120.88
2014-02-01,120.96
2014-03-01,120.08
2014-04-01,119.09
2014-05-01,119.34
2014-06-01,119.55
2014-07-01,119.75
2014-08-01,119.05
2014-09-01,118.79
2014-10-01,115.73
2014-11-01,112.29
2014-12-01,105.17
2015-01-01,97.77
2015-02-01,100.23
2015-03-01,104.44
2015-04-01,103.78
2015-05-01,107.1
2015-06-01,106.67
2015-07-01,104.44
2015-08-01,99.11
2015-09-01,96.2
2015-10-01,95.69
2015-11-01,94.58
2015-12-01,89.97
2016-01-01,83.91
2016-02-01,82.73
2016-03-01,85.89
2016-04-01,86.62
2016-05-01,90.6
2016-06-01,94.34
2016-07-01,93.15
2016-08-01,91.24
2016-09-01,93.21
2016-10-01,95.7
2016-11-01,95.19
2016-12-01,98.84
2017-01-01,101.8
2017-02-01,101.59
2017-03-01,100.94
2017-04-01,100.32
2017-05-01,97.64
2017-06-01,95.7
2017-07-01,94.71
2017-08-01,95.78
2017-09-01,97.51
2017-10-01,99.93
2017-11-01,102.27
2017-12-01,102.97
2018-01-01,105.17
2018-02-01,103.58
2018-03-01,102.32
2018-04-01,104.88
2018-05-01,109.77
2018-06-01,111.84
2018-07-01,111.07
2018-08-01,111.21
2018-09-01,113.2
2018-10-01,116.91
2018-11-01,114.64
2018-12-01,107.16
2019-01-01,105.97
2019-02-01,110.12
2019-03-01,112.65
2019-04-01,113.59
2019-05-01,115.66
2019-06-01,111.64
2019-07-01,111.85
2019-08-01,111.57
2019-09-01,112.82
2019-10-01,113.2
2019-11-01,112.35
2019-12-01,113.15
2020-01-01,116.81
2020-02-01,111.5
2020-03-01,102.3
2020-04-01,91.78
2020-05-01,89
2020-06-01,93.96
2020-07-01,97.16
2020-08-01,97.4
2020-09-01,95.22
2020-10-01,94.35
2020-11-01,94.55
2020-12-01,98.4
2021-01-01,101.19
2021-02-01,105.1
2021-03-01,109.22
2021-04-01,109.05
2021-05-01,111.38
2021-06-01,113.75
2021-07-01,116.07
2021-08-01,115.94
2021-09-01,117.57
2021-10-01,126.2
2021-11-01,128.51
2021-12-01,124.81
2022-01-01,129.74
2022-02-01,136.75
2022-03-01,158.3
2022-04-01,164.67
2022-05-01,171.09
2022-06-01,184.81
2022-07-01,182.83
2022-08-01,170.6
2022-09-01,171.78
2022-10-01,174.33
2022-11-01,166.45
2022-12-01,151.02
2023-01-01,153.09
2023-02-01,148.17
2023-03-01,144.18
2023-04-01,139.63
2023-05-01,133.81
2023-06-01,137.46
2023-07-01,142.3
2023-08-01,158.7
2023-09-01,166.39
2023-10-01,166.18
2023-11-01,159.29
2023-12-01,152.04
2024-01-01,150.56
2024-02-01,157.37
2024-03-01,155.51
2024-04-01,155.49
2024-05-01,150.73
2024-06-01,149.59
2024-07-01,151.48
2024-08-01,146.61
2024-09-01,145.97
2024-10-01,148.23
2024-11-01,149.57
2024-12-01,150.73
2025-01-01,152.76
2025-02-01,151.92
2025-03-01,147.5
2025-04-01,143.98
2025-05-01,141.38
2025-06-01,143.19
2025-07-01,145.04
2025-08-01,142.5
2025-09-01,143.05
2025-10-01,141.22
2025-11-01,146.11
2025-12-01,140.54
2026-01-01,138.95
2026-02-01,143.97
2026-03-01,171.73
2026-04-01,193.24
2026-05-01,187.1
2026-06-01,172.22
2026-07-01,175.69
