# Índice de precios: combustibles sólidos (leña, pellet, carbón) (DE)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-16T08:51:00+00:00
date,value
1996-01-01,70.13
1996-02-01,70.5
1996-03-01,70.48
1996-04-01,69.93
1996-05-01,69.63
1996-06-01,69.58
1996-07-01,69.81
1996-08-01,70.01
1996-09-01,70.2
1996-10-01,70.64
1996-11-01,70.62
1996-12-01,70.92
1997-01-01,71.05
1997-02-01,71.23
1997-03-01,71.15
1997-04-01,70.22
1997-05-01,69.71
1997-06-01,69.68
1997-07-01,69.95
1997-08-01,69.85
1997-09-01,70.2
1997-10-01,70.59
1997-11-01,70.79
1997-12-01,70.84
1998-01-01,70.98
1998-02-01,71
1998-03-01,70.91
1998-04-01,70.58
1998-05-01,70.59
1998-06-01,70.4
1998-07-01,70.57
1998-08-01,70.66
1998-09-01,70.95
1998-10-01,71.1
1998-11-01,71.68
1998-12-01,71.94
1999-01-01,71.95
1999-02-01,72.21
1999-03-01,72.35
1999-04-01,71.62
1999-05-01,71.26
1999-06-01,71.3
1999-07-01,71.5
1999-08-01,71.75
1999-09-01,72.16
1999-10-01,72.51
1999-11-01,72.81
1999-12-01,72.91
2000-01-01,73.16
2000-02-01,73.2
2000-03-01,73.37
2000-04-01,73.42
2000-05-01,73.23
2000-06-01,73.28
2000-07-01,73.2
2000-08-01,73.22
2000-09-01,73.48
2000-10-01,74
2000-11-01,74.08
2000-12-01,74.03
2001-01-01,74.04
2001-02-01,73.76
2001-03-01,73.83
2001-04-01,73.69
2001-05-01,73.48
2001-06-01,73.41
2001-07-01,73.48
2001-08-01,73.69
2001-09-01,73.83
2001-10-01,74.18
2001-11-01,74.18
2001-12-01,74.18
2002-01-01,75.08
2002-02-01,75.22
2002-03-01,75.15
2002-04-01,75.01
2002-05-01,75.01
2002-06-01,74.94
2002-07-01,75.08
2002-08-01,75.15
2002-09-01,75.21
2002-10-01,75.43
2002-11-01,75.49
2002-12-01,75.7
2003-01-01,75.99
2003-02-01,75.91
2003-03-01,75.95
2003-04-01,75.76
2003-05-01,75.79
2003-06-01,75.79
2003-07-01,75.76
2003-08-01,75.99
2003-09-01,76.62
2003-10-01,76.55
2003-11-01,76.6
2003-12-01,76.59
2004-01-01,76.79
2004-02-01,76.74
2004-03-01,76.8
2004-04-01,76.66
2004-05-01,76.44
2004-06-01,76.53
2004-07-01,76.64
2004-08-01,76.74
2004-09-01,77.03
2004-10-01,77.18
2004-11-01,77.17
2004-12-01,77.16
2005-01-01,77.2
2005-02-01,77.27
2005-03-01,77.33
2005-04-01,77.26
2005-05-01,77.27
2005-06-01,76.97
2005-07-01,77.24
2005-08-01,77.22
2005-09-01,77.67
2005-10-01,78.11
2005-11-01,78.43
2005-12-01,78.56
2006-01-01,78.91
2006-02-01,78.91
2006-03-01,78.98
2006-04-01,78.92
2006-05-01,78.87
2006-06-01,78.92
2006-07-01,78.78
2006-08-01,79.18
2006-09-01,79.32
2006-10-01,79.55
2006-11-01,79.71
2006-12-01,79.63
2007-01-01,79.98
2007-02-01,80.17
2007-03-01,80.23
2007-04-01,80.34
2007-05-01,80.29
2007-06-01,80.42
2007-07-01,80.46
2007-08-01,80.35
2007-09-01,80.83
2007-10-01,81.2
2007-11-01,81.39
2007-12-01,81.51
2008-01-01,81.81
2008-02-01,82.08
2008-03-01,82.07
2008-04-01,82.19
2008-05-01,82.03
2008-06-01,82.05
2008-07-01,82.93
2008-08-01,83.39
2008-09-01,83.08
2008-10-01,83.13
2008-11-01,83.73
2008-12-01,83.9
2009-01-01,84.63
2009-02-01,85.03
2009-03-01,85.28
2009-04-01,85.19
2009-05-01,85.1
2009-06-01,85.56
2009-07-01,85.41
2009-08-01,86.43
2009-09-01,87.01
2009-10-01,87.17
2009-11-01,87.28
2009-12-01,87.87
2010-01-01,88
2010-02-01,88.69
2010-03-01,88.6
2010-04-01,87.9
2010-05-01,87.78
2010-06-01,88.88
2010-07-01,89
2010-08-01,88.98
2010-09-01,89.19
2010-10-01,90.12
2010-11-01,90.27
2010-12-01,91.15
2011-01-01,92.61
2011-02-01,95.05
2011-03-01,95.09
2011-04-01,94.72
2011-05-01,94.34
2011-06-01,94.7
2011-07-01,94.35
2011-08-01,94.96
2011-09-01,94.05
2011-10-01,95.37
2011-11-01,95.91
2011-12-01,95.79
2012-01-01,95.59
2012-02-01,93.59
2012-03-01,96.04
2012-04-01,97.48
2012-05-01,97.17
2012-06-01,97.31
2012-07-01,97.12
2012-08-01,97.43
2012-09-01,97.14
2012-10-01,98.24
2012-11-01,98.6
2012-12-01,99.52
2013-01-01,99.68
2013-02-01,98.53
2013-03-01,99.85
2013-04-01,101.21
2013-05-01,101.95
2013-06-01,101.46
2013-07-01,101.84
2013-08-01,101.82
2013-09-01,102.54
2013-10-01,101.77
2013-11-01,102.93
2013-12-01,102.75
2014-01-01,102.16
2014-02-01,102.22
2014-03-01,100.02
2014-04-01,98.97
2014-05-01,98.54
2014-06-01,99.41
2014-07-01,99.29
2014-08-01,99.3
2014-09-01,100.57
2014-10-01,99.37
2014-11-01,100.25
2014-12-01,100.65
2015-01-01,100.56
2015-02-01,100.81
2015-03-01,101.54
2015-04-01,101.73
2015-05-01,100.84
2015-06-01,100.41
2015-07-01,100.34
2015-08-01,98.93
2015-09-01,99.31
2015-10-01,99.32
2015-11-01,99.06
2015-12-01,99.29
2016-01-01,99.84
2016-02-01,98.23
2016-03-01,98.26
2016-04-01,97.92
2016-05-01,98.01
2016-06-01,97.6
2016-07-01,97.4
2016-08-01,96.92
2016-09-01,98.47
2016-10-01,98.64
2016-11-01,99.08
2016-12-01,99.4
