# Índice de precios: combustibles sólidos (leña, pellet, carbón) (PT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-18T08:30:37+00:00
date,value
1996-01-01,92.22
1996-02-01,77.28
1996-03-01,76.88
1996-04-01,75.03
1996-05-01,75.17
1996-06-01,75.04
1996-07-01,76.67
1996-08-01,77.11
1996-09-01,75.52
1996-10-01,76.5
1996-11-01,76.52
1996-12-01,76.49
1997-01-01,76.02
1997-02-01,76.52
1997-03-01,77.23
1997-04-01,77.26
1997-05-01,75.42
1997-06-01,74.89
1997-07-01,73.34
1997-08-01,72.64
1997-09-01,72.33
1997-10-01,74.47
1997-11-01,74.55
1997-12-01,74.49
1998-01-01,74.96
1998-02-01,78
1998-03-01,77.51
1998-04-01,77.82
1998-05-01,78.04
1998-06-01,78
1998-07-01,77.75
1998-08-01,77.82
1998-09-01,77.8
1998-10-01,78.42
1998-11-01,76.99
1998-12-01,77.61
1999-01-01,78.32
1999-02-01,80.51
1999-03-01,81.17
1999-04-01,80.55
1999-05-01,80.76
1999-06-01,80.85
1999-07-01,80.49
1999-08-01,80.5
1999-09-01,78.83
1999-10-01,80.94
1999-11-01,81.29
1999-12-01,82.78
2000-01-01,85.36
2000-02-01,86.01
2000-03-01,86.21
2000-04-01,86.42
2000-05-01,86.57
2000-06-01,86.9
2000-07-01,87.06
2000-08-01,87.32
2000-09-01,87.07
2000-10-01,87.74
2000-11-01,90.05
2000-12-01,91.92
2001-01-01,91.52
2001-02-01,91.67
2001-03-01,92.05
2001-04-01,91.21
2001-05-01,91.28
2001-06-01,91.09
2001-07-01,89.06
2001-08-01,89.38
2001-09-01,90.02
2001-10-01,94.04
2001-11-01,94.4
2001-12-01,93.45
2002-01-01,91.44
2002-02-01,91.57
2002-03-01,91.81
2002-04-01,91.99
2002-05-01,91.85
2002-06-01,91.98
2002-07-01,91.08
2002-08-01,91
2002-09-01,91.33
2002-10-01,90.97
2002-11-01,91.36
2002-12-01,90.75
2003-01-01,91.45
2003-02-01,90.83
2003-03-01,90.96
2003-04-01,91.11
2003-05-01,95.53
2003-06-01,95.85
2003-07-01,96.08
2003-08-01,96.08
2003-09-01,95.25
2003-10-01,93.48
2003-11-01,92.79
2003-12-01,92.45
2004-01-01,92.44
2004-02-01,92.02
2004-03-01,91.07
2004-04-01,91.86
2004-05-01,92.04
2004-06-01,91.23
2004-07-01,90.41
2004-08-01,90.23
2004-09-01,90.47
2004-10-01,90.86
2004-11-01,91.47
2004-12-01,91.98
2005-01-01,93.02
2005-02-01,92.85
2005-03-01,93.12
2005-04-01,95.29
2005-05-01,95.25
2005-06-01,95.9
2005-07-01,95.84
2005-08-01,95.86
2005-09-01,95.9
2005-10-01,99.13
2005-11-01,99.68
2005-12-01,97.63
2006-01-01,98.63
2006-02-01,98.32
2006-03-01,100.38
2006-04-01,97.06
2006-05-01,97.08
2006-06-01,97.02
2006-07-01,96.96
2006-08-01,96.94
2006-09-01,97.65
2006-10-01,98.39
2006-11-01,98.53
2006-12-01,99.55
2007-01-01,99.27
2007-02-01,99.04
2007-03-01,97.63
2007-04-01,97.03
2007-05-01,97.17
2007-06-01,97.18
2007-07-01,97.2
2007-08-01,97.15
2007-09-01,98.44
2007-10-01,99.05
2007-11-01,99.82
2007-12-01,99.77
2008-01-01,99.17
2008-02-01,99.02
2008-03-01,98.93
2008-04-01,99.59
2008-05-01,99.62
2008-06-01,99.61
2008-07-01,99.58
2008-08-01,99.6
2008-09-01,103.65
2008-10-01,103.38
2008-11-01,102.67
2008-12-01,100.8
2009-01-01,100.7
2009-02-01,100.94
2009-03-01,98.87
2009-04-01,99.08
2009-05-01,99.08
2009-06-01,99.05
2009-07-01,99.15
2009-08-01,99.09
2009-09-01,99.61
2009-10-01,100.02
2009-11-01,105.05
2009-12-01,105.59
2010-01-01,104.23
2010-02-01,103.12
2010-03-01,103.48
2010-04-01,101.57
2010-05-01,101.59
2010-06-01,101.57
2010-07-01,102.04
2010-08-01,102.1
2010-09-01,103.31
2010-10-01,109.1
2010-11-01,109.3
2010-12-01,109.42
2011-01-01,111.23
2011-02-01,109.72
2011-03-01,105.19
2011-04-01,102.19
2011-05-01,102.1
2011-06-01,101.79
2011-07-01,101.55
2011-08-01,99.32
2011-09-01,98.86
2011-10-01,102.24
2011-11-01,105.68
2011-12-01,105.82
2012-01-01,105.46
2012-02-01,103.81
2012-03-01,103.43
2012-04-01,104.6
2012-05-01,104.67
2012-06-01,103.35
2012-07-01,105.16
2012-08-01,104.13
2012-09-01,105.78
2012-10-01,106.58
2012-11-01,107.97
2012-12-01,106.43
2013-01-01,105.92
