# Índice de precios: electricidad (AT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T18:53:41+00:00
date,value
1996-01-01,70.43
1996-02-01,70.4
1996-03-01,70.41
1996-04-01,70.41
1996-05-01,70.41
1996-06-01,74.9
1996-07-01,74.82
1996-08-01,74.83
1996-09-01,74.84
1996-10-01,74.9
1996-11-01,74.94
1996-12-01,74.94
1997-01-01,74.87
1997-02-01,75
1997-03-01,75.03
1997-04-01,74.96
1997-05-01,75
1997-06-01,74.96
1997-07-01,75
1997-08-01,74.96
1997-09-01,75.01
1997-10-01,74.97
1997-11-01,75.02
1997-12-01,74.96
1998-01-01,75.01
1998-02-01,74.97
1998-03-01,74.99
1998-04-01,75.02
1998-05-01,75
1998-06-01,75
1998-07-01,74.96
1998-08-01,74.99
1998-09-01,74.96
1998-10-01,75.01
1998-11-01,74.96
1998-12-01,74.98
1999-01-01,74.99
1999-02-01,74.95
1999-03-01,74.97
1999-04-01,74.97
1999-05-01,75
1999-06-01,74.95
1999-07-01,74.89
1999-08-01,74.92
1999-09-01,73.42
1999-10-01,73.2
1999-11-01,73.17
1999-12-01,73.15
2000-01-01,71.36
2000-02-01,71.36
2000-03-01,71.18
2000-04-01,71.18
2000-05-01,71.18
2000-06-01,76.01
2000-07-01,76.22
2000-08-01,76.21
2000-09-01,76.12
2000-10-01,76.12
2000-11-01,76.06
2000-12-01,75.64
2001-01-01,75.58
2001-02-01,75.55
2001-03-01,75.55
2001-04-01,75.55
2001-05-01,75.55
2001-06-01,75.55
2001-07-01,75.33
2001-08-01,75.33
2001-09-01,75.33
2001-10-01,73.45
2001-11-01,74.19
2001-12-01,74.04
2002-01-01,74.5
2002-02-01,73.83
2002-03-01,73.83
2002-04-01,72.43
2002-05-01,72.43
2002-06-01,72.12
2002-07-01,72.03
2002-08-01,72.14
2002-09-01,72.24
2002-10-01,72.99
2002-11-01,72.99
2002-12-01,72.99
