# Índice de precios: electricidad (DE)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:51:58+00:00
date,value
1996-01-01,49.99
1996-02-01,50
1996-03-01,49.94
1996-04-01,49.95
1996-05-01,49.98
1996-06-01,50.05
1996-07-01,50.01
1996-08-01,50.01
1996-09-01,50.04
1996-10-01,50
1996-11-01,50.04
1996-12-01,50.06
1997-01-01,50.1
1997-02-01,50.18
1997-03-01,50.17
1997-04-01,50.21
1997-05-01,50.19
1997-06-01,50.22
1997-07-01,50.22
1997-08-01,50.19
1997-09-01,50.09
1997-10-01,50.12
1997-11-01,50.11
1997-12-01,50.1
1998-01-01,50.15
1998-02-01,50.31
1998-03-01,50.24
1998-04-01,50.81
1998-05-01,50.87
1998-06-01,50.83
1998-07-01,50.85
1998-08-01,50.87
1998-09-01,50.82
1998-10-01,50.83
1998-11-01,50.84
1998-12-01,50.83
1999-01-01,50.64
1999-02-01,50.68
1999-03-01,50.78
1999-04-01,54.58
1999-05-01,54.68
1999-06-01,54.65
1999-07-01,54.45
1999-08-01,54.42
1999-09-01,53.42
1999-10-01,51.58
1999-11-01,50.76
1999-12-01,50.38
2000-01-01,50.01
2000-02-01,50.04
2000-03-01,50.06
2000-04-01,49.89
2000-05-01,49.91
2000-06-01,49.84
2000-07-01,49.79
2000-08-01,49.8
2000-09-01,49.94
2000-10-01,50.16
2000-11-01,50.31
2000-12-01,50.24
2001-01-01,51.58
2001-02-01,51.78
2001-03-01,51.78
2001-04-01,51.83
2001-05-01,51.88
2001-06-01,51.93
2001-07-01,51.98
2001-08-01,51.98
2001-09-01,52.03
2001-10-01,52.08
2001-11-01,52.08
2001-12-01,52.13
2002-01-01,54.11
2002-02-01,54.16
2002-03-01,54.16
2002-04-01,54.21
2002-05-01,54.21
2002-06-01,54.21
2002-07-01,54.26
2002-08-01,54.26
2002-09-01,54.26
2002-10-01,54.36
2002-11-01,54.35
2002-12-01,54.36
2003-01-01,56.65
2003-02-01,56.74
2003-03-01,56.75
2003-04-01,56.86
2003-05-01,56.86
2003-06-01,56.86
2003-07-01,56.91
2003-08-01,56.96
2003-09-01,57.09
2003-10-01,57.17
2003-11-01,57.19
2003-12-01,57.19
2004-01-01,58.89
2004-02-01,59.03
2004-03-01,59.09
2004-04-01,59.24
2004-05-01,59.24
2004-06-01,59.24
2004-07-01,59.28
2004-08-01,59.29
2004-09-01,59.36
2004-10-01,59.39
2004-11-01,59.39
2004-12-01,59.39
2005-01-01,61.26
2005-02-01,61.49
2005-03-01,61.54
2005-04-01,61.65
2005-05-01,61.83
2005-06-01,61.86
2005-07-01,61.88
2005-08-01,61.88
2005-09-01,61.88
2005-10-01,61.9
2005-11-01,61.9
2005-12-01,61.9
2006-01-01,63.82
2006-02-01,63.89
2006-03-01,63.92
2006-04-01,63.97
2006-05-01,64.17
2006-06-01,64.17
2006-07-01,64.23
2006-08-01,64.26
2006-09-01,64.31
