# Índice de precios: electricidad (ES)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-13T08:32:50+00:00
date,value
1996-01-01,67.21
1996-02-01,67.21
1996-03-01,67.21
1996-04-01,67.21
1996-05-01,67.21
1996-06-01,67.21
1996-07-01,67.21
1996-08-01,67.21
1996-09-01,67.21
1996-10-01,67.21
1996-11-01,67.21
1996-12-01,67.21
1997-01-01,66.47
1997-02-01,66.47
1997-03-01,66.47
1997-04-01,66.47
1997-05-01,66.47
1997-06-01,66.47
1997-07-01,66.47
1997-08-01,66.47
1997-09-01,66.47
1997-10-01,66.47
1997-11-01,66.47
1997-12-01,66.47
1998-01-01,64.66
1998-02-01,64.66
1998-03-01,64.66
1998-04-01,64.66
1998-05-01,64.66
1998-06-01,64.66
1998-07-01,64.66
1998-08-01,64.66
1998-09-01,64.66
1998-10-01,64.66
1998-11-01,64.66
1998-12-01,64.66
1999-01-01,63.04
1999-02-01,63.04
1999-03-01,63.04
1999-04-01,62.17
1999-05-01,62.17
1999-06-01,62.17
1999-07-01,62.17
1999-08-01,62.17
1999-09-01,62.17
1999-10-01,62.17
1999-11-01,62.17
1999-12-01,62.17
2000-01-01,60.89
2000-02-01,60.89
2000-03-01,60.89
2000-04-01,60.89
2000-05-01,60.89
2000-06-01,60.89
2000-07-01,60.89
2000-08-01,60.89
2000-09-01,60.89
2000-10-01,60.89
2000-11-01,60.89
2000-12-01,60.89
2001-01-01,58.47
2001-02-01,58.47
2001-03-01,58.47
2001-04-01,58.47
2001-05-01,58.47
2001-06-01,58.47
2001-07-01,58.47
2001-08-01,58.47
2001-09-01,58.47
2001-10-01,58.47
2001-11-01,58.47
2001-12-01,58.47
2002-01-01,58.34
2002-02-01,58.34
2002-03-01,58.34
2002-04-01,58.34
2002-05-01,58.34
2002-06-01,58.34
2002-07-01,58.34
2002-08-01,58.34
2002-09-01,58.34
2002-10-01,58.34
2002-11-01,58.34
2002-12-01,58.34
2003-01-01,59.14
2003-02-01,59.14
2003-03-01,59.14
2003-04-01,59.14
2003-05-01,59.14
2003-06-01,59.14
2003-07-01,59.14
2003-08-01,59.14
2003-09-01,59.14
2003-10-01,59.14
2003-11-01,59.14
2003-12-01,59.14
2004-01-01,60.02
2004-02-01,60.02
2004-03-01,60.02
2004-04-01,60.02
2004-05-01,60.02
2004-06-01,60.02
2004-07-01,60.02
2004-08-01,60.02
2004-09-01,60.02
2004-10-01,60.02
2004-11-01,60.02
2004-12-01,60.02
2005-01-01,61.03
2005-02-01,61.03
2005-03-01,61.03
2005-04-01,61.03
2005-05-01,61.03
2005-06-01,61.03
2005-07-01,61.03
2005-08-01,61.03
2005-09-01,61.03
2005-10-01,61.03
2005-11-01,61.03
2005-12-01,61.03
2006-01-01,63.71
2006-02-01,63.71
2006-03-01,63.71
2006-04-01,63.71
2006-05-01,63.71
2006-06-01,63.71
2006-07-01,64.21
2006-08-01,64.21
2006-09-01,64.21
2006-10-01,64.21
2006-11-01,64.21
2006-12-01,64.21
2007-01-01,65.97
2007-02-01,65.97
2007-03-01,65.97
2007-04-01,65.97
2007-05-01,65.97
2007-06-01,65.97
2007-07-01,65.97
2007-08-01,65.97
2007-09-01,65.97
2007-10-01,65.97
2007-11-01,65.97
2007-12-01,65.97
2008-01-01,68.1
2008-02-01,68.1
2008-03-01,68.1
2008-04-01,68.1
2008-05-01,68.1
2008-06-01,68.1
2008-07-01,72.69
2008-08-01,72.69
2008-09-01,72.69
2008-10-01,72.69
2008-11-01,72.69
2008-12-01,72.69
2009-01-01,75.39
2009-02-01,75.39
2009-03-01,75.39
2009-04-01,75.39
2009-05-01,75.39
2009-06-01,75.39
2009-07-01,77.29
2009-08-01,77.29
2009-09-01,77.29
2009-10-01,77.29
2009-11-01,77.29
2009-12-01,77.29
2010-01-01,78.48
2010-02-01,78.48
2010-03-01,78.48
2010-04-01,78.48
