# Índice de precios: electricidad (FR)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T11:54:45+00:00
date,value
1996-01-01,77.69
1996-02-01,77.69
1996-03-01,77.69
1996-04-01,77.69
1996-05-01,77.69
1996-06-01,77.69
1996-07-01,77.69
1996-08-01,77.69
1996-09-01,77.69
1996-10-01,77.78
1996-11-01,77.78
1996-12-01,77.78
1997-01-01,77.78
1997-02-01,77.78
1997-03-01,77.78
1997-04-01,76.85
1997-05-01,75.25
1997-06-01,75.24
1997-07-01,75.24
1997-08-01,75.27
1997-09-01,75.27
1997-10-01,75.27
1997-11-01,75.27
1997-12-01,75.27
1998-01-01,75.27
1998-02-01,75.27
1998-03-01,75.27
1998-04-01,75.27
1998-05-01,73.88
1998-06-01,73.88
1998-07-01,73.88
1998-08-01,73.88
1998-09-01,73.88
1998-10-01,73.88
1998-11-01,73.88
1998-12-01,73.88
1999-01-01,72.17
1999-02-01,71.99
1999-03-01,71.99
1999-04-01,71.99
1999-05-01,70.54
1999-06-01,70.54
1999-07-01,70.54
1999-08-01,70.5
1999-09-01,70.5
1999-10-01,70.5
1999-11-01,70.5
1999-12-01,70.5
2000-01-01,70.5
2000-02-01,70.5
2000-03-01,70.5
2000-04-01,70.02
2000-05-01,69.13
2000-06-01,69.13
2000-07-01,69.13
2000-08-01,69.13
2000-09-01,69.13
2000-10-01,69.13
2000-11-01,69.12
2000-12-01,69.12
2001-01-01,69.12
2001-02-01,69.09
2001-03-01,69.09
2001-04-01,69.09
2001-05-01,69.09
2001-06-01,69.09
2001-07-01,69.09
2001-08-01,69.09
2001-09-01,69.09
2001-10-01,69.09
2001-11-01,69.53
2001-12-01,69.78
2002-01-01,69.79
2002-02-01,69.79
2002-03-01,69.79
2002-04-01,69.79
2002-05-01,69.79
2002-06-01,69.79
2002-07-01,69.79
2002-08-01,69.79
2002-09-01,69.79
2002-10-01,69.79
2002-11-01,69.79
2002-12-01,69.79
2003-01-01,69.58
2003-02-01,69.58
2003-03-01,69.58
2003-04-01,69.58
2003-05-01,69.58
2003-06-01,69.58
2003-07-01,71.42
2003-08-01,71.61
2003-09-01,71.61
2003-10-01,71.61
2003-11-01,71.63
2003-12-01,71.63
2004-01-01,71.63
2004-02-01,71.63
2004-03-01,71.56
2004-04-01,71.56
2004-05-01,71.56
2004-06-01,71.56
2004-07-01,71.56
2004-08-01,71.56
2004-09-01,71.55
2004-10-01,71.55
2004-11-01,71.55
2004-12-01,71.55
2005-01-01,71.55
2005-02-01,71.55
2005-03-01,71.55
2005-04-01,71.55
2005-05-01,71.55
2005-06-01,71.55
2005-07-01,71.55
2005-08-01,71.55
2005-09-01,71.55
2005-10-01,71.55
2005-11-01,71.55
2005-12-01,71.55
2006-01-01,71.55
2006-02-01,71.55
2006-03-01,71.55
2006-04-01,71.55
2006-05-01,71.55
2006-06-01,71.58
2006-07-01,71.58
2006-08-01,72.21
2006-09-01,72.72
2006-10-01,72.72
2006-11-01,72.72
2006-12-01,72.71
2007-01-01,72.71
2007-02-01,72.71
2007-03-01,72.71
2007-04-01,72.71
2007-05-01,72.71
2007-06-01,72.71
2007-07-01,72.71
2007-08-01,73.11
2007-09-01,73.49
2007-10-01,73.5
2007-11-01,73.5
2007-12-01,73.5
2008-01-01,73.5
2008-02-01,73.5
2008-03-01,73.5
2008-04-01,73.5
2008-05-01,73.5
2008-06-01,73.5
2008-07-01,73.5
2008-08-01,74.21
2008-09-01,74.86
2008-10-01,74.86
2008-11-01,74.86
2008-12-01,74.86
2009-01-01,74.86
2009-02-01,74.86
2009-03-01,74.86
2009-04-01,74.86
2009-05-01,74.86
2009-06-01,74.86
2009-07-01,74.86
2009-08-01,75.45
2009-09-01,76.29
2009-10-01,76.29
2009-11-01,76.29
2009-12-01,76.28
2010-01-01,76.28
2010-02-01,76.28
2010-03-01,76.28
2010-04-01,76.28
2010-05-01,76.28
2010-06-01,76.28
2010-07-01,76.28
2010-08-01,77.53
2010-09-01,78.68
2010-10-01,78.68
2010-11-01,78.68
2010-12-01,78.68
2011-01-01,81.14
2011-02-01,81.14
2011-03-01,81.14
