# Índice de precios: electricidad (PT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T09:18:40+00:00
date,value
1996-01-01,56.75
1996-02-01,56.73
1996-03-01,56.71
1996-04-01,56.67
1996-05-01,56.65
1996-06-01,56.67
1996-07-01,56.68
1996-08-01,56.66
1996-09-01,56.69
1996-10-01,56.66
1996-11-01,56.68
1996-12-01,56.66
1997-01-01,57.22
1997-02-01,57.24
1997-03-01,57.25
1997-04-01,57.22
1997-05-01,57.23
1997-06-01,57.24
1997-07-01,57.25
1997-08-01,57.25
1997-09-01,57.24
1997-10-01,57.22
1997-11-01,57.28
1997-12-01,57.23
1998-01-01,57.24
1998-02-01,58.16
1998-03-01,58.14
1998-04-01,58.14
1998-05-01,58.13
1998-06-01,58.15
1998-07-01,58.09
1998-08-01,58.08
1998-09-01,58.07
1998-10-01,58.07
1998-11-01,58.1
1998-12-01,58.1
1999-01-01,55.39
1999-02-01,55.4
1999-03-01,55.32
1999-04-01,55.31
1999-05-01,55.3
1999-06-01,55.31
1999-07-01,55.33
1999-08-01,55.33
1999-09-01,55.31
1999-10-01,55.32
1999-11-01,55.34
1999-12-01,55.3
2000-01-01,54.98
2000-02-01,55
2000-03-01,54.98
2000-04-01,54.96
2000-05-01,54.96
2000-06-01,54.97
2000-07-01,54.97
2000-08-01,54.93
2000-09-01,54.93
2000-10-01,54.91
2000-11-01,54.9
2000-12-01,54.91
2001-01-01,55.52
2001-02-01,55.54
2001-03-01,55.54
2001-04-01,55.54
2001-05-01,55.54
2001-06-01,55.54
2001-07-01,55.54
2001-08-01,55.54
2001-09-01,55.54
2001-10-01,55.54
2001-11-01,55.54
2001-12-01,55.54
2002-01-01,56.92
2002-02-01,56.92
2002-03-01,56.92
2002-04-01,56.95
2002-05-01,56.92
2002-06-01,56.92
2002-07-01,56.92
2002-08-01,56.92
2002-09-01,56.92
2002-10-01,56.92
2002-11-01,56.92
2002-12-01,56.92
2003-01-01,58.4
2003-02-01,58.41
2003-03-01,58.41
2003-04-01,58.41
