# Índice de precios: gas (DE)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-15T03:52:07+00:00
date,value
1996-01-01,46.34
1996-02-01,46.36
1996-03-01,46.42
1996-04-01,46.35
1996-05-01,46.44
1996-06-01,46.49
1996-07-01,46.42
1996-08-01,46.48
1996-09-01,46.59
1996-10-01,46.8
1996-11-01,47.07
1996-12-01,47.3
1997-01-01,47.92
1997-02-01,48.35
1997-03-01,48.48
1997-04-01,48.64
1997-05-01,48.65
1997-06-01,48.88
1997-07-01,48.96
1997-08-01,49
1997-09-01,49
1997-10-01,49.05
1997-11-01,49.01
1997-12-01,49
1998-01-01,48.89
1998-02-01,48.79
1998-03-01,48.64
1998-04-01,48.67
1998-05-01,48.67
1998-06-01,48.61
1998-07-01,48.45
1998-08-01,48.38
1998-09-01,48.19
1998-10-01,47.7
1998-11-01,47.43
1998-12-01,47.19
1999-01-01,46.59
1999-02-01,46.34
1999-03-01,46.24
1999-04-01,46.49
1999-05-01,46.49
1999-06-01,46.47
1999-07-01,46.51
1999-08-01,46.6
1999-09-01,46.73
1999-10-01,47.05
1999-11-01,47.38
1999-12-01,47.68
2000-01-01,49.48
2000-02-01,49.8
2000-03-01,50.22
2000-04-01,52.33
2000-05-01,53.04
2000-06-01,53.72
2000-07-01,54.49
2000-08-01,55.37
2000-09-01,55.9
2000-10-01,58.05
2000-11-01,59.32
2000-12-01,59.92
2001-01-01,63.62
2001-02-01,64.47
2001-03-01,64.92
2001-04-01,65.4
2001-05-01,65.85
2001-06-01,65.99
2001-07-01,65.97
2001-08-01,66.14
2001-09-01,66.38
2001-10-01,65.23
2001-11-01,65.09
2001-12-01,64.99
2002-01-01,64.25
2002-02-01,64.1
2002-03-01,63.92
2002-04-01,63.12
2002-05-01,62.84
2002-06-01,62.69
2002-07-01,62.4
2002-08-01,62.24
2002-09-01,62.11
2002-10-01,61.87
2002-11-01,61.8
2002-12-01,61.7
2003-01-01,63.78
2003-02-01,63.95
2003-03-01,64.15
2003-04-01,64.49
2003-05-01,64.59
2003-06-01,64.71
2003-07-01,65.02
2003-08-01,65.1
2003-09-01,65.35
2003-10-01,65.42
2003-11-01,65.48
