# Índice de precios: gas (ES)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:17:41+00:00
date,value
1996-01-01,49.52
1996-02-01,49.52
1996-03-01,49.52
1996-04-01,50.28
1996-05-01,51.04
1996-06-01,51.04
1996-07-01,51.04
1996-08-01,51.04
1996-09-01,51.04
1996-10-01,51.14
1996-11-01,51.14
1996-12-01,51.19
1997-01-01,51.19
1997-02-01,51.49
1997-03-01,51.49
1997-04-01,51.49
1997-05-01,51.49
1997-06-01,51.49
1997-07-01,51.34
1997-08-01,53.72
1997-09-01,53.72
1997-10-01,56.3
1997-11-01,56.3
1997-12-01,56.3
1998-01-01,52.96
1998-02-01,50.68
1998-03-01,50.68
1998-04-01,48.96
1998-05-01,48.96
1998-06-01,48.96
1998-07-01,47.44
1998-08-01,47.44
1998-09-01,47.44
1998-10-01,50.23
1998-11-01,52.51
1998-12-01,52.51
1999-01-01,49.47
1999-02-01,46.94
1999-03-01,46.94
1999-04-01,48.25
1999-05-01,47.49
1999-06-01,49.47
1999-07-01,52.71
1999-08-01,59.44
1999-09-01,59.44
1999-10-01,52.25
1999-11-01,53.22
1999-12-01,53.22
2000-01-01,53.22
2000-02-01,54.03
2000-03-01,54.03
2000-04-01,54.03
2000-05-01,54.73
2000-06-01,54.73
2000-07-01,54.73
2000-08-01,55.24
2000-09-01,55.24
2000-10-01,56.1
2000-11-01,56.71
2000-12-01,56.71
2001-01-01,61.11
2001-02-01,61.67
2001-03-01,61.67
2001-04-01,64.81
2001-05-01,63.65
2001-06-01,63.65
2001-07-01,63.65
2001-08-01,62.43
2001-09-01,62.43
2001-10-01,61.57
2001-11-01,61.57
2001-12-01,61.57
2002-01-01,64.1
2002-02-01,62.58
2002-03-01,62.58
2002-04-01,60.41
2002-05-01,60.41
2002-06-01,60.41
2002-07-01,60.91
2002-08-01,60.91
2002-09-01,60.91
2002-10-01,59.95
2002-11-01,59.95
2002-12-01,59.95
2003-01-01,59.54
2003-02-01,59.54
2003-03-01,59.54
2003-04-01,61.32
2003-05-01,61.32
2003-06-01,61.32
2003-07-01,60.71
2003-08-01,60.71
2003-09-01,60.71
2003-10-01,61.16
2003-11-01,61.16
2003-12-01,61.16
2004-01-01,60.96
2004-02-01,60.96
2004-03-01,60.96
2004-04-01,59.24
2004-05-01,59.24
2004-06-01,59.24
2004-07-01,59.95
2004-08-01,59.95
2004-09-01,59.95
2004-10-01,61.27
2004-11-01,61.27
2004-12-01,61.27
2005-01-01,61.27
2005-02-01,61.32
2005-03-01,61.32
2005-04-01,64.2
2005-05-01,64.2
2005-06-01,64.2
2005-07-01,65.27
2005-08-01,67.14
2005-09-01,67.14
2005-10-01,68.76
2005-11-01,70.68
2005-12-01,70.68
2006-01-01,75.77
2006-02-01,75.77
2006-03-01,75.77
2006-04-01,79.57
2006-05-01,79.57
2006-06-01,79.57
2006-07-01,78.81
2006-08-01,78.81
2006-09-01,78.81
2006-10-01,77.58
2006-11-01,77.58
2006-12-01,77.58
2007-01-01,78.61
2007-02-01,78.61
2007-03-01,78.63
2007-04-01,77.2
2007-05-01,76.78
2007-06-01,76.78
2007-07-01,77.08
2007-08-01,77.08
2007-09-01,77.08
2007-10-01,79.67
2007-11-01,80.13
2007-12-01,80.13
2008-01-01,84.11
2008-02-01,84.11
2008-03-01,84.11
2008-04-01,87.7
2008-05-01,88
2008-06-01,88
2008-07-01,87.89
2008-08-01,88.33
2008-09-01,88.33
2008-10-01,91.19
2008-11-01,92.76
2008-12-01,92.76
2009-01-01,90.15
2009-02-01,90.15
2009-03-01,90.15
2009-04-01,78.25
2009-05-01,76.22
2009-06-01,76.22
2009-07-01,74.49
2009-08-01,74.49
2009-09-01,74.49
2009-10-01,74.53
2009-11-01,74.53
2009-12-01,74.53
2010-01-01,75.57
2010-02-01,75.57
2010-03-01,75.57
2010-04-01,78.72
2010-05-01,78.72
2010-06-01,78.72
2010-07-01,84.39
2010-08-01,84.39
2010-09-01,84.39
2010-10-01,84.8
2010-11-01,84.8
2010-12-01,84.8
2011-01-01,87.78
2011-02-01,87.78
2011-03-01,87.78
2011-04-01,92.13
2011-05-01,92.13
2011-06-01,92.13
2011-07-01,97.27
2011-08-01,97.27
2011-09-01,97.27
2011-10-01,98.73
2011-11-01,98.73
2011-12-01,98.73
2012-01-01,99.01
2012-02-01,99.01
2012-03-01,99.01
2012-04-01,100.01
2012-05-01,103.05
2012-06-01,103.05
2012-07-01,106.46
2012-08-01,106.46
2012-09-01,109.11
2012-10-01,107.38
2012-11-01,107.38
2012-12-01,107.38
2013-01-01,107.91
2013-02-01,107.91
2013-03-01,108.25
2013-04-01,109.78
2013-05-01,110.27
2013-06-01,110.64
2013-07-01,110.66
2013-08-01,110.66
2013-09-01,110.71
2013-10-01,110.71
2013-11-01,110.75
2013-12-01,110.75
2014-01-01,110.75
2014-02-01,110.75
2014-03-01,110.79
2014-04-01,110.79
2014-05-01,110.79
2014-06-01,110.79
2014-07-01,110.79
2014-08-01,110.79
2014-09-01,110.79
2014-10-01,110.79
2014-11-01,110.79
2014-12-01,110.79
2015-01-01,108.72
2015-02-01,108.72
2015-03-01,106.91
2015-04-01,103.34
2015-05-01,101.79
2015-06-01,99.63
2015-07-01,97.19
2015-08-01,96.24
2015-09-01,95.45
2015-10-01,94.09
2015-11-01,94.01
2015-12-01,93.92
2016-01-01,92.41
2016-02-01,93.05
2016-03-01,92.13
2016-04-01,89.68
2016-05-01,88.92
2016-06-01,88.11
2016-07-01,87.49
2016-08-01,86.62
2016-09-01,87.04
2016-10-01,88.35
2016-11-01,89.1
2016-12-01,89.75
2017-01-01,92.47
2017-02-01,93.08
2017-03-01,93.51
2017-04-01,95.62
2017-05-01,96.28
2017-06-01,96.89
2017-07-01,96.82
2017-08-01,97.56
2017-09-01,97
2017-10-01,95.26
2017-11-01,95.45
2017-12-01,95.83
2018-01-01,100.02
2018-02-01,100.21
2018-03-01,99.73
2018-04-01,96.51
2018-05-01,95.86
2018-06-01,95.33
2018-07-01,98.2
2018-08-01,98.79
2018-09-01,99.31
2018-10-01,105.53
2018-11-01,106.01
2018-12-01,106.81
2019-01-01,102.85
2019-02-01,102.27
2019-03-01,101.73
2019-04-01,96.66
2019-05-01,96.23
2019-06-01,95.43
2019-07-01,95.05
2019-08-01,94.7
2019-09-01,94.17
2019-10-01,93.56
2019-11-01,93.99
2019-12-01,94.63
2020-01-01,92.57
2020-02-01,93.31
2020-03-01,93.31
2020-04-01,93.31
2020-05-01,93.31
2020-06-01,93.31
2020-07-01,89.62
2020-08-01,88.85
2020-09-01,88.24
2020-10-01,85.04
2020-11-01,85.56
2020-12-01,86.14
2021-01-01,89.96
2021-02-01,90.55
2021-03-01,91.09
2021-04-01,91.61
2021-05-01,92.11
2021-06-01,92.73
2021-07-01,95.4
2021-08-01,96.12
2021-09-01,96.53
2021-10-01,99.11
2021-11-01,99.76
2021-12-01,100.4
2022-01-01,105.52
2022-02-01,106.19
2022-03-01,106.88
2022-04-01,112.66
2022-05-01,113.31
2022-06-01,114
2022-07-01,119.98
2022-08-01,119.98
2022-09-01,119.98
2022-10-01,112.25
2022-11-01,111.51
2022-12-01,110.86
2023-01-01,116.81
2023-02-01,116.83
2023-03-01,114.53
2023-04-01,104.37
2023-05-01,103.71
2023-06-01,102.14
2023-07-01,100.71
2023-08-01,94.59
2023-09-01,92.04
2023-10-01,89.09
2023-11-01,88.76
2023-12-01,88.74
2024-01-01,94.94
2024-02-01,94.51
2024-03-01,94.05
2024-04-01,98.9
2024-05-01,98.67
2024-06-01,95.84
2024-07-01,94.28
2024-08-01,93.73
2024-09-01,94.14
2024-10-01,96.97
2024-11-01,97.33
2024-12-01,97.74
2025-01-01,100.71
2025-02-01,100.78
2025-03-01,101.43
2025-04-01,97.4
2025-05-01,97.63
2025-06-01,97.96
2025-07-01,96.49
2025-08-01,96.13
2025-09-01,95.77
2025-10-01,98.54
2025-11-01,98.34
2025-12-01,98.1
2026-01-01,97.6
2026-02-01,97.75
2026-03-01,94.84
2026-04-01,86.74
2026-05-01,87.05
2026-06-01,95.73
2026-07-01,99.36
2026-08-01,100.35
