# Índice de precios: gas (FR)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T09:51:42+00:00
date,value
1996-01-01,45.5
1996-02-01,45.58
1996-03-01,45.62
1996-04-01,45.27
1996-05-01,45.29
1996-06-01,45.3
1996-07-01,45.31
1996-08-01,45.29
1996-09-01,45.31
1996-10-01,45.66
1996-11-01,46.25
1996-12-01,46.75
1997-01-01,47.06
1997-02-01,47.17
1997-03-01,47.2
1997-04-01,47.18
1997-05-01,48.34
1997-06-01,48.32
1997-07-01,48.33
1997-08-01,48.35
1997-09-01,48.42
1997-10-01,48.75
1997-11-01,49.89
1997-12-01,49.99
1998-01-01,50.05
1998-02-01,50.07
1998-03-01,50.09
1998-04-01,49.92
1998-05-01,48.93
1998-06-01,48.9
1998-07-01,48.89
1998-08-01,48.91
1998-09-01,48.89
1998-10-01,48.87
1998-11-01,47.97
1998-12-01,48.01
1999-01-01,47.37
1999-02-01,47.32
1999-03-01,47.31
1999-04-01,47.31
1999-05-01,45.54
1999-06-01,45.52
1999-07-01,45.53
1999-08-01,45.74
1999-09-01,46.17
1999-10-01,46.5
1999-11-01,46.74
1999-12-01,46.87
2000-01-01,47
2000-02-01,47.14
2000-03-01,47.16
2000-04-01,47.41
2000-05-01,49.72
2000-06-01,49.87
2000-07-01,50.08
2000-08-01,50.41
2000-09-01,50.73
2000-10-01,51.2
2000-11-01,56.11
2000-12-01,56.23
2001-01-01,56.14
2001-02-01,56.11
2001-03-01,55.8
2001-04-01,55.63
2001-05-01,58.93
2001-06-01,58.95
2001-07-01,58.94
2001-08-01,58.96
2001-09-01,58.99
2001-10-01,58.96
2001-11-01,58.97
2001-12-01,58.86
2002-01-01,58.88
2002-02-01,58.88
2002-03-01,58.76
2002-04-01,58.72
2002-05-01,56.85
2002-06-01,56.84
2002-07-01,56.83
2002-08-01,56.82
2002-09-01,56.85
2002-10-01,56.92
2002-11-01,58.24
2002-12-01,58.45
2003-01-01,59.05
2003-02-01,59.26
2003-03-01,59.48
2003-04-01,59.45
2003-05-01,60.59
2003-06-01,60.41
2003-07-01,60.26
2003-08-01,60.27
2003-09-01,60.42
2003-10-01,60.45
2003-11-01,56.78
2003-12-01,56.95
2004-01-01,56.96
2004-02-01,56.98
2004-03-01,56.99
2004-04-01,57.01
2004-05-01,57.07
2004-06-01,57.37
2004-07-01,57.4
2004-08-01,57.57
2004-09-01,58.01
2004-10-01,58.24
2004-11-01,59.87
2004-12-01,60.64
2005-01-01,60.65
2005-02-01,60.62
2005-03-01,60.42
2005-04-01,60.45
2005-05-01,60.45
2005-06-01,60.46
2005-07-01,62.17
2005-08-01,62.22
2005-09-01,63.71
2005-10-01,64.03
2005-11-01,66.71
2005-12-01,66.75
2006-01-01,66.86
2006-02-01,67.14
2006-03-01,67.28
2006-04-01,71.1
2006-05-01,74.3
2006-06-01,74.31
2006-07-01,74.32
2006-08-01,74.32
2006-09-01,74.32
2006-10-01,74.31
2006-11-01,74.3
2006-12-01,74.3
2007-01-01,74.31
2007-02-01,74.28
2007-03-01,74.23
2007-04-01,74.17
2007-05-01,74.19
2007-06-01,74.21
2007-07-01,74.32
2007-08-01,74.33
2007-09-01,74.34
2007-10-01,74.37
2007-11-01,74.63
2007-12-01,74.79
2008-01-01,77.77
2008-02-01,78.03
2008-03-01,78.08
2008-04-01,78.21
2008-05-01,82.23
2008-06-01,82.28
2008-07-01,82.61
2008-08-01,84.91
2008-09-01,86.65
2008-10-01,86.67
2008-11-01,86.77
2008-12-01,86.11
2009-01-01,85.92
2009-02-01,85.78
2009-03-01,85.3
2009-04-01,77.89
2009-05-01,77.64
2009-06-01,77.4
2009-07-01,77.41
2009-08-01,77.35
2009-09-01,77.37
2009-10-01,77.35
2009-11-01,77.42
2009-12-01,77.51
2010-01-01,77.62
2010-02-01,77.68
2010-03-01,77.68
2010-04-01,84.03
2010-05-01,83.9
2010-06-01,83.87
2010-07-01,87.55
2010-08-01,87.6
2010-09-01,87.58
2010-10-01,87.94
2010-11-01,88.01
2010-12-01,88.2
2011-01-01,88.75
2011-02-01,88.96
2011-03-01,89.19
2011-04-01,93.15
2011-05-01,93.02
2011-06-01,93.15
2011-07-01,93.16
2011-08-01,93.17
2011-09-01,93.18
2011-10-01,93.37
2011-11-01,93.35
2011-12-01,93.41
2012-01-01,96.9
2012-02-01,96.99
2012-03-01,97
2012-04-01,97.31
2012-05-01,97.34
2012-06-01,97.26
2012-07-01,97.86
2012-08-01,98.89
2012-09-01,99.07
2012-10-01,100.77
2012-11-01,101.07
2012-12-01,101.11
2013-01-01,103.29
2013-02-01,102.97
2013-03-01,102.92
2013-04-01,102.45
2013-05-01,102.31
2013-06-01,102.07
2013-07-01,102.48
2013-08-01,102.08
2013-09-01,101.97
2013-10-01,102.11
2013-11-01,102.66
2013-12-01,102.71
2014-01-01,103.61
2014-02-01,103.91
2014-03-01,102.84
2014-04-01,103.08
2014-05-01,102.25
2014-06-01,101.03
