# Índice de precios: gas (IT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-22T08:48:49+00:00
date,value
1996-01-01,58.1
1996-02-01,58.3
1996-03-01,58.4
1996-04-01,58.4
1996-05-01,58.3
1996-06-01,58.3
1996-07-01,58.4
1996-08-01,58.4
1996-09-01,59
1996-10-01,59.1
1996-11-01,60.1
1996-12-01,60.3
1997-01-01,61.8
1997-02-01,62.2
1997-03-01,63.3
1997-04-01,63.3
1997-05-01,63.3
1997-06-01,63.3
1997-07-01,63
1997-08-01,63
1997-09-01,62.4
1997-10-01,62.9
1997-11-01,62.9
1997-12-01,63
1998-01-01,63.2
1998-02-01,63.5
1998-03-01,63.4
1998-04-01,63.5
1998-05-01,62.7
1998-06-01,62.7
1998-07-01,61.7
1998-08-01,61.7
1998-09-01,60.7
1998-10-01,60.7
1998-11-01,60.3
1998-12-01,60.4
1999-01-01,60.1
1999-02-01,60.2
1999-03-01,60.3
1999-04-01,60.2
1999-05-01,60.2
1999-06-01,60.2
1999-07-01,60.3
1999-08-01,60.4
1999-09-01,61.9
1999-10-01,61.9
1999-11-01,63.3
1999-12-01,63.4
2000-01-01,63.7
2000-02-01,63.8
2000-03-01,65.6
2000-04-01,65.4
2000-05-01,67
2000-06-01,67.1
2000-07-01,68.3
2000-08-01,68.3
2000-09-01,69.9
2000-10-01,69.2
2000-11-01,71.2
2000-12-01,71.2
2001-01-01,73.5
2001-02-01,73.8
2001-03-01,74
2001-04-01,74.1
2001-05-01,72.5
2001-06-01,72.5
2001-07-01,71.1
2001-08-01,71.1
2001-09-01,71
2001-10-01,71
2001-11-01,72.7
2001-12-01,72.8
2002-01-01,70.9
2002-02-01,70.9
2002-03-01,69.8
2002-04-01,68.6
2002-05-01,67.9
2002-06-01,67.8
2002-07-01,68.4
2002-08-01,68.4
2002-09-01,68.5
2002-10-01,68.8
2002-11-01,68.8
2002-12-01,68.9
2003-01-01,70.2
2003-02-01,70.9
2003-03-01,71
2003-04-01,73
2003-05-01,73
2003-06-01,73
2003-07-01,73.1
2003-08-01,73
2003-09-01,73.3
2003-10-01,73.2
2003-11-01,73.2
2003-12-01,73.2
2004-01-01,73.2
2004-02-01,72.4
2004-03-01,72.3
2004-04-01,72.4
2004-05-01,72.3
2004-06-01,72.1
2004-07-01,72.1
2004-08-01,72.2
2004-09-01,72.2
2004-10-01,72.7
2004-11-01,73.3
2004-12-01,73.6
2005-01-01,75.3
2005-02-01,75.5
2005-03-01,75.7
2005-04-01,76.5
2005-05-01,76.6
2005-06-01,76.6
2005-07-01,78.9
2005-08-01,79
2005-09-01,79.2
2005-10-01,80.8
2005-11-01,81.5
2005-12-01,81.6
2006-01-01,82.6
2006-02-01,83.5
2006-03-01,84.3
2006-04-01,84.9
2006-05-01,84.2
2006-06-01,84
2006-07-01,86.5
2006-08-01,86.8
2006-09-01,86.9
2006-10-01,87
2006-11-01,87.1
2006-12-01,87
2007-01-01,88
2007-02-01,88.1
2007-03-01,87.4
2007-04-01,85.4
2007-05-01,84.7
2007-06-01,84.7
2007-07-01,84.1
2007-08-01,83.8
2007-09-01,83.8
2007-10-01,84.7
2007-11-01,85.2
2007-12-01,85.4
2008-01-01,88.7
2008-02-01,89.4
2008-03-01,89.1
2008-04-01,91.8
2008-05-01,92.2
2008-06-01,92.3
2008-07-01,94.9
2008-08-01,94.9
2008-09-01,94.8
2008-10-01,97.8
2008-11-01,98.2
2008-12-01,100.2
2009-01-01,99.6
2009-02-01,99.7
2009-03-01,99.8
2009-04-01,95.2
2009-05-01,93.8
2009-06-01,93.6
2009-07-01,89.8
2009-08-01,88.9
2009-09-01,88.3
2009-10-01,87.4
2009-11-01,85.9
2009-12-01,85.3
2010-01-01,86.2
2010-02-01,86.5
2010-03-01,86.6
2010-04-01,89
2010-05-01,89.2
2010-06-01,89.5
2010-07-01,91.9
2010-08-01,92
2010-09-01,92
2010-10-01,92.1
2010-11-01,92.2
2010-12-01,92.4
2011-01-01,93.3
2011-02-01,93.7
2011-03-01,93.9
2011-04-01,95.5
2011-05-01,95.7
2011-06-01,95.7
2011-07-01,98.9
2011-08-01,99
2011-09-01,99
2011-10-01,103.4
2011-11-01,103.8
2011-12-01,103.9
2012-01-01,107.1
2012-02-01,107.3
2012-03-01,107.4
2012-04-01,109.1
2012-05-01,109
2012-06-01,108.9
2012-07-01,111.3
2012-08-01,111.3
2012-09-01,111.6
2012-10-01,112.8
2012-11-01,112.9
2012-12-01,113
2013-01-01,114.8
2013-02-01,114.8
2013-03-01,114.8
2013-04-01,111.3
2013-05-01,110.8
2013-06-01,110.7
2013-07-01,110.4
2013-08-01,110.4
2013-09-01,110.1
2013-10-01,109.1
2013-11-01,108.8
2013-12-01,108.2
2014-01-01,108.2
2014-02-01,108.1
2014-03-01,108.1
2014-04-01,104.7
2014-05-01,104.5
2014-06-01,104.3
2014-07-01,99.2
2014-08-01,99.1
2014-09-01,98.9
2014-10-01,103.2
2014-11-01,103.2
2014-12-01,103.3
2015-01-01,102.8
2015-02-01,102.7
2015-03-01,102.7
2015-04-01,99.2
2015-05-01,99.1
2015-06-01,99
2015-07-01,98.4
2015-08-01,98.4
2015-09-01,98
2015-10-01,99.8
2015-11-01,99.9
2015-12-01,99.9
2016-01-01,97.3
2016-02-01,97.1
2016-03-01,97
2016-04-01,89.8
2016-05-01,89.1
2016-06-01,88.9
2016-07-01,89.6
2016-08-01,89.6
2016-09-01,90.2
2016-10-01,90.9
2016-11-01,91.1
2016-12-01,91.2
2017-01-01,93.2
2017-02-01,95.1
2017-03-01,95.6
2017-04-01,94.8
2017-05-01,94.6
2017-06-01,94.5
2017-07-01,91.6
2017-08-01,91.5
2017-09-01,91.6
2017-10-01,93.7
2017-11-01,93.8
2017-12-01,93.9
2018-01-01,97.7
2018-02-01,97.8
2018-03-01,97.9
2018-04-01,93.3
2018-05-01,93.1
2018-06-01,93.1
2018-07-01,99.6
2018-08-01,99.6
2018-09-01,99.8
2018-10-01,104.9
2018-11-01,105.1
2018-12-01,105.1
2019-01-01,107
2019-02-01,107.1
2019-03-01,107.1
2019-04-01,98
2019-05-01,97.9
2019-06-01,97.8
2019-07-01,92.1
2019-08-01,92.2
2019-09-01,92.1
2019-10-01,94.8
2019-11-01,95
2019-12-01,95.1
2020-01-01,95.7
2020-02-01,95.9
2020-03-01,95.9
2020-04-01,84.8
2020-05-01,84.7
2020-06-01,84.6
2020-07-01,79.9
2020-08-01,79.9
2020-09-01,79.9
2020-10-01,86.9
2020-11-01,87.5
2020-12-01,87.5
2021-01-01,91.6
2021-02-01,91.7
2021-03-01,91.8
2021-04-01,94.8
2021-05-01,94.8
2021-06-01,94.8
