# Índice de precios: gas (PT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-15T04:04:17+00:00
date,value
1996-01-01,35.67
1996-02-01,35.76
1996-03-01,35.79
1996-04-01,35.8
1996-05-01,35.78
1996-06-01,35.8
1996-07-01,35.8
1996-08-01,35.79
1996-09-01,36.02
1996-10-01,36.88
1996-11-01,37.72
1996-12-01,38.14
1997-01-01,39.05
1997-02-01,40.18
1997-03-01,40.99
1997-04-01,41
1997-05-01,41.05
1997-06-01,41.09
1997-07-01,41.09
1997-08-01,41.13
1997-09-01,41.12
1997-10-01,41.11
1997-11-01,41.15
1997-12-01,41.12
1998-01-01,41.12
1998-02-01,41.16
1998-03-01,41.22
1998-04-01,41.23
1998-05-01,41.22
1998-06-01,41.31
1998-07-01,41.3
1998-08-01,41.3
1998-09-01,41.29
1998-10-01,41.29
1998-11-01,41.35
1998-12-01,41.35
1999-01-01,41.35
1999-02-01,41.36
1999-03-01,41.35
1999-04-01,41.34
1999-05-01,41.33
1999-06-01,41.34
1999-07-01,41.35
1999-08-01,41.36
1999-09-01,41.34
1999-10-01,41.38
1999-11-01,42.09
1999-12-01,42.75
2000-01-01,43.7
2000-02-01,43.93
2000-03-01,44.02
2000-04-01,45.25
2000-05-01,46.4
2000-06-01,47.86
2000-07-01,48.59
2000-08-01,49.65
2000-09-01,49.65
2000-10-01,50.25
2000-11-01,52.99
2000-12-01,54.59
2001-01-01,56.18
2001-02-01,56.19
2001-03-01,56.33
2001-04-01,55.98
2001-05-01,55.11
2001-06-01,54.77
2001-07-01,54.68
2001-08-01,54.68
2001-09-01,54.58
2001-10-01,54.59
2001-11-01,54.63
2001-12-01,54.56
2002-01-01,54
2002-02-01,53.61
2002-03-01,53.21
2002-04-01,52.9
2002-05-01,52.72
2002-06-01,52.88
2002-07-01,53.19
2002-08-01,53.2
2002-09-01,53.06
2002-10-01,52.79
2002-11-01,53.91
2002-12-01,54.38
2003-01-01,55.5
2003-02-01,56.63
2003-03-01,57.35
2003-04-01,58.34
2003-05-01,59.15
2003-06-01,59.75
2003-07-01,59.07
2003-08-01,58.03
2003-09-01,57.43
2003-10-01,57.34
2003-11-01,57.55
2003-12-01,57.55
2004-01-01,57.68
2004-02-01,57.67
2004-03-01,57.67
2004-04-01,58.02
2004-05-01,58.68
2004-06-01,59.17
2004-07-01,59.53
2004-08-01,59.58
2004-09-01,60.16
2004-10-01,62.07
2004-11-01,64.62
2004-12-01,65.73
2005-01-01,66.34
2005-02-01,66.25
2005-03-01,66.15
2005-04-01,66.95
2005-05-01,66.94
2005-06-01,66.96
2005-07-01,68.13
2005-08-01,68.19
2005-09-01,68.37
2005-10-01,70.64
2005-11-01,70.97
2005-12-01,71.27
2006-01-01,74.06
2006-02-01,74.18
2006-03-01,74.35
2006-04-01,74.31
2006-05-01,74.37
2006-06-01,74.4
2006-07-01,74.9
2006-08-01,74.89
2006-09-01,74.94
2006-10-01,74.98
2006-11-01,74.99
2006-12-01,74.99
2007-01-01,75.15
2007-02-01,75.07
2007-03-01,74.95
2007-04-01,74.12
2007-05-01,74.19
2007-06-01,74.27
2007-07-01,75.32
2007-08-01,75.38
2007-09-01,75.45
2007-10-01,75.61
2007-11-01,77.26
2007-12-01,77.71
2008-01-01,79.7
2008-02-01,80
2008-03-01,80.1
2008-04-01,81.88
2008-05-01,81.89
2008-06-01,81.94
2008-07-01,78.55
2008-08-01,78.64
2008-09-01,78.76
2008-10-01,78.93
2008-11-01,78.87
2008-12-01,78.58
2009-01-01,75.92
2009-02-01,75.42
2009-03-01,75.44
2009-04-01,73.94
2009-05-01,73.68
2009-06-01,73.58
2009-07-01,72.58
2009-08-01,72.63
2009-09-01,72.58
2009-10-01,72.58
2009-11-01,73.94
2009-12-01,75.53
2010-01-01,76.35
2010-02-01,78.77
2010-03-01,80.26
2010-04-01,80.9
2010-05-01,81.47
2010-06-01,81.59
2010-07-01,82.44
2010-08-01,82.38
2010-09-01,82.24
2010-10-01,82.79
2010-11-01,83.83
2010-12-01,86.64
2011-01-01,89.08
2011-02-01,90.26
2011-03-01,90.38
2011-04-01,90.39
2011-05-01,90.43
2011-06-01,90.44
2011-07-01,91.22
2011-08-01,91.27
2011-09-01,91.22
2011-10-01,94.45
2011-11-01,94.45
2011-12-01,94.43
2012-01-01,94.91
2012-02-01,96.03
2012-03-01,97.03
2012-04-01,97.95
2012-05-01,98.77
2012-06-01,98.98
2012-07-01,99.84
2012-08-01,99.64
2012-09-01,101.02
2012-10-01,102.38
2012-11-01,102.86
2012-12-01,104.71
2013-01-01,105
2013-02-01,105.82
2013-03-01,105.89
2013-04-01,105.16
2013-05-01,104.42
2013-06-01,103.56
2013-07-01,104.32
2013-08-01,104.33
2013-09-01,104.31
2013-10-01,104.35
2013-11-01,104.26
2013-12-01,104.35
2014-01-01,106.6
2014-02-01,106.72
2014-03-01,106.74
2014-04-01,106.35
2014-05-01,105.91
2014-06-01,105.38
2014-07-01,105.84
2014-08-01,105.89
2014-09-01,105.89
2014-10-01,105.74
2014-11-01,105.49
2014-12-01,104.43
2015-01-01,103.72
2015-02-01,102.84
2015-03-01,102.04
2015-04-01,102.29
2015-05-01,100.87
2015-06-01,100.69
2015-07-01,98.58
2015-08-01,98.12
2015-09-01,97.88
2015-10-01,97.71
2015-11-01,97.6
2015-12-01,97.65
2016-01-01,97.55
2016-02-01,97.33
2016-03-01,97.09
2016-04-01,97.1
2016-05-01,95.72
2016-06-01,95.5
2016-07-01,90.35
2016-08-01,90.3
2016-09-01,90.03
2016-10-01,90.57
2016-11-01,91.06
2016-12-01,91.31
2017-01-01,91.97
2017-02-01,92.66
2017-03-01,93.61
2017-04-01,93.65
2017-05-01,93.25
2017-06-01,92.92
2017-07-01,91.79
2017-08-01,91.65
2017-09-01,92.07
2017-10-01,92.91
2017-11-01,93.24
2017-12-01,93.7
2018-01-01,94.55
2018-02-01,94.22
2018-03-01,94.14
2018-04-01,93.3
2018-05-01,93.77
2018-06-01,94.18
2018-07-01,94.04
2018-08-01,94.35
2018-09-01,94.55
2018-10-01,95.14
2018-11-01,95.89
2018-12-01,95.9
2019-01-01,95.61
2019-02-01,95.12
2019-03-01,95.64
2019-04-01,95.55
2019-05-01,95.78
2019-06-01,95.48
2019-07-01,93.55
2019-08-01,93.35
2019-09-01,93.1
2019-10-01,92.41
2019-11-01,93.08
2019-12-01,93.56
2020-01-01,94.66
2020-02-01,94.52
2020-03-01,94.59
2020-04-01,88.08
2020-05-01,91.12
2020-06-01,90.44
2020-07-01,91.02
2020-08-01,89.78
2020-09-01,89.91
2020-10-01,89.59
2020-11-01,90.22
2020-12-01,90.47
2021-01-01,90.97
2021-02-01,88.49
2021-03-01,89.39
2021-04-01,89.67
2021-05-01,90.59
2021-06-01,90.92
2021-07-01,91.61
2021-08-01,92.77
2021-09-01,93.31
2021-10-01,96.31
2021-11-01,98.28
2021-12-01,99.11
2022-01-01,101.53
2022-02-01,102.44
2022-03-01,104.5
2022-04-01,114
2022-05-01,127.82
2022-06-01,127.1
2022-07-01,124.71
2022-08-01,120.21
