# Índice de precios: leña y pellet (AT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-14T09:39:14+00:00
date,value
2000-12-01,71.41
2001-01-01,71.48
2001-02-01,71.62
2001-03-01,71.47
2001-04-01,71.27
2001-05-01,70.01
2001-06-01,69.21
2001-07-01,68.85
2001-08-01,68.87
2001-09-01,69.38
2001-10-01,70.34
2001-11-01,71.03
2001-12-01,71.24
2002-01-01,71.74
2002-02-01,71.49
2002-03-01,71.38
2002-04-01,70.83
2002-05-01,70.57
2002-06-01,70.73
2002-07-01,70.36
2002-08-01,70.34
2002-09-01,70.55
2002-10-01,70.73
2002-11-01,72.33
2002-12-01,72.35
2003-01-01,73.19
2003-02-01,73.22
2003-03-01,73.24
2003-04-01,73.28
2003-05-01,72.91
2003-06-01,72.86
2003-07-01,72.79
2003-08-01,72.5
2003-09-01,72.67
2003-10-01,73.46
2003-11-01,73.8
2003-12-01,73.8
2004-01-01,74.15
2004-02-01,73.93
2004-03-01,74.86
2004-04-01,74.53
2004-05-01,74.41
2004-06-01,73.49
2004-07-01,73.73
2004-08-01,73.38
2004-09-01,73.46
2004-10-01,73.73
2004-11-01,74.7
2004-12-01,75.05
2005-01-01,75.06
2005-02-01,75.05
2005-03-01,75.15
2005-04-01,75.18
2005-05-01,74.72
2005-06-01,74.78
2005-07-01,74.86
2005-08-01,74.57
2005-09-01,75.22
2005-10-01,78.31
2005-11-01,79.05
2005-12-01,79.28
2006-01-01,79.57
2006-02-01,80
2006-03-01,80.13
2006-04-01,79.69
2006-05-01,79.41
2006-06-01,79.86
2006-07-01,80.23
2006-08-01,80.56
2006-09-01,81.83
2006-10-01,83.99
2006-11-01,86.35
2006-12-01,86.86
2007-01-01,87.96
2007-02-01,88.2
2007-03-01,88.18
2007-04-01,87.65
2007-05-01,87.15
2007-06-01,85.9
2007-07-01,85.83
2007-08-01,85.79
2007-09-01,86.33
2007-10-01,85.89
2007-11-01,86.52
2007-12-01,86.48
2008-01-01,87.05
2008-02-01,86.19
2008-03-01,85.94
2008-04-01,84.88
2008-05-01,84.3
2008-06-01,84.27
2008-07-01,83.03
2008-08-01,84.38
2008-09-01,84.81
2008-10-01,85.64
2008-11-01,85.96
2008-12-01,85.88
2009-01-01,86.36
2009-02-01,86.67
2009-03-01,86.97
2009-04-01,88.2
2009-05-01,87.89
2009-06-01,88.2
2009-07-01,88.07
2009-08-01,86
2009-09-01,86.97
2009-10-01,88.41
2009-11-01,89.42
2009-12-01,89.5
2010-01-01,89.02
2010-02-01,89.48
2010-03-01,89.57
2010-04-01,89.26
2010-05-01,88.5
2010-06-01,88.21
2010-07-01,87.83
2010-08-01,86.95
2010-09-01,88.11
2010-10-01,87.72
2010-11-01,88.65
2010-12-01,88.49
2011-01-01,89.59
2011-02-01,90.28
2011-03-01,90.15
2011-04-01,90.49
2011-05-01,90.34
2011-06-01,90.33
2011-07-01,90.85
2011-08-01,91.3
2011-09-01,91.4
2011-10-01,91.77
2011-11-01,92.33
2011-12-01,92.33
2012-01-01,92.61
2012-02-01,90.32
2012-03-01,92.4
2012-04-01,91.7
2012-05-01,91.42
2012-06-01,91.34
2012-07-01,92.01
2012-08-01,91.92
2012-09-01,92.61
2012-10-01,93.09
2012-11-01,93.7
2012-12-01,93.73
2013-01-01,94.16
2013-02-01,94.46
2013-03-01,94.8
2013-04-01,94.29
2013-05-01,94.02
2013-06-01,94
2013-07-01,94.4
2013-08-01,94.61
2013-09-01,94.9
2013-10-01,96.85
2013-11-01,96.82
2013-12-01,97.16
2014-01-01,98.92
2014-02-01,99.38
2014-03-01,99.58
2014-04-01,99.02
2014-05-01,98.47
2014-06-01,98.37
2014-07-01,97.88
2014-08-01,98.18
2014-09-01,98.72
2014-10-01,100.3
