# Índice de precios: leña y pellet (DE)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-19T08:17:46+00:00
date,value
2014-12-01,100.52
2015-01-01,100.77
2015-02-01,101.29
2015-03-01,102.17
2015-04-01,102.34
2015-05-01,101.07
2015-06-01,100.47
2015-07-01,100.68
2015-08-01,97.87
2015-09-01,99.07
2015-10-01,99.06
2015-11-01,98.63
2015-12-01,98.7
2016-01-01,100.12
2016-02-01,97.36
2016-03-01,97.52
2016-04-01,97.23
2016-05-01,96.88
2016-06-01,96.02
2016-07-01,95.78
2016-08-01,95.23
2016-09-01,97.09
2016-10-01,97.14
2016-11-01,98.29
2016-12-01,98.46
2017-01-01,98.47
2017-02-01,101.13
2017-03-01,101.73
2017-04-01,101.78
2017-05-01,99.92
2017-06-01,99.72
2017-07-01,98.48
2017-08-01,98.23
2017-09-01,98.6
2017-10-01,99.72
2017-11-01,99.42
2017-12-01,98.71
2018-01-01,99.84
2018-02-01,100.35
2018-03-01,99.33
2018-04-01,98.94
2018-05-01,98.24
2018-06-01,98.54
2018-07-01,98.02
2018-08-01,99.08
2018-09-01,101.27
2018-10-01,103.24
2018-11-01,104.35
2018-12-01,104.46
2019-01-01,105.45
2019-02-01,106.2
2019-03-01,106.02
2019-04-01,103.94
2019-05-01,102.82
2019-06-01,102.2
2019-07-01,100.87
2019-08-01,100.8
2019-09-01,101.87
2019-10-01,102.03
2019-11-01,102.85
2019-12-01,104.32
2020-01-01,104.57
2020-02-01,102.91
2020-03-01,102.67
2020-04-01,100.83
2020-05-01,100.47
2020-06-01,99.49
2020-07-01,97.53
2020-08-01,96.62
2020-09-01,97.51
2020-10-01,97.99
2020-11-01,97.23
2020-12-01,96.86
2021-01-01,99.28
2021-02-01,100.81
2021-03-01,99.37
2021-04-01,98.67
2021-05-01,96.53
2021-06-01,96.97
2021-07-01,98
2021-08-01,98.08
2021-09-01,99.08
2021-10-01,101.01
2021-11-01,102.3
2021-12-01,110.16
2022-01-01,120.62
2022-02-01,122.09
2022-03-01,120.3
2022-04-01,124.1
2022-05-01,131.47
2022-06-01,134.9
2022-07-01,152.9
2022-08-01,182.09
2022-09-01,203.23
2022-10-01,210.22
2022-11-01,200.75
2022-12-01,185.26
2023-01-01,183.52
2023-02-01,175.71
2023-03-01,170.76
2023-04-01,163.76
2023-05-01,164.51
2023-06-01,172.2
2023-07-01,173.83
2023-08-01,170.41
2023-09-01,166.16
2023-10-01,165.38
2023-11-01,162.97
2023-12-01,160.78
2024-01-01,157.46
2024-02-01,156.06
2024-03-01,152.22
2024-04-01,150.77
2024-05-01,148.9
2024-06-01,148.58
2024-07-01,149.76
2024-08-01,148.03
2024-09-01,146.15
2024-10-01,144.32
2024-11-01,143.67
2024-12-01,141.88
2025-01-01,143.74
2025-02-01,148.23
2025-03-01,146.82
2025-04-01,143.88
2025-05-01,140.97
2025-06-01,140.19
2025-07-01,141.79
2025-08-01,142.86
2025-09-01,143.47
2025-10-01,147.96
2025-11-01,151.4
2025-12-01,152.48
2026-01-01,154.4
2026-02-01,157.41
2026-03-01,160.33
2026-04-01,156.24
2026-05-01,155.78
2026-06-01,155.97
2026-07-01,156.95
2026-08-01,161.24
