# Índice de precios: leña y pellet (FR)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:56:10+00:00
date,value
1996-01-01,68.63
1996-02-01,68.69
1996-03-01,68.76
1996-04-01,68.84
1996-05-01,68.66
1996-06-01,69.03
1996-07-01,69.17
1996-08-01,69.26
1996-09-01,69.48
1996-10-01,69.7
1996-11-01,69.84
1996-12-01,69.87
1997-01-01,69.72
1997-02-01,69.66
1997-03-01,69.44
1997-04-01,69.27
1997-05-01,69.31
1997-06-01,69.39
1997-07-01,69.26
1997-08-01,69.45
1997-09-01,69.68
1997-10-01,69.77
1997-11-01,69.78
1997-12-01,70.09
1998-01-01,70.15
1998-02-01,70.28
1998-03-01,70.23
1998-04-01,70.03
1998-05-01,69.86
1998-06-01,69.78
1998-07-01,69.91
1998-08-01,69.95
1998-09-01,70.38
1998-10-01,70.54
1998-11-01,70.62
1998-12-01,70.99
1999-01-01,71.27
1999-02-01,71.43
1999-03-01,71.42
1999-04-01,71.31
1999-05-01,71.62
1999-06-01,71.45
1999-07-01,71.59
1999-08-01,71.48
1999-09-01,71.7
1999-10-01,72.11
1999-11-01,72.18
1999-12-01,72.32
2000-01-01,72.4
2000-02-01,73.26
2000-03-01,73.29
2000-04-01,73.18
2000-05-01,73.13
2000-06-01,72.89
2000-07-01,72.9
2000-08-01,73.15
2000-09-01,73.46
2000-10-01,73.41
2000-11-01,73.45
2000-12-01,73.59
2001-01-01,73.84
2001-02-01,73.9
2001-03-01,73.9
2001-04-01,73.69
2001-05-01,73.71
2001-06-01,73.56
2001-07-01,73.67
2001-08-01,73.77
2001-09-01,74.25
2001-10-01,74.32
2001-11-01,74.5
2001-12-01,75.07
2002-01-01,75.19
2002-02-01,75.33
2002-03-01,75.33
2002-04-01,75.43
2002-05-01,75.23
2002-06-01,75.38
2002-07-01,75.36
2002-08-01,75.51
2002-09-01,76.02
2002-10-01,76.18
2002-11-01,76.35
2002-12-01,76.5
2003-01-01,76.61
2003-02-01,76.67
2003-03-01,76.7
2003-04-01,76.52
2003-05-01,76.39
2003-06-01,76.28
2003-07-01,76.59
2003-08-01,76.69
2003-09-01,78.03
2003-10-01,78.18
2003-11-01,78.39
2003-12-01,78.52
2004-01-01,78.58
2004-02-01,78.59
2004-03-01,78.53
2004-04-01,77.95
2004-05-01,78.64
2004-06-01,78.89
2004-07-01,79.12
2004-08-01,79.1
2004-09-01,79.09
2004-10-01,79.55
2004-11-01,79.29
2004-12-01,79.59
2005-01-01,79.62
2005-02-01,79.61
2005-03-01,79.62
2005-04-01,79.26
2005-05-01,79.44
2005-06-01,79.38
2005-07-01,79.73
2005-08-01,79.4
2005-09-01,80.07
2005-10-01,80.55
2005-11-01,81.23
2005-12-01,80.81
2006-01-01,81.66
2006-02-01,82.05
2006-03-01,81.99
2006-04-01,81.95
2006-05-01,81.89
2006-06-01,81.47
2006-07-01,81.59
2006-08-01,81.72
2006-09-01,83.39
2006-10-01,83.81
2006-11-01,83.65
2006-12-01,83.99
