# Índice de precios: leña y pellet (PT)
# Unidad: índice 2015=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:17:41+00:00
date,value
2014-12-01,100.91
2015-01-01,101.44
2015-02-01,97
2015-03-01,100.49
2015-04-01,99.07
2015-05-01,99.07
2015-06-01,100.57
2015-07-01,100.92
2015-08-01,101.96
2015-09-01,97.89
2015-10-01,100.78
2015-11-01,101.42
2015-12-01,99.4
2016-01-01,101.97
2016-02-01,102.99
2016-03-01,103.31
2016-04-01,104.4
2016-05-01,104.4
2016-06-01,104.67
2016-07-01,104.01
2016-08-01,103.43
2016-09-01,103.39
2016-10-01,105.57
2016-11-01,103.73
2016-12-01,102.46
2017-01-01,102.42
2017-02-01,101.25
2017-03-01,101.74
2017-04-01,101.23
2017-05-01,101.23
2017-06-01,99.35
2017-07-01,99.82
2017-08-01,101.66
2017-09-01,101.3
2017-10-01,101.29
2017-11-01,100.57
2017-12-01,100.57
2018-01-01,100.36
2018-02-01,102.6
2018-03-01,102.85
2018-04-01,102.17
2018-05-01,102.17
2018-06-01,97.42
2018-07-01,99.16
2018-08-01,99.86
2018-09-01,100
2018-10-01,99.71
2018-11-01,100.53
2018-12-01,99.62
2019-01-01,100.51
2019-02-01,101
2019-03-01,100.92
2019-04-01,98.75
2019-05-01,98.75
2019-06-01,97.6
2019-07-01,99.46
2019-08-01,97.79
2019-09-01,102.05
2019-10-01,101.23
2019-11-01,101.29
2019-12-01,101.51
2020-01-01,100.59
2020-02-01,101.33
2020-03-01,100.6
2020-04-01,101.48
2020-05-01,101.48
2020-06-01,98.02
2020-07-01,99.02
2020-08-01,99.29
2020-09-01,100.26
2020-10-01,100.05
2020-11-01,100.65
2020-12-01,98.86
2021-01-01,99.35
2021-02-01,100.81
2021-03-01,101.31
2021-04-01,100.99
2021-05-01,100.99
2021-06-01,102.34
2021-07-01,102.44
2021-08-01,103.74
2021-09-01,102.44
2021-10-01,105.4
2021-11-01,107.15
2021-12-01,107.56
2022-01-01,107.55
2022-02-01,106.64
2022-03-01,105.1
2022-04-01,106.46
2022-05-01,106.46
2022-06-01,108.76
2022-07-01,112.41
2022-08-01,112.13
2022-09-01,114.65
2022-10-01,124.22
2022-11-01,124.6
2022-12-01,125.65
2023-01-01,127.44
2023-02-01,127.52
2023-03-01,127.45
2023-04-01,123.84
2023-05-01,123.84
2023-06-01,123.13
2023-07-01,123.21
2023-08-01,122.39
2023-09-01,122.05
2023-10-01,122.43
2023-11-01,126.36
2023-12-01,125.89
2024-01-01,125.16
2024-02-01,126.61
2024-03-01,124.11
2024-04-01,127.09
2024-05-01,127.09
2024-06-01,127.67
2024-07-01,131.17
2024-08-01,130.18
2024-09-01,128.53
2024-10-01,130.74
2024-11-01,131.19
2024-12-01,129.07
2025-01-01,129.07
2025-02-01,130.64
2025-03-01,130.26
2025-04-01,129.63
2025-05-01,129.54
2025-06-01,129.46
2025-07-01,130.6
2025-08-01,132.04
2025-09-01,132.75
2025-10-01,136.16
2025-11-01,137.22
2025-12-01,133.57
2026-01-01,132.91
2026-02-01,137.93
2026-03-01,136.09
2026-04-01,136.21
2026-05-01,136.3
2026-06-01,136.68
2026-07-01,136.89
2026-08-01,136.85
