# IPC combustibles líquidos (INE) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:17:41+00:00
date,value
2002-01-01,38.384
2002-02-01,39.154
2002-03-01,39.044
2002-04-01,42.124
2002-05-01,42.454
2002-06-01,41.794
2002-07-01,41.684
2002-08-01,42.137
2002-09-01,43.617
2002-10-01,45.045
2002-11-01,43.169
2002-12-01,44.048
2003-01-01,46.135
2003-02-01,48.34
2003-03-01,51.965
2003-04-01,45.594
2003-05-01,41.301
2003-06-01,41.091
2003-07-01,41.86
2003-08-01,43.498
2003-09-01,42.949
2003-10-01,42.958
2003-11-01,44.157
2003-12-01,43.397
2004-01-01,43.507
2004-02-01,42.863
2004-03-01,44.046
2004-04-01,45.268
2004-05-01,47.65
2004-06-01,48.79
2004-07-01,48.904
2004-08-01,51.877
2004-09-01,53.396
2004-10-01,58.503
2004-11-01,57.517
2004-12-01,54.69
2005-01-01,51.703
2005-02-01,53.305
2005-03-01,56.651
2005-04-01,61.046
2005-05-01,58.424
2005-06-01,61.159
2005-07-01,66.823
2005-08-01,67.163
2005-09-01,71.961
2005-10-01,73.277
2005-11-01,69.13
2005-12-01,66.117
2006-01-01,67.335
2006-02-01,69.131
2006-03-01,69.649
2006-04-01,72.594
2006-05-01,74.472
2006-06-01,72.904
2006-07-01,74.478
2006-08-01,75.049
2006-09-01,72.038
2006-10-01,66.986
2006-11-01,65.728
2006-12-01,65.614
2007-01-01,62.351
2007-02-01,62.158
2007-03-01,63.873
2007-04-01,66.784
2007-05-01,68.094
2007-06-01,69.101
2007-07-01,71.218
2007-08-01,71.244
2007-09-01,72.083
2007-10-01,73.345
2007-11-01,79.143
2007-12-01,80.113
2008-01-01,79.769
2008-02-01,79.178
2008-03-01,85.081
2008-04-01,86.749
2008-05-01,95.283
2008-06-01,103.736
2008-07-01,103.674
2008-08-01,94.973
2008-09-01,91.849
2008-10-01,82.893
2008-11-01,72.021
2008-12-01,61.397
2009-01-01,56.818
2009-02-01,57.955
2009-03-01,54.461
2009-04-01,53.054
2009-05-01,54.879
2009-06-01,58.701
2009-07-01,56.954
2009-08-01,59.656
2009-09-01,57.387
2009-10-01,59.541
2009-11-01,63.775
2009-12-01,64.145
2010-01-01,66.616
2010-02-01,66.325
2010-03-01,70.3
2010-04-01,72.505
2010-05-01,76.545
2010-06-01,74.244
2010-07-01,71.899
2010-08-01,69.396
2010-09-01,70.678
2010-10-01,72.927
2010-11-01,76.633
2010-12-01,81.692
2011-01-01,85.086
2011-02-01,89.219
2011-03-01,94.881
2011-04-01,96.447
2011-05-01,92.933
2011-06-01,90.88
2011-07-01,92.387
2011-08-01,88.147
2011-09-01,89.372
2011-10-01,94.16
2011-11-01,96.396
2011-12-01,97.495
2012-01-01,100.607
2012-02-01,102.113
2012-03-01,105.566
2012-04-01,104.401
2012-05-01,101.904
2012-06-01,95.856
2012-07-01,98.817
2012-08-01,105.43
2012-09-01,107.803
2012-10-01,106.067
2012-11-01,102.471
2012-12-01,100.607
2013-01-01,101.808
2013-02-01,104.858
2013-03-01,103.323
2013-04-01,100.014
2013-05-01,96.852
2013-06-01,97.433
2013-07-01,99.253
2013-08-01,99.479
2013-09-01,102.107
2013-10-01,99.935
2013-11-01,97.369
2013-12-01,99.75
2014-01-01,99.216
2014-02-01,98.703
2014-03-01,97.145
2014-04-01,95.918
2014-05-01,96.352
2014-06-01,97.13
2014-07-01,96.734
2014-08-01,96.142
2014-09-01,96.534
2014-10-01,93.037
2014-11-01,89.446
2014-12-01,81.779
2015-01-01,72.971
2015-02-01,74.613
2015-03-01,80.915
2015-04-01,81.167
2015-05-01,82.815
2015-06-01,82.541
2015-07-01,79.056
2015-08-01,73.752
2015-09-01,71.912
2015-10-01,71.268
2015-11-01,70.638
2015-12-01,67.937
2016-01-01,58.416
2016-02-01,55.102
2016-03-01,57.479
2016-04-01,60.395
2016-05-01,62.34
2016-06-01,67.206
2016-07-01,65.83
2016-08-01,63.317
2016-09-01,65.408
2016-10-01,67.589
2016-11-01,67.47
2016-12-01,70.423
2017-01-01,73.238
2017-02-01,77.597
2017-03-01,75.609
2017-04-01,71.166
2017-05-01,69.977
2017-06-01,68.784
2017-07-01,67.2
2017-08-01,67.633
2017-09-01,68.242
2017-10-01,69.52
2017-11-01,73.472
2017-12-01,73.332
2018-01-01,78.941
2018-02-01,76.107
2018-03-01,76.946
2018-04-01,78.267
2018-05-01,82.31
2018-06-01,85.582
2018-07-01,86.068
2018-08-01,84.105
2018-09-01,87.762
2018-10-01,90.607
2018-11-01,89.284
2018-12-01,81.292
2019-01-01,78.935
2019-02-01,82.598
2019-03-01,83.971
2019-04-01,85.759
2019-05-01,87.521
2019-06-01,84.048
2019-07-01,83.279
2019-08-01,83.298
2019-09-01,84.305
2019-10-01,86.545
2019-11-01,84.362
2019-12-01,84.584
2020-01-01,85.926
2020-02-01,80.566
2020-03-01,69.074
2020-04-01,56.548
2020-05-01,52.282
2020-06-01,57.175
2020-07-01,62.273
2020-08-01,61.691
2020-09-01,58.693
2020-10-01,57.387
2020-11-01,58.189
2020-12-01,63.335
2021-01-01,66.456
2021-02-01,69.405
2021-03-01,74.945
2021-04-01,74.29
2021-05-01,75.595
2021-06-01,78.543
2021-07-01,84.068
2021-08-01,81.405
2021-09-01,83.653
2021-10-01,90.16
2021-11-01,94.689
2021-12-01,92.091
2022-01-01,96.069
2022-02-01,105.671
2022-03-01,137.168
2022-04-01,145.391
2022-05-01,140.89
2022-06-01,160.298
2022-07-01,164.536
2022-08-01,145.829
2022-09-01,144.474
2022-10-01,149.952
2022-11-01,144.437
2022-12-01,130.482
2023-01-01,128.039
2023-02-01,119.999
2023-03-01,119.385
2023-04-01,109.365
2023-05-01,102.708
2023-06-01,101.558
2023-07-01,108.111
2023-08-01,118.86
2023-09-01,127.304
2023-10-01,128.356
2023-11-01,120.552
2023-12-01,113.812
2024-01-01,111.285
2024-02-01,115.575
2024-03-01,115.497
2024-04-01,115.204
2024-05-01,111.456
2024-06-01,109.812
2024-07-01,109.452
2024-08-01,107.197
2024-09-01,98.653
2024-10-01,99.76
2024-11-01,100.845
2024-12-01,101.401
2025-01-01,106.582
2025-02-01,109.141
2025-03-01,102.941
2025-04-01,98.895
2025-05-01,93.767
2025-06-01,96.657
2025-07-01,101.096
2025-08-01,98.416
2025-09-01,98.366
2025-10-01,97.179
2025-11-01,100.516
2025-12-01,96.445
2026-01-01,94.287
2026-02-01,97.355
2026-03-01,126.514
2026-04-01,150.014
2026-05-01,139.507
2026-06-01,124.229
2026-07-01,132.958
2026-08-01,144.108
