# IPC electricidad (INE) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-12T03:25:40+00:00
date,value
2002-01-01,49.502
2002-02-01,49.502
2002-03-01,49.502
2002-04-01,49.502
2002-05-01,49.502
2002-06-01,49.502
2002-07-01,49.502
2002-08-01,49.502
2002-09-01,49.502
2002-10-01,49.502
2002-11-01,49.502
2002-12-01,49.502
2003-01-01,50.226
2003-02-01,50.226
2003-03-01,50.226
2003-04-01,50.226
2003-05-01,50.226
2003-06-01,50.226
2003-07-01,50.226
2003-08-01,50.226
2003-09-01,50.226
2003-10-01,50.226
2003-11-01,50.226
2003-12-01,50.226
2004-01-01,50.95
2004-02-01,50.95
2004-03-01,50.95
2004-04-01,50.95
2004-05-01,50.95
2004-06-01,50.95
2004-07-01,50.95
2004-08-01,50.95
2004-09-01,50.95
2004-10-01,50.95
2004-11-01,50.95
2004-12-01,50.95
2005-01-01,51.816
2005-02-01,51.816
2005-03-01,51.816
2005-04-01,51.816
2005-05-01,51.816
2005-06-01,51.816
2005-07-01,51.816
2005-08-01,51.816
2005-09-01,51.816
2005-10-01,51.816
2005-11-01,51.816
2005-12-01,51.816
2006-01-01,54.093
2006-02-01,54.093
2006-03-01,54.093
2006-04-01,54.093
2006-05-01,54.093
2006-06-01,54.093
2006-07-01,54.518
2006-08-01,54.518
2006-09-01,54.518
2006-10-01,54.518
2006-11-01,54.518
2006-12-01,54.518
2007-01-01,56.01
2007-02-01,56.01
2007-03-01,56.01
2007-04-01,56.01
2007-05-01,56.01
2007-06-01,56.01
2007-07-01,56.01
2007-08-01,56.01
2007-09-01,56.01
2007-10-01,56.01
2007-11-01,56.01
2007-12-01,56.01
2008-01-01,57.826
2008-02-01,57.826
2008-03-01,57.826
2008-04-01,57.826
2008-05-01,57.826
2008-06-01,57.826
2008-07-01,61.724
2008-08-01,61.724
2008-09-01,61.724
2008-10-01,61.724
2008-11-01,61.724
2008-12-01,61.724
2009-01-01,64.009
2009-02-01,64.009
2009-03-01,64.009
2009-04-01,64.009
2009-05-01,64.009
2009-06-01,64.009
2009-07-01,65.626
2009-08-01,65.626
2009-09-01,65.626
2009-10-01,65.626
2009-11-01,65.626
2009-12-01,65.626
2010-01-01,66.638
