# IPC gas natural (INE) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-17T09:08:52+00:00
date,value
2017-01-01,102.348
2017-02-01,102.348
2017-03-01,102.348
2017-04-01,104.349
2017-05-01,104.349
2017-06-01,104.349
2017-07-01,103.323
2017-08-01,103.323
2017-09-01,103.323
2017-10-01,101.977
2017-11-01,101.977
2017-12-01,101.977
2018-01-01,107.739
2018-02-01,107.739
2018-03-01,107.739
2018-04-01,104.199
2018-05-01,104.199
2018-06-01,104.199
2018-07-01,107.552
2018-08-01,107.552
2018-09-01,107.552
2018-10-01,115.579
2018-11-01,115.579
2018-12-01,115.579
2019-01-01,110.815
2019-02-01,110.815
2019-03-01,110.815
2019-04-01,104.522
2019-05-01,104.522
2019-06-01,104.522
2019-07-01,104.522
2019-08-01,104.522
2019-09-01,104.522
2019-10-01,104.522
2019-11-01,104.522
2019-12-01,104.522
2020-01-01,100.9
2020-02-01,100.9
2020-03-01,100.9
2020-04-01,100.9
2020-05-01,100.9
2020-06-01,100.9
2020-07-01,96.103
2020-08-01,96.103
2020-09-01,96.103
2020-10-01,92.21
2020-11-01,92.21
2020-12-01,92.21
2021-01-01,96.997
2021-02-01,96.997
2021-03-01,96.997
2021-04-01,96.997
2021-05-01,96.997
2021-06-01,96.997
2021-07-01,100.124
2021-08-01,100.124
2021-09-01,100.124
2021-10-01,102.598
2021-11-01,102.598
2021-12-01,102.598
2022-01-01,108.781
2022-02-01,108.781
2022-03-01,108.781
2022-04-01,115.832
2022-05-01,115.832
2022-06-01,115.832
2022-07-01,123.934
2022-08-01,123.934
2022-09-01,123.934
2022-10-01,113.475
2022-11-01,113.475
2022-12-01,113.475
2023-01-01,121.603
2023-02-01,122.309
2023-03-01,119.845
2023-04-01,107.821
2023-05-01,107.595
2023-06-01,106.193
2023-07-01,104.888
2023-08-01,97.785
2023-09-01,94.997
2023-10-01,91.905
2023-11-01,91.154
2023-12-01,90.462
2024-01-01,97.675
2024-02-01,96.662
2024-03-01,95.65
2024-04-01,101.093
2024-05-01,101.059
2024-06-01,97.976
2024-07-01,96.58
2024-08-01,96.404
2024-09-01,96.549
2024-10-01,99.671
2024-11-01,99.755
2024-12-01,99.72
2025-01-01,103.434
2025-02-01,103.502
2025-03-01,103.674
2025-04-01,97.855
2025-05-01,97.968
2025-06-01,98.095
2025-07-01,96.918
2025-08-01,97.025
2025-09-01,97.146
2025-10-01,101.205
2025-11-01,101.429
2025-12-01,101.749
2026-01-01,101.058
2026-02-01,101.153
2026-03-01,97.705
2026-04-01,88.487
2026-05-01,88.493
2026-06-01,98.858
2026-07-01,100.892
2026-08-01,101.303
