# Precios industriales: otros minerales no metálicos, aislantes y refractarios (CNAE 23.99) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-15T08:58:12+00:00
date,value
2002-01-01,51.398
2002-02-01,52.721
2002-03-01,53.288
2002-04-01,53.603
2002-05-01,53.603
2002-06-01,55.744
2002-07-01,55.681
2002-08-01,55.807
2002-09-01,55.43
2002-10-01,54.926
2002-11-01,54.989
2002-12-01,54.8
2003-01-01,55.115
2003-02-01,56.311
2003-03-01,57.886
2003-04-01,57.697
2003-05-01,57.508
2003-06-01,57.193
2003-07-01,57.319
2003-08-01,57.445
2003-09-01,57.823
2003-10-01,57.76
2003-11-01,57.886
2003-12-01,57.886
2004-01-01,57.634
2004-02-01,57.256
2004-03-01,57.508
2004-04-01,57.823
2004-05-01,57.886
2004-06-01,57.886
2004-07-01,57.949
2004-08-01,57.949
2004-09-01,58.012
2004-10-01,58.012
2004-11-01,58.39
2004-12-01,58.579
2005-01-01,60.091
2005-02-01,60.658
2005-03-01,60.972
2005-04-01,61.287
2005-05-01,62.169
2005-06-01,62.673
2005-07-01,63.177
2005-08-01,63.555
2005-09-01,64.185
2005-10-01,64.815
2005-11-01,65.823
2005-12-01,66.326
2006-01-01,66.83
2006-02-01,68.027
2006-03-01,69.098
2006-04-01,69.287
2006-05-01,71.806
2006-06-01,72.058
2006-07-01,72.373
2006-08-01,72.562
2006-09-01,73.192
2006-10-01,72.751
2006-11-01,71.995
2006-12-01,71.932
2007-01-01,72.436
2007-02-01,72.625
2007-03-01,72.562
2007-04-01,73.003
2007-05-01,74.137
2007-06-01,74.011
2007-07-01,74.452
2007-08-01,75.082
2007-09-01,75.334
2007-10-01,75.334
2007-11-01,75.712
2007-12-01,76.72
2008-01-01,78.42
2008-02-01,79.932
2008-03-01,80.121
2008-04-01,80.877
2008-05-01,80.814
2008-06-01,82.262
2008-07-01,83.9
2008-08-01,85.853
2008-09-01,86.168
2008-10-01,85.979
2008-11-01,83.963
2008-12-01,81.57
2009-01-01,81.759
2009-02-01,81.822
2009-03-01,82.199
2009-04-01,81.759
2009-05-01,82.137
2009-06-01,82.388
2009-07-01,83.459
2009-08-01,84.908
2009-09-01,85.853
2009-10-01,85.601
2009-11-01,85.475
2009-12-01,86.294
2010-01-01,86.168
2010-02-01,86.739
2010-03-01,85.075
2010-04-01,84.834
2010-05-01,85.696
2010-06-01,85.821
2010-07-01,86.488
2010-08-01,86.461
2010-09-01,86.388
2010-10-01,86.757
2010-11-01,86.744
2010-12-01,86.618
2011-01-01,87.476
2011-02-01,87.488
2011-03-01,89.284
2011-04-01,90.35
2011-05-01,90.939
2011-06-01,90.809
2011-07-01,90.985
2011-08-01,91.132
2011-09-01,90.773
2011-10-01,92.033
2011-11-01,92.677
2011-12-01,93.107
2012-01-01,94.461
2012-02-01,96.273
2012-03-01,97.343
2012-04-01,98.375
2012-05-01,98.939
2012-06-01,98.508
2012-07-01,97.831
2012-08-01,97.994
2012-09-01,98.463
2012-10-01,98.364
2012-11-01,97.709
2012-12-01,97.405
2013-01-01,97.359
2013-02-01,97.354
2013-03-01,97.799
2013-04-01,97.593
2013-05-01,96.677
2013-06-01,97.369
2013-07-01,96.306
2013-08-01,97.653
2013-09-01,98.113
2013-10-01,99.261
2013-11-01,97.927
2013-12-01,96.273
2014-01-01,97.101
2014-02-01,96.175
2014-03-01,96.99
2014-04-01,97.092
2014-05-01,97.304
2014-06-01,96.59
2014-07-01,97.126
2014-08-01,97.365
2014-09-01,97.803
2014-10-01,97.025
2014-11-01,96.813
2014-12-01,96.218
2015-01-01,94.754
2015-02-01,92.403
2015-03-01,91.644
2015-04-01,93.705
2015-05-01,93.972
2015-06-01,93.398
2015-07-01,93.177
2015-08-01,92.214
2015-09-01,91.073
2015-10-01,88.981
2015-11-01,90.719
2015-12-01,88.508
2016-01-01,87.069
2016-02-01,85.338
2016-03-01,86.17
2016-04-01,87.217
2016-05-01,88.581
2016-06-01,89.271
2016-07-01,89.889
2016-08-01,90.389
2016-09-01,89.961
2016-10-01,90.943
2016-11-01,91.893
2016-12-01,91.35
2017-01-01,92.758
2017-02-01,94.021
2017-03-01,93.529
2017-04-01,93.323
2017-05-01,92.626
2017-06-01,93.885
2017-07-01,91.96
2017-08-01,92.37
2017-09-01,92.569
2017-10-01,92.13
2017-11-01,92.476
2017-12-01,94.206
2018-01-01,93.26
2018-02-01,93.15
2018-03-01,92.701
2018-04-01,93.271
2018-05-01,95.435
2018-06-01,97.41
2018-07-01,97.745
2018-08-01,98.268
2018-09-01,98.468
2018-10-01,97.391
2018-11-01,98.901
2018-12-01,96.478
2019-01-01,94.472
2019-02-01,94.535
2019-03-01,95.804
2019-04-01,96.306
2019-05-01,97.181
2019-06-01,97.213
2019-07-01,96.965
2019-08-01,97.455
2019-09-01,95.509
2019-10-01,96.725
2019-11-01,95.395
2019-12-01,95.924
2020-01-01,97.294
2020-02-01,98.529
2020-03-01,98.776
2020-04-01,94.827
2020-05-01,92.68
2020-06-01,94.252
2020-07-01,96.578
2020-08-01,96.994
2020-09-01,97.167
2020-10-01,96.43
2020-11-01,96.634
2020-12-01,96.693
2021-01-01,96.732
2021-02-01,97.723
2021-03-01,98.252
2021-04-01,98.896
2021-05-01,99.054
2021-06-01,99.387
2021-07-01,100.356
2021-08-01,101.07
2021-09-01,100.876
2021-10-01,101.488
2021-11-01,103.521
2021-12-01,102.646
2022-01-01,101.728
2022-02-01,107.569
2022-03-01,109.109
2022-04-01,113.768
2022-05-01,112.982
2022-06-01,114.151
2022-07-01,113.504
2022-08-01,112.168
2022-09-01,110.254
2022-10-01,107.71
2022-11-01,108.137
2022-12-01,110.149
2023-01-01,120.465
2023-02-01,120.483
2023-03-01,121.038
2023-04-01,122.676
2023-05-01,124.047
2023-06-01,123.311
2023-07-01,122.655
2023-08-01,124.547
2023-09-01,127.01
2023-10-01,128.224
2023-11-01,126.438
2023-12-01,124.292
2024-01-01,123.286
2024-02-01,124.099
2024-03-01,126.055
2024-04-01,125.825
2024-05-01,127.033
2024-06-01,125.839
2024-07-01,125.249
2024-08-01,126.043
2024-09-01,124.172
2024-10-01,121.858
2024-11-01,125.37
2024-12-01,124.313
2025-01-01,125.41
2025-02-01,127.575
2025-03-01,127.958
2025-04-01,126.954
2025-05-01,125.041
2025-06-01,124.31
2025-07-01,125.565
2025-08-01,124.645
2025-09-01,123.289
2025-10-01,122.354
2025-11-01,122.623
2025-12-01,122.272
2026-01-01,122.521
2026-02-01,123.53
2026-03-01,128.102
2026-04-01,140.568
2026-05-01,143.12
2026-06-01,144.593
2026-07-01,140.798
