# Precios industriales: aparatos domésticos no eléctricos, estufas y cocinas (CNAE 27.52) (ES)
# Unidad: índice 2021=100
# Fuente: INE (Instituto Nacional de Estadística) - https://www.ine.es
# Licencia: Reutilización libre citando la fuente (aviso legal INE) - https://www.ine.es/ss/Satellite?L=es_ES&c=Page&cid=1254735849170&p=1254735849170&pagename=Ayuda%2FINELayout
# Cita obligatoria: Elaboración propia con datos extraídos del sitio web del INE: www.ine.es
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-15T03:52:07+00:00
date,value
2002-01-01,78.211
2002-02-01,77.217
2002-03-01,77.217
2002-04-01,77.383
2002-05-01,77.383
2002-06-01,77.383
2002-07-01,77.3
2002-08-01,77.3
2002-09-01,77.3
2002-10-01,77.631
2002-11-01,77.714
2002-12-01,77.466
2003-01-01,77.3
2003-02-01,77.714
2003-03-01,77.88
2003-04-01,78.459
2003-05-01,78.128
2003-06-01,78.128
2003-07-01,78.045
2003-08-01,78.045
2003-09-01,78.128
2003-10-01,78.293
2003-11-01,78.211
2003-12-01,78.293
2004-01-01,78.128
2004-02-01,78.459
2004-03-01,78.459
2004-04-01,78.79
2004-05-01,78.624
2004-06-01,78.955
2004-07-01,79.618
2004-08-01,79.618
2004-09-01,79.866
2004-10-01,79.783
2004-11-01,79.783
2004-12-01,80.445
2005-01-01,81.604
2005-02-01,81.687
2005-03-01,81.687
2005-04-01,82.183
2005-05-01,82.1
2005-06-01,83.259
2005-07-01,83.507
2005-08-01,83.425
2005-09-01,83.507
2005-10-01,83.507
2005-11-01,83.59
2005-12-01,83.259
2006-01-01,83.59
2006-02-01,84.087
2006-03-01,84.087
2006-04-01,85.245
2006-05-01,85.163
2006-06-01,84.997
2006-07-01,85.08
2006-08-01,85.08
2006-09-01,85.163
2006-10-01,84.914
2006-11-01,85.08
2006-12-01,85.825
2007-01-01,88.473
2007-02-01,88.473
2007-03-01,90.542
2007-04-01,91.122
2007-05-01,91.453
2007-06-01,91.453
2007-07-01,91.618
2007-08-01,92.115
2007-09-01,92.529
2007-10-01,93.522
2007-11-01,93.687
2007-12-01,93.687
2008-01-01,94.267
2008-02-01,94.763
2008-03-01,95.094
2008-04-01,96.005
2008-05-01,96.501
2008-06-01,96.584
2008-07-01,96.667
2008-08-01,96.749
2008-09-01,96.915
2008-10-01,97.163
2008-11-01,97.246
2008-12-01,97.163
2009-01-01,98.074
2009-02-01,98.653
2009-03-01,98.405
2009-04-01,98.074
2009-05-01,97.991
2009-06-01,98.156
2009-07-01,98.156
2009-08-01,98.156
2009-09-01,98.074
2009-10-01,97.991
2009-11-01,98.156
2009-12-01,98.156
2010-01-01,98.322
2010-02-01,98.532
2010-03-01,98.32
2010-04-01,98.814
2010-05-01,98.642
2010-06-01,98.743
2010-07-01,98.991
2010-08-01,99.25
2010-09-01,99.701
2010-10-01,99.811
2010-11-01,99.685
2010-12-01,99.804
2011-01-01,99.444
2011-02-01,101.925
2011-03-01,101.839
2011-04-01,102.056
2011-05-01,102.067
2011-06-01,102.12
2011-07-01,102.346
2011-08-01,102.542
2011-09-01,102.572
2011-10-01,103.529
2011-11-01,104.217
2011-12-01,103.962
2012-01-01,104.7
2012-02-01,103.976
2012-03-01,103.294
2012-04-01,106.62
2012-05-01,105.879
2012-06-01,104.591
2012-07-01,104.203
2012-08-01,103.745
2012-09-01,105.156
2012-10-01,103.773
2012-11-01,103.587
2012-12-01,105.286
2013-01-01,102.869
2013-02-01,103.351
2013-03-01,101.437
2013-04-01,101.536
2013-05-01,102.246
2013-06-01,102.414
2013-07-01,102.011
2013-08-01,102.464
2013-09-01,102.122
2013-10-01,102.163
2013-11-01,101.932
2013-12-01,102.474
2014-01-01,100.116
2014-02-01,100.985
2014-03-01,96.07
2014-04-01,96.479
2014-05-01,97.787
2014-06-01,98.185
2014-07-01,95.744
2014-08-01,95.691
2014-09-01,95.606
2014-10-01,96.365
2014-11-01,96.623
2014-12-01,98.582
2015-01-01,96.503
2015-02-01,95.005
2015-03-01,95.009
2015-04-01,94.733
2015-05-01,95.097
2015-06-01,94.252
2015-07-01,94.509
2015-08-01,95.369
2015-09-01,95.935
2015-10-01,94.663
2015-11-01,95.667
2015-12-01,95.321
2016-01-01,95.773
2016-02-01,95.85
2016-03-01,95.733
2016-04-01,95.741
2016-05-01,95.595
2016-06-01,95.488
2016-07-01,95.843
2016-08-01,95.236
2016-09-01,95.675
2016-10-01,95.623
2016-11-01,95.484
2016-12-01,95.837
2017-01-01,95.726
2017-02-01,95.733
2017-03-01,94.013
2017-04-01,96.126
2017-05-01,96.128
2017-06-01,96.451
2017-07-01,96.012
2017-08-01,95.827
2017-09-01,95.979
2017-10-01,95.894
2017-11-01,95.734
2017-12-01,95.796
2018-01-01,98.733
2018-02-01,98.767
2018-03-01,98.812
2018-04-01,98.843
2018-05-01,98.854
2018-06-01,99.034
2018-07-01,99.061
2018-08-01,99.18
2018-09-01,98.915
2018-10-01,98.918
2018-11-01,98.768
2018-12-01,98.668
2019-01-01,98.056
2019-02-01,98.058
2019-03-01,98.075
2019-04-01,98.075
2019-05-01,98.53
2019-06-01,98.53
2019-07-01,98.537
2019-08-01,98.537
2019-09-01,98.537
2019-10-01,101.48
2019-11-01,98.537
2019-12-01,98.537
2020-01-01,99.403
2020-02-01,99.403
2020-03-01,99.403
2020-04-01,99.487
2020-05-01,99.487
2020-06-01,99.487
2020-07-01,100.801
2020-08-01,100.373
2020-09-01,99.492
2020-10-01,99.492
2020-11-01,99.788
2020-12-01,99.492
2021-01-01,99.807
2021-02-01,99.87
2021-03-01,99.87
2021-04-01,99.87
2021-05-01,100.144
2021-06-01,100.203
2021-07-01,99.656
2021-08-01,99.665
2021-09-01,100.229
2021-10-01,100.229
2021-11-01,100.229
2021-12-01,100.229
2022-01-01,104.863
2022-02-01,103.338
2022-03-01,105.092
2022-04-01,106.701
2022-05-01,106.701
2022-06-01,108.371
2022-07-01,108.371
2022-08-01,108.371
2022-09-01,108.371
2022-10-01,108.977
2022-11-01,108.977
2022-12-01,108.977
2023-01-01,114.966
2023-02-01,115.062
2023-03-01,115.071
2023-04-01,115.061
2023-05-01,114.956
2023-06-01,114.935
2023-07-01,114.956
2023-08-01,118.95
2023-09-01,119.431
2023-10-01,115.642
2023-11-01,115.647
2023-12-01,115.659
2024-01-01,113.027
2024-02-01,113.036
2024-03-01,113.036
2024-04-01,113.036
2024-05-01,113.494
2024-06-01,113.494
2024-07-01,113.494
2024-08-01,113.918
2024-09-01,113.918
2024-10-01,113.46
2024-11-01,113.918
2024-12-01,113.46
2025-01-01,108.568
2025-02-01,108.576
2025-03-01,108.576
2025-04-01,109.21
2025-05-01,109.21
2025-06-01,109.21
2025-07-01,109.21
2025-08-01,109.275
2025-09-01,109.275
2025-10-01,109.275
2025-11-01,108.386
2025-12-01,108.275
2026-01-01,110.391
2026-02-01,109.55
2026-03-01,109.55
2026-04-01,109.61
2026-05-01,109.548
2026-06-01,109.548
2026-07-01,109.461
