# Precios industriales: envases de cartón (NACE C17.21) (FR)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-16T08:51:00+00:00
date,value
1980-01-01,44.5
1980-02-01,44.5
1980-03-01,44.5
1980-04-01,46.3
1980-05-01,46.3
1980-06-01,46.3
1980-07-01,48.2
1980-08-01,48.2
1980-09-01,48.2
1980-10-01,48.6
1980-11-01,48.6
1980-12-01,48.6
1981-01-01,49.9
1981-02-01,49.9
1981-03-01,49.9
1981-04-01,51.4
1981-05-01,51.4
1981-06-01,51.4
1981-07-01,53.1
1981-08-01,53.1
1981-09-01,53.1
1981-10-01,54.5
1981-11-01,54.5
1981-12-01,54.5
1982-01-01,56.5
1982-02-01,56.5
1982-03-01,56.5
1982-04-01,58.1
1982-05-01,58.1
1982-06-01,58.1
1982-07-01,57.9
1982-08-01,57.9
1982-09-01,57.9
1982-10-01,58.9
1982-11-01,58.9
1982-12-01,58.9
1983-01-01,60.2
1983-02-01,60.2
1983-03-01,60.2
1983-04-01,61.3
1983-05-01,61.3
1983-06-01,61.3
1983-07-01,62.2
1983-08-01,62.2
1983-09-01,62.2
1983-10-01,62.6
1983-11-01,62.6
1983-12-01,62.6
1984-01-01,63.8
1984-02-01,63.8
1984-03-01,63.8
1984-04-01,65.5
1984-05-01,65.5
1984-06-01,65.5
1984-07-01,67.9
1984-08-01,67.9
1984-09-01,67.9
1984-10-01,70.8
1984-11-01,70.8
1984-12-01,70.8
1985-01-01,72.3
1985-02-01,72.3
1985-03-01,72.3
1985-04-01,72.7
1985-05-01,72.7
1985-06-01,72.7
1985-07-01,73.2
1985-08-01,73.2
1985-09-01,73.2
1985-10-01,72.8
1985-11-01,72.8
1985-12-01,72.8
1986-01-01,72.1
1986-02-01,72.1
1986-03-01,72.1
1986-04-01,72.7
1986-05-01,72.7
1986-06-01,72.7
1986-07-01,72.8
1986-08-01,72.8
1986-09-01,72.8
1986-10-01,72.4
1986-11-01,72.4
1986-12-01,72.4
1987-01-01,72.2
1987-02-01,72.2
1987-03-01,72.2
1987-04-01,72
1987-05-01,72
1987-06-01,72
1987-07-01,72.2
1987-08-01,72.2
1987-09-01,72.2
1987-10-01,72.2
1987-11-01,72.2
1987-12-01,72.2
1988-01-01,72.1
1988-02-01,72.1
1988-03-01,72.1
1988-04-01,72.7
1988-05-01,72.7
1988-06-01,72.7
1988-07-01,73.6
1988-08-01,73.6
1988-09-01,73.6
1988-10-01,74.8
1988-11-01,74.8
1988-12-01,74.8
1989-01-01,76.2
1989-02-01,76.2
1989-03-01,76.2
1989-04-01,77.8
1989-05-01,77.8
1989-06-01,77.8
1989-07-01,79.4
1989-08-01,79.4
1989-09-01,79.4
1989-10-01,80
1989-11-01,80
1989-12-01,80
1990-01-01,80.7
1990-02-01,80.7
1990-03-01,80.7
1990-04-01,81.6
1990-05-01,81.6
1990-06-01,81.6
1990-07-01,81.9
1990-08-01,81.9
1990-09-01,81.9
1990-10-01,81.7
1990-11-01,81.7
1990-12-01,81.7
1991-01-01,82.1
1991-02-01,82.1
1991-03-01,82.1
1991-04-01,81.6
1991-05-01,81.6
1991-06-01,81.6
1991-07-01,81.6
1991-08-01,81.6
1991-09-01,81.6
1991-10-01,81
1991-11-01,81
1991-12-01,81
1992-01-01,80.4
1992-02-01,80.4
1992-03-01,80.4
1992-04-01,80
1992-05-01,80
1992-06-01,80
1992-07-01,80
1992-08-01,80
1992-09-01,80
1992-10-01,79.4
1992-11-01,79.4
1992-12-01,79.4
1993-01-01,77.5
1993-02-01,77.6
1993-03-01,77.5
1993-04-01,75.6
1993-05-01,75.4
1993-06-01,74.5
1993-07-01,75.4
1993-08-01,74.7
1993-09-01,74
1993-10-01,73.7
1993-11-01,73.2
1993-12-01,72.6
1994-01-01,72.1
1994-02-01,71.8
1994-03-01,72
1994-04-01,71.3
1994-05-01,72.1
1994-06-01,72.6
1994-07-01,73.3
1994-08-01,73.4
1994-09-01,76.4
1994-10-01,77.3
1994-11-01,78
1994-12-01,78.1
1995-01-01,78.7
1995-02-01,79.2
1995-03-01,80.4
1995-04-01,81
1995-05-01,82.2
1995-06-01,83.7
1995-07-01,86.1
1995-08-01,86.2
1995-09-01,87.2
1995-10-01,87
1995-11-01,86.3
1995-12-01,85
1996-01-01,84.1
1996-02-01,83.4
1996-03-01,82.2
1996-04-01,80.1
1996-05-01,79.3
1996-06-01,78.3
1996-07-01,77.5
1996-08-01,76.9
1996-09-01,76.8
1996-10-01,76.5
1996-11-01,76.2
1996-12-01,75.6
1997-01-01,75.4
1997-02-01,74.7
1997-03-01,74.3
1997-04-01,74.1
1997-05-01,74.4
1997-06-01,74.8
1997-07-01,74.6
1997-08-01,74.1
1997-09-01,74.7
1997-10-01,74.5
1997-11-01,74.7
1997-12-01,74.6
1998-01-01,74.8
1998-02-01,74.8
1998-03-01,74.9
1998-04-01,74.8
1998-05-01,74.7
1998-06-01,74.8
1998-07-01,74.8
1998-08-01,74.5
1998-09-01,75.1
1998-10-01,74.8
1998-11-01,74.7
1998-12-01,74.4
1999-01-01,74.1
1999-02-01,73.5
1999-03-01,73.6
1999-04-01,73.3
1999-05-01,73.2
1999-06-01,73.1
1999-07-01,73.2
1999-08-01,72.9
1999-09-01,74.1
1999-10-01,75.5
1999-11-01,75.7
1999-12-01,75.9
2000-01-01,76.3
2000-02-01,76.3
2000-03-01,76.8
2000-04-01,77.9
2000-05-01,80.1
2000-06-01,82
2000-07-01,83.3
2000-08-01,83.4
2000-09-01,84.4
2000-10-01,84.6
2000-11-01,84.1
2000-12-01,83.8
2001-01-01,84.1
2001-02-01,84
2001-03-01,83.9
2001-04-01,83.8
2001-05-01,83.7
2001-06-01,83.8
2001-07-01,83.9
2001-08-01,83.8
2001-09-01,83.9
2001-10-01,83.8
2001-11-01,83.7
2001-12-01,83.4
2002-01-01,83.4
2002-02-01,83
2002-03-01,82.7
2002-04-01,82.4
2002-05-01,82.6
2002-06-01,82.8
2002-07-01,84.3
2002-08-01,84.5
2002-09-01,85.4
2002-10-01,85.8
2002-11-01,85.6
2002-12-01,84.8
2003-01-01,85
2003-02-01,84.9
2003-03-01,84.8
2003-04-01,84.6
2003-05-01,84.2
2003-06-01,83.9
2003-07-01,83.9
