# Precios industriales: productos electrónicos (NACE C26) (DE)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-21T09:56:10+00:00
date,value
1995-01-01,238.3
1995-02-01,237.9
1995-03-01,237.6
1995-04-01,238
1995-05-01,238
1995-06-01,238
1995-07-01,238
1995-08-01,238.4
1995-09-01,239
1995-10-01,238.4
1995-11-01,238.4
1995-12-01,237.9
1996-01-01,237.6
1996-02-01,236.7
1996-03-01,236.9
1996-04-01,236.6
1996-05-01,236.9
1996-06-01,236.2
1996-07-01,234.6
1996-08-01,234.6
1996-09-01,234.9
1996-10-01,233.5
1996-11-01,233.5
1996-12-01,233.3
1997-01-01,234.1
1997-02-01,233.5
1997-03-01,232.8
1997-04-01,232.7
1997-05-01,232.7
1997-06-01,232.3
1997-07-01,232
1997-08-01,231.9
1997-09-01,233.7
1997-10-01,233.1
1997-11-01,232.8
1997-12-01,232.3
1998-01-01,230.9
1998-02-01,230.9
1998-03-01,230.3
1998-04-01,230.2
1998-05-01,229.7
1998-06-01,229.5
1998-07-01,228.9
1998-08-01,228
1998-09-01,227.6
1998-10-01,227.6
1998-11-01,226.4
1998-12-01,225.2
1999-01-01,224.3
1999-02-01,223.5
1999-03-01,223.5
1999-04-01,222.9
1999-05-01,222.1
1999-06-01,221.3
1999-07-01,220.4
1999-08-01,219.6
1999-09-01,218.7
1999-10-01,218.7
1999-11-01,218.6
1999-12-01,218.3
2000-01-01,217.7
2000-02-01,219
2000-03-01,217.2
2000-04-01,213.9
2000-05-01,214.8
2000-06-01,215.7
2000-07-01,214.8
2000-08-01,212.2
2000-09-01,213
2000-10-01,212.1
2000-11-01,212.8
2000-12-01,212.4
2001-01-01,211.1
2001-02-01,210.5
2001-03-01,211.1
2001-04-01,210.2
2001-05-01,209.8
2001-06-01,210.2
2001-07-01,209.5
2001-08-01,210.7
2001-09-01,209.9
2001-10-01,209.9
2001-11-01,208.3
2001-12-01,208.3
2002-01-01,209
2002-02-01,209.8
2002-03-01,210.2
2002-04-01,209.2
2002-05-01,209.5
2002-06-01,209.2
2002-07-01,208.8
2002-08-01,208.7
2002-09-01,208
2002-10-01,206.5
2002-11-01,206.2
2002-12-01,205.8
2003-01-01,203.7
2003-02-01,202.3
2003-03-01,202.1
2003-04-01,201.5
2003-05-01,200.7
2003-06-01,200
2003-07-01,198.1
2003-08-01,198.1
2003-09-01,198.5
2003-10-01,197.2
2003-11-01,197.2
2003-12-01,198.1
2004-01-01,196
2004-02-01,193
2004-03-01,193
2004-04-01,193
2004-05-01,192.6
2004-06-01,191
2004-07-01,190
2004-08-01,188.4
2004-09-01,186.9
2004-10-01,185.9
2004-11-01,186.1
2004-12-01,186.3
2005-01-01,185.1
2005-02-01,181.5
2005-03-01,177.4
2005-04-01,171.7
2005-05-01,170
2005-06-01,168.9
2005-07-01,167.1
2005-08-01,167.1
2005-09-01,165.3
2005-10-01,164
2005-11-01,162.3
2005-12-01,162.2
2006-01-01,160.2
2006-02-01,158.4
2006-03-01,157.6
2006-04-01,156.4
2006-05-01,155
2006-06-01,153.6
2006-07-01,151.9
2006-08-01,150.8
2006-09-01,151.6
2006-10-01,152.4
2006-11-01,151.5
2006-12-01,150
2007-01-01,147.8
2007-02-01,145.7
2007-03-01,144.5
2007-04-01,143
2007-05-01,141
2007-06-01,140
2007-07-01,137.6
2007-08-01,136.7
2007-09-01,135.8
2007-10-01,135.1
2007-11-01,134.4
2007-12-01,133.3
2008-01-01,132
2008-02-01,131.8
2008-03-01,131
2008-04-01,129.5
2008-05-01,128.7
2008-06-01,128.4
2008-07-01,127.8
2008-08-01,127.6
2008-09-01,127.2
2008-10-01,126.9
2008-11-01,126.3
2008-12-01,126
2009-01-01,125.2
2009-02-01,125
2009-03-01,124.8
2009-04-01,124.4
2009-05-01,124.4
2009-06-01,124.2
2009-07-01,123.8
2009-08-01,123.3
2009-09-01,123.3
2009-10-01,122.7
2009-11-01,123.1
2009-12-01,122.9
2010-01-01,122.6
2010-02-01,122.7
2010-03-01,122.4
2010-04-01,122.4
2010-05-01,122.6
2010-06-01,122.7
2010-07-01,122.6
2010-08-01,122.4
2010-09-01,121.6
2010-10-01,120.7
2010-11-01,119.7
2010-12-01,118.6
2011-01-01,117.2
2011-02-01,116.2
2011-03-01,115.7
2011-04-01,114.8
2011-05-01,114.4
2011-06-01,113.4
2011-07-01,112.3
2011-08-01,110.8
2011-09-01,109.9
2011-10-01,109.1
2011-11-01,109.2
2011-12-01,109.2
2012-01-01,108.3
2012-02-01,107.9
2012-03-01,107.6
2012-04-01,107.8
2012-05-01,107.3
2012-06-01,107.1
2012-07-01,107
2012-08-01,106.3
2012-09-01,106.2
2012-10-01,105.6
2012-11-01,105.1
2012-12-01,104.4
2013-01-01,104.7
2013-02-01,104.2
2013-03-01,104.2
2013-04-01,104.5
2013-05-01,104.9
2013-06-01,104.8
2013-07-01,104.5
2013-08-01,104.3
2013-09-01,104.2
2013-10-01,104.1
2013-11-01,104
2013-12-01,103.7
2014-01-01,103.8
2014-02-01,103.7
2014-03-01,103.5
2014-04-01,103.4
2014-05-01,103.4
2014-06-01,103.4
2014-07-01,103.4
2014-08-01,103.4
2014-09-01,103.2
2014-10-01,103.1
2014-11-01,103.2
2014-12-01,103.4
2015-01-01,103.6
2015-02-01,104
2015-03-01,104.1
2015-04-01,104.5
2015-05-01,104
2015-06-01,103.8
2015-07-01,103.7
2015-08-01,103.9
2015-09-01,103.6
2015-10-01,103.4
2015-11-01,103.5
2015-12-01,103.5
2016-01-01,103.3
2016-02-01,103.1
2016-03-01,102.8
2016-04-01,102.4
2016-05-01,102
2016-06-01,101.7
2016-07-01,101.7
2016-08-01,101.6
2016-09-01,101.4
2016-10-01,101.4
2016-11-01,101.7
2016-12-01,102.2
2017-01-01,102.6
2017-02-01,102.9
2017-03-01,103
2017-04-01,103.1
2017-05-01,103.1
2017-06-01,102.8
2017-07-01,102.9
2017-08-01,102.8
2017-09-01,102.9
2017-10-01,102.8
2017-11-01,102.8
2017-12-01,102.9
2018-01-01,103.4
