# Precios industriales: motores y turbinas (NACE C28.11) (FR)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-16T08:51:00+00:00
date,value
2004-02-01,87.1
2004-03-01,87.1
2004-04-01,87.1
2004-05-01,87.2
2004-06-01,87.1
2004-07-01,87.1
2004-08-01,87.2
2004-09-01,86.5
2004-10-01,86.6
2004-11-01,86.3
2004-12-01,86.2
2005-01-01,86.2
2005-02-01,86
2005-03-01,86
2005-04-01,86
2005-05-01,85.8
2005-06-01,85.6
2005-07-01,85.6
2005-08-01,85.3
2005-09-01,85.5
2005-10-01,85.4
2005-11-01,85.5
2005-12-01,85.4
2006-01-01,85.1
2006-02-01,85.6
2006-03-01,85.5
2006-04-01,85.8
2006-05-01,86
2006-06-01,86
2006-07-01,86.2
2006-08-01,86.2
2006-09-01,86.2
2006-10-01,85.7
2006-11-01,85.9
2006-12-01,86
2007-01-01,85.7
2007-02-01,86.7
2007-03-01,86.2
2007-04-01,86.4
2007-05-01,86.5
2007-06-01,86.5
2007-07-01,86.4
2007-08-01,86.8
2007-09-01,87
2007-10-01,86.9
2007-11-01,86.9
2007-12-01,86.8
2008-01-01,87
2008-02-01,86.2
2008-03-01,86.3
2008-04-01,86.9
2008-05-01,87
2008-06-01,87.1
2008-07-01,87.1
2008-08-01,87.1
2008-09-01,87.6
2008-10-01,86.9
2008-11-01,87.9
2008-12-01,90.5
2009-01-01,90.6
2009-02-01,90.6
2009-03-01,90.6
2009-04-01,90.6
2009-05-01,90.4
2009-06-01,90.3
2009-07-01,90.1
2009-08-01,90.1
2009-09-01,90.2
2009-10-01,88
2009-11-01,89.2
2009-12-01,89.2
2010-01-01,88.1
2010-02-01,87.9
2010-03-01,87.9
2010-04-01,88.4
2010-05-01,88.2
2010-06-01,88.1
2010-07-01,88.1
2010-08-01,87.8
2010-09-01,87.6
2010-10-01,87.7
2010-11-01,87.9
2010-12-01,89
2011-01-01,88.1
2011-02-01,88.3
2011-03-01,89.2
2011-04-01,89.2
2011-05-01,89.1
2011-06-01,89.6
2011-07-01,88.6
2011-08-01,88.6
2011-09-01,88.4
2011-10-01,88.4
2011-11-01,88.4
2011-12-01,87.6
2012-01-01,87.7
2012-02-01,87.6
2012-03-01,88.3
2012-04-01,88.3
2012-05-01,88.3
2012-06-01,88.3
2012-07-01,88.1
2012-08-01,88.1
2012-09-01,87.8
2012-10-01,87.8
2012-11-01,87.8
2012-12-01,88.6
2013-01-01,88.7
2013-02-01,88.7
2013-03-01,92
2013-04-01,92
2013-05-01,92
2013-06-01,91.9
2013-07-01,91.8
2013-08-01,91.8
2013-09-01,91.8
2013-10-01,91.8
2013-11-01,91.8
2013-12-01,91.3
2014-01-01,91.6
2014-02-01,91.6
2014-03-01,90.3
2014-04-01,90.3
2014-05-01,90.3
2014-06-01,90.2
2014-07-01,90.2
2014-08-01,90.2
2014-09-01,90.4
2014-10-01,90.4
2014-11-01,90.4
2014-12-01,90.7
2015-01-01,91.3
2015-02-01,91.3
2015-03-01,91.3
2015-04-01,91.3
2015-05-01,91.3
2015-06-01,91.3
2015-07-01,91.3
2015-08-01,91.3
2015-09-01,91.3
2015-10-01,91.3
2015-11-01,91.3
2015-12-01,91.8
2016-01-01,93
2016-02-01,93
2016-03-01,93
2016-04-01,92.9
2016-05-01,92.9
2016-06-01,93.1
2016-07-01,93.4
2016-08-01,93
2016-09-01,93
2016-10-01,93
2016-11-01,93.4
2016-12-01,92.8
2017-01-01,93.8
2017-02-01,93.8
2017-03-01,94
2017-04-01,93.9
2017-05-01,93.6
2017-06-01,93.6
2017-07-01,93.6
2017-08-01,93.6
2017-09-01,93.6
2017-10-01,93.8
2017-11-01,93.8
2017-12-01,93.7
2018-01-01,93.7
2018-02-01,93.7
2018-03-01,93.7
2018-04-01,93.6
2018-05-01,93.7
2018-06-01,93.7
2018-07-01,93.7
2018-08-01,93.7
2018-09-01,93.7
2018-10-01,93.7
2018-11-01,93.7
2018-12-01,93.7
2019-01-01,95.4
2019-02-01,95.8
2019-03-01,95.9
2019-04-01,95.8
2019-05-01,95.6
2019-06-01,95.4
2019-07-01,94.8
2019-08-01,94.8
2019-09-01,94.8
2019-10-01,94.8
2019-11-01,94.8
2019-12-01,94.7
2020-01-01,96.7
2020-02-01,96.6
2020-03-01,96.6
2020-04-01,96.6
2020-05-01,96.6
2020-06-01,96.6
2020-07-01,96.6
2020-08-01,96.5
2020-09-01,96.8
2020-10-01,97
2020-11-01,96.8
2020-12-01,97.6
2021-01-01,97.7
2021-02-01,99
2021-03-01,99.3
2021-04-01,99.7
2021-05-01,100.1
2021-06-01,99.6
2021-07-01,100
2021-08-01,100.5
2021-09-01,100.3
2021-10-01,100.7
2021-11-01,101
2021-12-01,102.1
2022-01-01,103.3
2022-02-01,103.2
2022-03-01,103.5
2022-04-01,104.9
2022-05-01,107.4
2022-06-01,106.8
2022-07-01,105
2022-08-01,105
2022-09-01,104.7
2022-10-01,104.8
2022-11-01,104.8
2022-12-01,104.3
2023-01-01,104.1
2023-02-01,104.1
2023-03-01,104.1
2023-04-01,104.1
2023-05-01,104.1
2023-06-01,104
2023-07-01,103.5
2023-08-01,103.6
2023-09-01,103.4
2023-10-01,102.7
2023-11-01,102.2
2023-12-01,101.9
2024-01-01,103.4
2024-02-01,103.5
2024-03-01,103.8
2024-04-01,103.9
2024-05-01,103.9
2024-06-01,104
2024-07-01,104.2
2024-08-01,104.5
2024-09-01,104.2
2024-10-01,104
2024-11-01,104.1
2024-12-01,104.2
2025-01-01,104.7
2025-02-01,105.7
