# Precios industriales: colorantes y pigmentos (NACE C20.12) (ES)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-17T08:54:53+00:00
date,value
2002-01-01,68.6
2002-02-01,70
2002-03-01,67
2002-04-01,66.9
2002-05-01,66.9
2002-06-01,65.7
2002-07-01,65.4
2002-08-01,65.8
2002-09-01,65.7
2002-10-01,67.6
2002-11-01,66.8
2002-12-01,65.9
2003-01-01,66.7
2003-02-01,64.4
2003-03-01,65.2
2003-04-01,64.2
2003-05-01,64.4
2003-06-01,65.2
2003-07-01,63.7
2003-08-01,63.8
2003-09-01,63.2
2003-10-01,64.4
2003-11-01,62
2003-12-01,62.8
2004-01-01,60.8
2004-02-01,62.5
2004-03-01,62.6
2004-04-01,62.1
2004-05-01,63.6
2004-06-01,63.9
2004-07-01,63.1
2004-08-01,64.1
2004-09-01,61
2004-10-01,63.8
2004-11-01,63.9
2004-12-01,63.6
2005-01-01,62.2
2005-02-01,62.3
2005-03-01,62.9
2005-04-01,61.6
2005-05-01,62.7
2005-06-01,63.8
2005-07-01,63.3
2005-08-01,62.7
2005-09-01,64.1
2005-10-01,64.4
2005-11-01,62
2005-12-01,62.7
2006-01-01,61.6
2006-02-01,63.5
2006-03-01,65.6
2006-04-01,62.4
2006-05-01,62.3
2006-06-01,65.5
2006-07-01,64.4
2006-08-01,64.9
2006-09-01,65.7
2006-10-01,67.7
2006-11-01,64.9
2006-12-01,65.5
2007-01-01,69
2007-02-01,68.6
2007-03-01,66.6
2007-04-01,65.5
2007-05-01,66.5
2007-06-01,67.1
2007-07-01,66.6
2007-08-01,64.9
2007-09-01,65.4
2007-10-01,67.2
2007-11-01,66.1
2007-12-01,65.2
2008-01-01,62.9
2008-02-01,62.6
2008-03-01,63
2008-04-01,63.5
2008-05-01,63.2
2008-06-01,62.8
2008-07-01,62.5
2008-08-01,64.1
2008-09-01,63.8
2008-10-01,63.5
2008-11-01,63.3
2008-12-01,63.2
2009-01-01,63.3
2009-02-01,63.7
2009-03-01,62.9
2009-04-01,63
2009-05-01,63.3
2009-06-01,62.1
2009-07-01,62.8
2009-08-01,63.3
2009-09-01,61.7
2009-10-01,62.3
2009-11-01,62.3
2009-12-01,63.5
2010-01-01,63.8
2010-02-01,65.5
2010-03-01,64.5
2010-04-01,65.9
2010-05-01,65.9
2010-06-01,67
2010-07-01,68.7
2010-08-01,69.5
2010-09-01,68.4
2010-10-01,71.3
2010-11-01,73.9
2010-12-01,73.6
2011-01-01,75
2011-02-01,74.9
2011-03-01,75.1
2011-04-01,78.8
2011-05-01,78.5
2011-06-01,81.4
2011-07-01,85.8
2011-08-01,87.3
2011-09-01,85.3
2011-10-01,88.6
2011-11-01,88.5
2011-12-01,89.3
2012-01-01,90.5
2012-02-01,92.3
2012-03-01,92.6
2012-04-01,92.2
2012-05-01,93.1
2012-06-01,89
2012-07-01,88.8
2012-08-01,86.5
2012-09-01,86.1
2012-10-01,84.1
2012-11-01,81.5
2012-12-01,79.6
2013-01-01,77.1
2013-02-01,79.5
2013-03-01,78.7
2013-04-01,78.8
2013-05-01,78.5
2013-06-01,78.2
2013-07-01,78.3
2013-08-01,78.8
2013-09-01,76.1
2013-10-01,77.2
2013-11-01,78.2
2013-12-01,80.7
2014-01-01,79.9
2014-02-01,80.4
2014-03-01,77.5
2014-04-01,75
2014-05-01,78.4
2014-06-01,80.5
2014-07-01,81.7
2014-08-01,78.9
2014-09-01,79
2014-10-01,80.4
2014-11-01,80.3
2014-12-01,78.8
2015-01-01,76.7
2015-02-01,78.3
2015-03-01,76.4
2015-04-01,79.3
2015-05-01,81.5
2015-06-01,79.9
2015-07-01,77.5
2015-08-01,79
2015-09-01,78
2015-10-01,75.8
2015-11-01,74.1
2015-12-01,77.9
2016-01-01,77.1
2016-02-01,78.3
2016-03-01,76.3
2016-04-01,74.8
2016-05-01,77.1
2016-06-01,80.1
2016-07-01,79
2016-08-01,81.5
2016-09-01,81.6
2016-10-01,84.4
2016-11-01,83.3
2016-12-01,83.7
2017-01-01,82.7
2017-02-01,87.4
2017-03-01,82.3
2017-04-01,86.2
2017-05-01,83.2
2017-06-01,82.8
2017-07-01,85.5
2017-08-01,82.3
2017-09-01,87.1
2017-10-01,85.7
2017-11-01,88
